"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Panelprogram","Parkolóhely ára"
"1","XVIII. kerület, Liptáktelep","37,9 millió Ft","63 m²","2","KÖZPONTI KÉNYELEM MINDEN KOROSZTÁLYNAK! AZONNAL KÖLTÖZHETO!Budapest XVIII. kerületében Liptáktelepen várja új tulajdonosát egy 2 szobás tégla építésu társasházban lévo 63 nm világos lakás!A lakásba beérve egy tágas elotérbe érkezünk, amely étkezoként is funkcionálhat, ebbol nyílnak a lakás különbözo helyiségei. Balra egy dupla tolóajtós, közel 20 nm-es loggiás ÉNY-i tájolású nappali, mely a belso, zárt udvarra néz. A bejárattól jobbra, egy különnyíló, kamrával rendelkezo világos, ablakos konyha, szemben egy szintén loggiával rendelkezo hálószoba, illetve egy külön rész, ahonnan beléphetünk a vizes helyiségekbe, a kádas fürdoszobába és a különnyíló mellékhelyiségbe. A ház jellemzoi:<U+25AA> építés éve: 2001 <U+25AA> tiszta, rendezett,  zárt, lift nélküli lépcsoház<U+25AA> frissen festett homlokzat<U+25AA> alacsony közös és fenntartási költség<U+25AA> 3 emeletes szépen karbantartott épület<U+25AA> minden fogyasztás egyedi méroórák alapján történik<U+25AA> parkolási lehetoség a belso zárt udvarban, mely havi 3.000.- Ft-ért bérelheto<U+25AA> proxy kártyás belépteto rendszer<U+25AA> kevés lakásszám (9)Lakás jellemzoi:<U+25AA> laminált parkettás különnyíló tágas, világos szobák<U+25AA> különnyíló konyha<U+25AA> kiváló elrendezés<U+25AA> hoszigetelt fa ablakok, fa beltéri ajtók<U+25AA> per- és tehermentes<U+25AA> azonnal költözheto, birtokba veheto<U+25AA> hitelezhetoKörnyék, infrastruktúra, miért jó itt lakni?<U+25AA> a környék közlekedése és infrastruktúrája kiváló, M5 Soroksár bevásárlóközpont 10 per  alatt elérheto, emellett számos nagyobb élelmiszerláncok bevásárlási lehetoségei, óvodák, iskolák, posta, orvosi rendelo, gyógyszertár szinte minden megtalálható egy karnyújtásnyira. Busz és villamos megálló közvetlen közelben, 182, 184, 914, 950-es buszok, illetve az 50-es villamos közlekedik.<U+25AA> családias lakóparki környezet<U+25AA> kedvelt társasház, kevés lakással, mindössze 3 lakás szintenként <U+25AA> figyelmes, környezetükre igényes lakóközösségAjánlom minden korosztály számára, akiknek fontos, hogy mindent könnyen eltudjanak érni ami a mindennapi élethez szükséges, kiváló infrastruktúra mellett. Befektetoknek kiadhatóság szempontjából ideális, hiszen ezen a környéken folyamatosan kiadhatóak a lakások, kiemelten keresett környék. Amennyiben az ingatlan felkeltette érdeklodését, bovebb információval illetve megtekintéssel kapcsolatban várom megtisztelo hívását, akár hétvégén is!budapest városközpont 18.kerület téglalakás 63nm központ kényelem Liptáktelep belsoparkoló különnyílószobák","közepes állapotú","2001 és 2010 között","nincs megadva","nincs megadva","2","nincs megadva","nincs megadva","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északnyugat","udvari","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"2","XIV. kerület, Kassai tér","37,9 millió Ft","47 m²","2","Szívesen élne az ég közelében? Felhok, fények, zöldek között, egész évben? – ha igen, lakjon Zugló ölében!Nos? Kedveli Ön a PANORÁMÁT? - és az elvehetetlen, körben pazar örök-panorámát? Ha igen és szívesen élne egy ilyen, folyton változatos, lenyugözo kilátást adó, a belvárostól mindössze 10-15 percre lévo, körben zöldre nézo lakásban, akkor lehet, éppen most, megtalálta!  * Közvetlenül a TULAJDONOSTÓL eladó egy zuglói (Herminamezo), kiváló lokációban lévo száraz, körben zöldre nézo, kényelmes, piknik- erkélyes, külön és/vagy egybenyitható, kétszobás, étkezo-konyhás, fürdokádas, külön WC-s, légkondis, gépészetileg teljesen felújított (kombi-cirkós), alacsony rezsiju, fényben úszó öröklakás egy 7 nm-es, szeparált folyosórésszel, fenti-lenti tárolókkal. (III.emeleti - nem tetotéri-, lift nélküli a ház)IDEÁLIS PÁROKNAK, kis-családnak, békét keresoknek, alkotóknak, befektetoknek (hosszútávra is gyorsan kiadható). Gépészetileg alkalmas egy amerikai-konyhás-nappali + 2 hálós átalakításhoz. Méretei az ALAPRAJZON jól láhatók.- az étkezos konyha reggel napos, tágas, jókora ablaka a belso kertekre néz. (Benne most: tuzhely, szagelszívó, mosogatógép, kerek, mély mosogatókád, cirkó). Elotte a folyosó zárt, itt NINCS átjárás, második erkély funkcióval bír (pl. szárító, bicikli, babakocsi stb. jól tárolható.)Muszaki alapok: - villanyhálózata körben felújított, már új, digitális villanyórával - kiépített internet/TV csatlakoztatókkal mindkét szobában- futés+melegvíz: kombi-cirkóval megoldott, lapradiátorokkal (bélelt kémény, biztonsági elemekkel kiépített)- a fürdoben egy szárítós radiátor, páraelszívó, mosógépkiállás adott- burkolata: mindenhol járólapos (a nyári melegben ez optimális, de igény szerint, a szobák parkettázhatók)- hevederzáras, az erkély+nappali nyílászárói bukó-nyílók, rolókkal, a konyha és a háló ablakai is rolóval felszereltek- a szobák festheto tapéta alapúak, egyéb falai diszperzitesek(A tisztasági festés java részben idén megtörtént.)Épület: - kb. 50 éves, tágas légteru, fás, bokros belso udvarú, ami a többi kerttel együtt lélegzo, belso öko-klímát ad egész évben- 18 lakásos tház, NEM körfolyosós, kapuja zárt, kaputelefonos- az elsodleges külso-belso javítások folyamatosak, a lakás mellett függo eresz teljes cseréje, a teto javítása és az utcai erkélyek felújításai elkészültekKöltségek: - közös-ktsg a felújítási alappal együtt: 13.800 Ft/hó- minden közmu egyedi órákkal mért - mivel napos, világos, jól szigetelt, osszel-télen is meleg, ezért rezsije alacsony, futés nélkül is +16-17 fok van benne- parkolási díj lakosoknak: 2.000 Ft/ ÉV (rálátni a parkolóra)Környék / lokáció: - a lenyugözo, külso ÖRÖKPANORÁMA a budai hegyekig is „ellát”, a belso Zugló „feje felett” pásztáz, CSODÁS naplementék, pazar fényjelenségek mellett a hatalmas, nyitott térben. Nyáron mediterrán hangulatban, a fovárosi TUZIJÁTÉKOT is saját erkélyérol nézheti végig, aki itt lakik- a közlekedés éjjel-nappal. minden irányban KIVÁLÓ, a centrum gyorsan elérheto (trolik, buszok, villamosok, bringautak, a földalatti gyalog sincs távol, a vasút és az M3-as felhajtó is hamar elérheto)- a közelben MINDEN elsodleges szolgáltató megtalálható (ovik, iskolák, uszoda, futókörös sportpályák, piheno- és játszópark, kórház, posta, piac, bank, gyógyszertár, pékség, fagyizó, cukrászda, szépségszalon, kávézók, non-stop közért + Spar, Lidl, Tesco, Príma stb) - a Városliget nyugalma két megállóval elérheto (ott: fürdo, kutyafuttató, játszótér, további sport- és szabadidos lehetoségek, sörözok, kerthelyiségek stb)      - a ház lakóközössége kulturált, a környék rendezett, biztonságosA lakás per- és tehermentes, gyorsan költözheto. (Ingatlanosokra tényleg NEM tartok igényt!) Fotókat vagy közösségi albumomról linket itt, üzenetben szívesen küldök, amik alapból a Hermina Zugló FB profilomban, ill. a ""jóféle fogás""-on is már láthatók. Mivel bizonyára Ön is jól tudja – mert alaposan szemléli a piacot -, hogy mik és mitol képviselnek hangsúlyos, maradandó értékeket - pláne, egy pandémia miatt lezárt világban - és mert lehet, már most úgy érzi, megfogta az „égi kalandozások” lehetosége, várom megtisztelo hívását egy bejárás egyeztetéséhez.(A PONTOS BKK járatok sora: BUSZOK 5 / 32  VILLAMOSOK: 3 / 62 / 69 TROLIK: 74 / 82 + éjszakai járatok FÖLDALATTI kb 7-8 perc séta VONAT: Rákosrendezo 2 megállóra )Felmerülo kérdéseire készséggel válaszolok telefonon is, egyben megköszönöm a hirdetésre szánt figyelmét! * a TULAJDONOS  (aki tényleg NEM ingatlanos...)","felújított","1950 és 1980 között","összkomfortos","nincs megadva","3","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","13,8 E Ft/hó","nincs megadva","külön helyiségben","délnyugat","panorámás","4 m²","nincs megadva","nem tetotéri","utca, közterület",NA,NA
"3","XIV. kerület, Kassai tér","105,21 ezer €","47 m²","2","Szívesen élne az ég közelében? Felhok, fények, zöldek között, egész évben? – ha igen, lakjon Zugló ölében!Nos? Kedveli Ön a PANORÁMÁT? - és az elvehetetlen, körben pazar örök-panorámát? Ha igen és szívesen élne egy ilyen, folyton változatos, lenyugözo kilátást adó, a belvárostól mindössze 10-15 percre lévo, körben zöldre nézo lakásban, akkor lehet, éppen most, megtalálta!  * Közvetlenül a TULAJDONOSTÓL eladó egy zuglói (Herminamezo), kiváló lokációban lévo száraz, körben zöldre nézo, kényelmes, piknik- erkélyes, külön és/vagy egybenyitható, kétszobás, étkezo-konyhás, fürdokádas, külön WC-s, légkondis, gépészetileg teljesen felújított (kombi-cirkós), alacsony rezsiju, fényben úszó öröklakás egy 7 nm-es, szeparált folyosórésszel, fenti-lenti tárolókkal. (III.emeleti - nem tetotéri-, lift nélküli a ház)IDEÁLIS PÁROKNAK, kis-családnak, békét keresoknek, alkotóknak, befektetoknek (hosszútávra is gyorsan kiadható). Gépészetileg alkalmas egy amerikai-konyhás-nappali + 2 hálós átalakításhoz. Méretei az ALAPRAJZON jól láhatók.- az étkezos konyha reggel napos, tágas, jókora ablaka a belso kertekre néz. (Benne most: tuzhely, szagelszívó, mosogatógép, kerek, mély mosogatókád, cirkó). Elotte a folyosó zárt, itt NINCS átjárás, második erkély funkcióval bír (pl. szárító, bicikli, babakocsi stb. jól tárolható.)Muszaki alapok: - villanyhálózata körben felújított, már új, digitális villanyórával - kiépített internet/TV csatlakoztatókkal mindkét szobában- futés+melegvíz: kombi-cirkóval megoldott, lapradiátorokkal (bélelt kémény, biztonsági elemekkel kiépített)- a fürdoben egy szárítós radiátor, páraelszívó, mosógépkiállás adott- burkolata: mindenhol járólapos (a nyári melegben ez optimális, de igény szerint, a szobák parkettázhatók)- hevederzáras, az erkély+nappali nyílászárói bukó-nyílók, rolókkal, a konyha és a háló ablakai is rolóval felszereltek- a szobák festheto tapéta alapúak, egyéb falai diszperzitesek(A tisztasági festés java részben idén megtörtént.)Épület: - kb. 50 éves, tágas légteru, fás, bokros belso udvarú, ami a többi kerttel együtt lélegzo, belso öko-klímát ad egész évben- 18 lakásos tház, NEM körfolyosós, kapuja zárt, kaputelefonos- az elsodleges külso-belso javítások folyamatosak, a lakás mellett függo eresz teljes cseréje, a teto javítása és az utcai erkélyek felújításai elkészültekKöltségek: - közös-ktsg a felújítási alappal együtt: 13.800 Ft/hó- minden közmu egyedi órákkal mért - mivel napos, világos, jól szigetelt, osszel-télen is meleg, ezért rezsije alacsony, futés nélkül is +16-17 fok van benne- parkolási díj lakosoknak: 2.000 Ft/ ÉV (rálátni a parkolóra)Környék / lokáció: - a lenyugözo, külso ÖRÖKPANORÁMA a budai hegyekig is „ellát”, a belso Zugló „feje felett” pásztáz, CSODÁS naplementék, pazar fényjelenségek mellett a hatalmas, nyitott térben. Nyáron mediterrán hangulatban, a fovárosi TUZIJÁTÉKOT is saját erkélyérol nézheti végig, aki itt lakik- a közlekedés éjjel-nappal. minden irányban KIVÁLÓ, a centrum gyorsan elérheto (trolik, buszok, villamosok, bringautak, a földalatti gyalog sincs távol, a vasút és az M3-as felhajtó is hamar elérheto)- a közelben MINDEN elsodleges szolgáltató megtalálható (ovik, iskolák, uszoda, futókörös sportpályák, piheno- és játszópark, kórház, posta, piac, bank, gyógyszertár, pékség, fagyizó, cukrászda, szépségszalon, kávézók, non-stop közért + Spar, Lidl, Tesco, Príma stb) - a Városliget nyugalma két megállóval elérheto (ott: fürdo, kutyafuttató, játszótér, további sport- és szabadidos lehetoségek, sörözok, kerthelyiségek stb)      - a ház lakóközössége kulturált, a környék rendezett, biztonságosA lakás per- és tehermentes, gyorsan költözheto. (Ingatlanosokra tényleg NEM tartok igényt!) Fotókat vagy közösségi albumomról linket itt, üzenetben szívesen küldök, amik alapból a Hermina Zugló FB profilomban, ill. a ""jóféle fogás""-on is már láthatók. Mivel bizonyára Ön is jól tudja – mert alaposan szemléli a piacot -, hogy mik és mitol képviselnek hangsúlyos, maradandó értékeket - pláne, egy pandémia miatt lezárt világban - és mert lehet, már most úgy érzi, megfogta az „égi kalandozások” lehetosége, várom megtisztelo hívását egy bejárás egyeztetéséhez.(A PONTOS BKK járatok sora: BUSZOK 5 / 32  VILLAMOSOK: 3 / 62 / 69 TROLIK: 74 / 82 + éjszakai járatok FÖLDALATTI kb 7-8 perc séta VONAT: Rákosrendezo 2 megállóra )Felmerülo kérdéseire készséggel válaszolok telefonon is, egyben megköszönöm a hirdetésre szánt figyelmét! * a TULAJDONOS  (aki tényleg NEM ingatlanos...)","felújított","1950 és 1980 között","összkomfortos","nincs megadva","3","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","13,8 E Ft/hó","nincs megadva","külön helyiségben","délnyugat","panorámás","4 m²","nincs megadva","nem tetotéri","utca, közterület",NA,NA
"4","XIV. kerület, Egressy út 73.","37,9 millió Ft","56 m²","2","Eladó kedvelt lakásom az Egressy út 73.szám alatt , a Nagy Lajos király útja  és a Mogyoródi út közelségében.Nagyon világos lakás, ami az elrendezésének köszönhetoen körbe süti a nap.Frissen van festve , rendezett ,  szép parkettás lakás, madárcsicsergos fás, lombos, parkos barátságos környezetben ,  jó lakóközösséggel.A ház  homlokzata a közeljövoben teljes felújítást kap , ami az értékét is növelni fogja!A lakáshoz tartozik pince is , parkolás a ház elott lehetséges, kialakított ingyenes parkolóhelyeken.Remek elhelyezkedésének köszönhetoen , a közelben van élelmiszerüzlet, posta, gyógyszertár és pár sétával a Bosnyák piac is elérheto.A parkban játszótér , közelben iskola , óvoda és sportpálya található.Tömegközlekedési eszközök,  ami nagyon kedvezoek 3 -as és  62-es villamos , 32 -es busz 77 -es troli.INGATLANOSOK megkérem ne keressenek, ,semmilyen formában nem kívánok együttmuködni velük!","jó állapotú","nincs megadva","nincs megadva","nincs megadva","4","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","12  Ft/hó","igen","külön helyiségben","nincs megadva","panorámás","5 m²","nem","nem tetotéri","utca, közterület - ingyenes",NA,NA
"5","I. kerület, Attila út","37,9 millió Ft","40 m²","1","Kiváló garzon lakás a Budai Vár alján, a Tabánban!A Tabánban az Attila úton eladó egy 40 négyzetméteres, 1 szobás, alagsori lakás, plusz 8 nm-s tárolóval.Az eladási árban a teljes bútorzat, berendezés benne van!Befektetésnek is kiváló! vagy egyedülálló pályakezdoknek.Kiadásra ideális, eddig is Booking által folyamatosan kiadott.A környék;- A közelben minden kényelmi érték elérheto távolságban van- Tömegközlekedése páratlan: 56, 56A villamos, 178, 105, 5-ös busz.- Kikapcsolódásra a Citadella, naphegyi Oxygen Wellness, vagy a rakpart és a Budai Várnegyed nyújt tökéletes lehetoséget programokra!A lakás elhelyezkedésébol fakadóan, teljesen egyedi környezetKérem amennyiben még bármilyen kérdése felmerül vagy szeretné megtekinteni a lakást, hívjon bizalommal!","felújított","nincs megadva","nincs megadva","nincs megadva","földszint","5","nincs megadva","nincs megadva","elektromos","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"6","I. kerület, Krisztinaváros","37,9 millió Ft","40 m²","1","Kiváló garzon lakás a Budai Vár alján, a Tabánban!A Tabánban az Attila úton eladó egy 40 négyzetméteres, 1 szobás, alagsori lakás, plusz 8 nm-s tárolóval.Az eladási árban a teljes bútorzat, berendezés benne van!Befektetésnek is kiváló! vagy egyedülálló pályakezdoknek.Kiadásra ideális, eddig is Booking által folyamatosan kiadott.A környék;- A közelben minden kényelmi érték elérheto távolságban van- Tömegközlekedése páratlan: 56, 56A villamos, 178, 105, 5-ös busz.- Kikapcsolódásra a Citadella, naphegyi Oxygen Wellness, vagy a rakpart és a Budai Várnegyed nyújt tökéletes lehetoséget programokra!A lakás elhelyezkedésébol fakadóan, teljesen egyedi környezetKérem amennyiben még bármilyen kérdése felmerül vagy szeretné megtekinteni a lakást, hívjon bizalommal!","jó állapotú","1950 elott","nincs megadva","nincs megadva","szuterén","nincs megadva","van","3 m-nél alacsonyabb","elektromos","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nyugat","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"7","VIII. kerület, Józsefváros - Magdolnanegyed","37,9 millió Ft","49 m²","2","A VIII. kerületben, 2008-ban épült házban, 2 szobás lakás keresi új tulajdonosát- 1.emelet, lift, zárt lépcsoház- belso, közös kertre nézo ablakok- portaszolgálat, kerékpár tároló- amerikai konyhás, francia ablakos, étkezos, tágas nappali- újszerú konyha és beépített szekrények a lakásban- a lakás bútorozottan eladóÉlheto, jó elrendezésu, világos otthon!Befektetok figyelem!A lakásban bérlo lakik, aki lehetoség szerint maradna.Hívjon és jöjjön, nézze meg!Budapest, Pest, VIII. kerület, 8. kerület, eladó 2 szobás lakás","jó állapotú","2001 és 2010 között","nincs megadva","nincs megadva","1","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","kertre néz","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"8","VIII. kerület, Józsefváros - Magdolnanegyed","37,9 millió Ft","49 m²","2","A VIII. kerületben, 2008-ban épült házban, 2 szobás lakás keresi új tulajdonosát- 1.emelet, lift, zárt lépcsoház- belso, közös kertre nézo ablakok- portaszolgálat, kerékpár tároló- amerikai konyhás, francia ablakos, étkezos, tágas nappali- újszerú konyha és beépített szekrények a lakásban- a lakás bútorozottan eladóÉlheto, jó elrendezésu, világos otthon!Befektetok figyelem!A lakásban bérlo lakik, aki lehetoség szerint maradna.Hívjon és jöjjön, nézze meg!Budapest, Pest, VIII. kerület, 8. kerület, eladó 2 szobás lakás","jó állapotú","2001 és 2010 között","nincs megadva","nincs megadva","1","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","kertre néz","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"9","VIII. kerület, Józsefváros - Magdolnanegyed","37,9 millió Ft","49 m²","2","A VIII. kerületben, 2008-ban épült házban, 2 szobás lakás keresi új tulajdonosát- 1.emelet, lift, zárt lépcsoház- belso, közös kertre nézo ablakok- portaszolgálat, kerékpár tároló- amerikai konyhás, francia ablakos, étkezos, tágas nappali- újszerú konyha és beépített szekrények a lakásban- a lakás bútorozottan eladóÉlheto, jó elrendezésu, világos otthon!Befektetok figyelem!A lakásban bérlo lakik, aki lehetoség szerint maradna.Hívjon és jöjjön, nézze meg!Budapest, Pest, VIII. kerület, 8. kerület, eladó 2 szobás lakás","jó állapotú","2001 és 2010 között","nincs megadva","nincs megadva","1","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","kertre néz","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"10","XV. kerület, Újpalota","37,9 millió Ft","68 m²","3","Eladásra kínálunk Budapesten a XV. kerületben Újpalotán, egy 70 nm-es III. emeleti három szobás ERKÉLYES lakást.A társasház kellemes, jó elhelyezkedésu, rendezett lépcsoházzal.A harmadik emeleti lakásban három szoba található.Eloszobában beépített szekrény. Mindegyik szobában MUANYAG nyílászáró ki lett cserélve.VILÁGOS Konyha, külön KAMRA tárolóval. Fürdoszoba KÁDDAL, és külön bejáratú toalettel. Nappaliból tágas ERKÉLY nyílik.","jó állapotú","1950 és 1980 között","nincs megadva","nincs megadva","3","3","nincs","nincs megadva","távfutés","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","délkelet","nincs megadva","3 m²","nincs megadva",NA,"nincs megadva",NA,NA
