"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Parkolás","Parkolóhely ára","Tetotér","Panelprogram"
"1","XIII. kerület, Újlipótváros","57,5 millió Ft","55 m²","3","Újlipótváros szívében,csendes ,csendes-fás belso udvarra nézo erkélyes lakás eladóAz 55 m2-es, nappali +2 hálószobás lakás liftes házban, a 3. emeleten található. 2 éve esett át teljesköru felújításon, minden újszeru.Déli fekvésének köszönhetoen napfényes, egy 9 nm-es erkély egészíti ki a hangulatos nappalit ami tavasztól oszig kis oázisként funkcionál. Nagyon intim, mert az udvarra néz ami tele van fákkal.Nyári hónapokban légkondicionáló biztosítja, hogy kellemes, huvös legyen a lakás.A fürdoszobában kád, külön helyiségben található a mosdó.1/1 -es tulajdonban van, az ingatlan tehermentes.Bèkés,kedves lakóközösség.A lakáshoz tartozik udvari ,saját parkolóhely .Közös költség 18.000 Ft, melyben a parkolás díja is benne van.Kituno lokáció, a közelben minden séta távolságra megtalálható ami a mindennapokban szükséges: üzletek, gyógyszertár, stb.Szent istván park, Westend szintén rövid sétával elérheto.Hivatkozási szám: LK025233","felújított","1950 és 1980 között","összkomfortos","nincs megadva","3","7","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","16 E Ft/hó","nincs megadva","külön helyiségben","dél","panorámás","9 m²","nem","udvari beálló - bérelheto","2 000 Ft/hó",NA,NA
"2","V. kerület, Veres Pálné utca 10.","57,5 millió Ft","54 m²","1","Eladó a belváros szívében, tömegközlekedés szempontjából kiváló helyen, a belváros egyik leghangulatosabb utcájában, pár lépésre az Erzsébet-hídtól, kis lakásunk.Kifejezetten napfényes, nyugati fekvésu, 1 szoba +halos, csendes lakás.A ház rendezett, kulturált, gang frissen felújítva. Belmagasság 390cm, galériázható.A házban központi futés van, nagy elonye, hogy ennek költségeit a közös költség fedezi, melynek összege összesen (víz-, szemétdíj, és futés összesen) 25.000.- Ft.Kiváló ár/érték arány, azonnal költözheto.","jó állapotú","nincs megadva","nincs megadva","nincs megadva","4","6","van","nincs megadva","házközponti","nincs megadva","25 E Ft/hó","nincs megadva","külön helyiségben","nincs megadva","utcai","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA
"3","IX. kerület, Mester utca","57,5 millió Ft","58 m²","3","A dinamikusan fejlodo Középso-Ferencvárosban található 2 hálószobás, amerikai konyhás, 58m2-es lakás eladó!LOKÁCIÓ: A lakás a IX. kerületi Mester utcában található. Központi elhelyezkedése révén kiváló tömegközlekedéssel rendelkezik: 4-6 villamos Mester utcai megálló 6 perc sétára, M3 Semmelweis Klinikák metrómegálló 9 perc sétára, Boráros tér 8 perc sétára (Hév, villamos, buszjáratok), 24-es villamos 5 perc sétára. Egyetemi elérhetoség: SOTE EOK épülete 7 perc séta, Corvinus, BME és ELTE (Infopark) 15 perc. Egyéb oktatási intézmények, bölcsode, óvoda, iskola is található a környéken. Éjjel-nappali SPAR, Tesco, biobolt, éttermek, bárok és egyéb szolgáltatások a közvetlen közelben.HÁZ: A lakás egy 2006-ban épült téglaépületben található, melyben 0-24-es portaszolgálat muködik, zárt belso kerttel rendelkezik. Folyamatosan karbantartott és rendszeresen takarított, 8 emeletes, lifttel rendelkezo épület.LAKÁS: A lakás a negyedik emeleten található, mind a ho-, mind az akusztikai szigetelése kiváló. Két kényelmes és nemrégiben festett hálószoba, amerikai konyhás nappali, valamint külön fürdo és WC várja új lakóit. A lakáshoz tartozik egy garázsbeálló és egy 5m2-es, közvetlenül a beálló mögött elhelyezkedo tároló. Ezek ára 7 millió Ft, melyek a lakással együtt megvásárlandók.Ingatlanosok kérem, ne keressenek!------------------------------------------------------------------------------------------------------------------------------------------------------A two-bedroom, 58m2 apartment with an american kitchen in the dynamically developing Central-Ferencváros is for sale!LOCATION: The apartment is situated on Mester street within the 9th district of Budapest. Due to its central location, it has excellent public transport connections: Tram 4-6 within 6 minutes (Mester utca – Ferenc körút), subway M3 within 9 minutes (Semmelweis Klinikák), Tram 24 within 5 minutes. Universities nearby: SOTE EOK within 7 minutes, Corvinus, BME and ELTE (Infopark) within 15 minutes. Other educational institutions, nursery, kindergarten, schools are available. 0-24h SPAR, Tesco, bioshop, restaurants, bars and other services are in the immediate vicinity.HOUSE: The apartment is located in a brick building built in 2006, with reception service for 0-25, and an enclosed inner garden. It is a continuously maintained and regularly cleaned, 8-storey building with elevators.APARTMENT: The apartment is located on the 4th floor, both the thermal and acoustic insulation are excellent. Two comfortable and recently painted bedrooms, a living room with an american kitchen and a separate bathroom and toilet await its new residents. A parking space in the basement and a 5m2 enclosed storage room located directly behind the parking space belong to the apartment. These cost 7M HUF, which can only be purchased together with the apartment.","jó állapotú","2001 és 2010 között","összkomfortos","nincs megadva","4","8","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","nincs megadva","nem","külön helyiségben","nincs megadva","utcai","nincs megadva","nem","teremgarázs hely - kötelezo megvenni","5 000 000 Ft","nem tetotéri",NA
"4","XII. kerület, Sárospatak út","57,5 millió Ft","46 m²","1 + 1 fél","Eladó egy 46 m2-es lakás ami 2016-ben teljes körüen fel lett újitva, magas  minoségu anyagok felhasználásával. Dél Keleti fekvésu erkélyes, második emeleti, részben panorámás, bútorozott.Jelenleg berlo van benne.  Bèrleti dij 200e forint per ho. A társasház felujitott aminek 2. emeletén található, rendkívül nyugodt környezetben, zöldövezetben. Helységek: hálószoba, nappali, felszerelt amerikai konyha, elószoba, fürdószoba, WC.Az erkely rèszben a vàrosra nèz. A hàz tetejen panoràma terasz. A hàz elôtt ingyenes a parkolas de a kerben is lehet parkolni. A közelben busz ill a fogaskerekû.Szuper jo, napfènyes fiatalos lakàs.  Csak magànszenèlyek keresennek.","felújított","1981 és 2000 között","összkomfortos","AA","2","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs","8 E Ft/hó","nem","külön helyiségben","délkelet","panorámás","8 m²","nem","udvari beálló - benne van az árban",NA,"nem tetotéri",NA
"5","XII. kerület, Sárospatak út","159,62 ezer €","46 m²","1 + 1 fél","Eladó egy 46 m2-es lakás ami 2016-ben teljes körüen fel lett újitva, magas  minoségu anyagok felhasználásával. Dél Keleti fekvésu erkélyes, második emeleti, részben panorámás, bútorozott.Jelenleg berlo van benne.  Bèrleti dij 200e forint per ho. A társasház felujitott aminek 2. emeletén található, rendkívül nyugodt környezetben, zöldövezetben. Helységek: hálószoba, nappali, felszerelt amerikai konyha, elószoba, fürdószoba, WC.Az erkely rèszben a vàrosra nèz. A hàz tetejen panoràma terasz. A hàz elôtt ingyenes a parkolas de a kerben is lehet parkolni. A közelben busz ill a fogaskerekû.Szuper jo, napfènyes fiatalos lakàs.  Csak magànszenèlyek keresennek.","felújított","1981 és 2000 között","összkomfortos","AA","2","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs","8 E Ft/hó","nem","külön helyiségben","délkelet","panorámás","8 m²","nem","udvari beálló - benne van az árban",NA,"nem tetotéri",NA
"6","III. kerület, Lajos utca","57,5 millió Ft","67 m²","2","Eladásra kínáljuk Lajos utcai lakásunkat!Óbudai felújított, csendes, tiszta ház földszintjén található 67 négyzetméter plusz 7 négyzetméteres álló galériás kétszobás lakás. A belso udvar 8 éve, lakásunk 14 éve került felújításra, de azóta is folyamatosan karban tartjuk. Ebben az évben külso ablaküvegeket thermo ablakokra ( ho és hangszigetelést biztosító üvegekre) cseréltük, a hálószobában vadonatúj konvektor, a fürdoszobában pedig törölközo szárítót szereltettünk be. Parkolási lehetoség közvetlenül a ház elott soha nem probléma, de ha mégis, a szomszéd területen fizetos zárt parkolóban hagyhatjuk az autót. Fantasztikus a környék, kézmuves pékség, színvonalas éttermek karnyújtásnyira, mosoda, Manna abc. Gyógyszertár, orvosi rendelok, óvoda, iskola, Spar, benzinkút, uszoda fittness termek 1 km-en belül.A 9-es busz a ház elott áll meg, a HÉV Tímár utcai megállója 10 perc sétára van a háztól.A lakáshoz pince helyiség is tartozik.KÉRJÜK INGATLANOS HÖLGYEK/URAK NE KERESSENEK!!!A lakás ára: 57,5 Millió Ft","felújított","nincs megadva","összkomfortos","nincs megadva","földszint","4","van","3 m-nél magasabb","gáz (konvektor)","nincs","55 E Ft/hó","nem","egy helyiségben","nincs megadva","udvari","nincs megadva","nem","utca, közterület",NA,"nem tetotéri",NA
"7","V. kerület, Falk Miksa utca","57,5 millió Ft","65 m²","2 + 1 fél","Tulajdonostól eladó !Eladó Budapest V. kerület, Falk Miksa utcában egy 65 m2-es, 2 és fél szobás, 6. emeleti (legfölso szint) udvari lakás, nem körfolyosós házban.A lakás déli és keleti fekvésu, napos.Közvetlen szomszéd hiányában  a lakás elotti folyosón  nincs közlekedés.A lakás állapota átlagos, szerelt kéménnyel ellátott.Fürdoszobában külön kád és tusoló van, különálló a WC helyiség.Riasztó távfelügyeleti rendszer kiépített, kábel TV , internet, telefon bekötve.A nappaliban kb.9 m2 fa galéria van .Az étkezokonyhából külön kamra nyílik. Az eloszobát konyhától üvegfal választja el.Ha a lakás felkeltette az érdeklodését, kérem a megadott telefon számon hívjon .","közepes állapotú","nincs megadva","összkomfortos","nincs megadva","6","6","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","udvari","nincs megadva","nincs megadva","nincs megadva",NA,"nem tetotéri",NA
"8","IX. kerület, Belso-Ferencváros","57,5 millió Ft","75 m²","2 + 1 fél","IX. Néhány lépésre a Dunától, a gyönyöruen megújuló Belso-Ferencváros egyik Dunához vezeto utcájában szép állapotú lakás eladó.Az egyetemek közelsége miatt fiatalos hangulatú környéken eladásra kínáljuk a 75 nm-es, 2 + 1 szobás, nagyon világos, tágas terekkel rendelkezo, harmónikus színekkel felújított lakást. A fürdoszoba, konyha és mellékhelyiség még az eredeti. A leendo tulajdonos kreatívitására vár.Még a bringáknak is van hely!A rendezett társasház kívül-belül megújult, most a teto felújítása következik. Csendes, nyugodt lakóközösség jellemzi.A lakás magasföldszinti, utcára néz, de több méterre az utca szintjétol!Tartozik hozzá egy pince-tároló is.English:IX. A few steps from the Danube, in one of the streets leading to the Danube in the beautifully renewed Inner Ferencváros, a apartment in nice condition is for sale.Due to the proximity of the universities, we are offering for sale a 75 sqm, 2 + 1 room apartment with a very bright, spacious space, renovated in harmonious colors, in a youthful area. The bathroom, kitchen and toilet are still original. Waiting for the creativity of the prospective owner.There is even room for bikes!The tidy condominium has been renovated inside and out, now the roof is being renovated. It is characterized by a quiet, peaceful residential community.The apartment is on the mezzanine level, facing the street, but several meters from street level!It also has a cellar storage.","jó állapotú","1950 elott","összkomfortos","nincs megadva","félemelet","5","van","3 m-nél magasabb","nincs megadva","nincs megadva","nincs megadva","nem","külön helyiségben","északnyugat","utcai","nincs megadva","nincs megadva","utca, közterület - fizetos övezet",NA,"nincs megadva",NA
"9","XIV. kerület, Limanova tér","57,5 millió Ft","75 m²","3","Végtelen nyugalom Zuglóban!Belváros egy karnyújtásnyira! Osfás park közepén igényes lakás!Zugló méltán közkedvelt részén, a Herminamezo egyik kis parkjában a Limanova téren található ez a fiatalos kialakítású ingatlan, osfás parkkal körülvéve.A négyemeletes, kis lakásszámú ház 4. emeletén nincs jövés-menés, nincs dörömbölo felso lakó, csak csend és szép zöldre nézo kilátás.Olyan fiatalok figyelmébe ajánlom, akik szeretik a testmozgást, akiket nem zavar a lépcsozés, és akik értékelik a világos, tágas tereket, valamint szívesen kihasználják a két erkélyt, ami tökéletes helyszín olvasni, relaxálni, vagy akár egy hangulatos étkezéshez... Marad is ido a pihenésre, mivel itt a por sem jön fel a nyitott ablakon.Tömegközlekedés, edzoterem, boltok, és minden ami kellhet karnyújtásnyira. Autósoknak kocsibeálló vásárolható.Ha el tudod képzelni, hogy ez megadná azt az érzést amire régóta vágytál, akkor keress bizalommal és szívesen megmutatom!","újszeru","2021","összkomfortos","nincs megadva","4","5","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nem","külön és egyben is","északkelet","kertre néz","nincs megadva","nem","teremgarázs hely - megvásárolható",NA,"nem tetotéri",NA
"10","XIV. kerület, Limanova tér","57,5 millió Ft","75 m²","3","Budapest 14. kerületében, Zuglóban a Limanova téren eladó egy új építésu szuper ingatlan! Az új éptésu társasház 4. emeletén elhelyezkedo lakás 75 nm-s nagyon szép kilátással! Az ingatlan elosztása nagyszeru, két 14 nm-s hálószoba (az egyikhez erkély tartozik), nagy méretu nappali amerikai konyhával, fürdoszoba és külön WC. A nappalihoz is tartozik egy szép kilátással rendelkezo erkély! A lakás csendes zöld részre néz! Nagyszeru közlekedés! A közelben busz, villamos és troli megálló valamint bevásárlási lehetoségek vannak! A társasház földszintjén 2 beállós teremgarázs hely vásárolható! Megtekintésért és további információért kérem hívjon!","nincs megadva",NA,"nincs megadva","nincs megadva","4","4","nincs","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön és egyben is","nincs megadva","kertre néz","9 m²","nincs megadva","teremgarázs hely - megvásárolható","13 millió Ft","nincs megadva",NA
