"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","VII. kerület, Király utca 13.","72 millió Ft","73 m²","3","A Deák Ferenc tér közvetlen  közelében a Gozsdu udvarnál kínálok eladásra ,egy három különnyíló szobával rendelkezo magas emeleti lakást.A lakás utcai nézetu, fekvésébol fakadóan világos, kiváló elosztású.A ház, amelyben található  teljes felújításra került, amely során hangszigetelt ablakok és igényes ajtók lettek beépítve.A lakás lépcsoházból nyíló, amely igen exkluzívvá teszi a lakás bejáratát.A lakás kiadhatóság szempontjából is kituno választás, ugyanis akár hosszútávon, akár rövidtávon kituno bevételi lehetoség.Jöjjön el nézze meg legyen az Öné!Bármikor hívhat,a nap minden szakában tudom mutatni,mivel a kulcs nálam van!","újszeru","1950 elott","összkomfortos","B","3","5","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","nincs megadva","igen","külön helyiségben","nyugat","utcai","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"2","XIII. kerület, Danubius utca 9.","72,01 millió Ft","47 m²","2","""A Duna pesti oldalának mesés szakaszán, a Marina-parton épülo, négy csodálatos épületegyüttesbol álló lakópark, több mint 300 lenyugözoen modern, exkluzív kialakítású otthonnal vár! Az eloértékesítés megkezdodött!A Blu az elérheto városi luxus legmagasabb szintjét nyújtja, melyben a családok, egyedülállók, fiatalok, gyerekek és idosek egyaránt aktívabb életet élhetnek a relaxáció és kikapcsolódás lehetoségével. Egyedülálló koncepciónk tervezése során egy minden igényt kielégíto lakókörnyezetet hozunk létre, ami kiegyensúlyozottságot, nyugalmat és maximális kényelmet biztosít az intenzív nagyvárosi életmódot élok számára. Apartmanjaink izgalmas szolgáltatásokkal egészülnek ki – többek között lebilincselo zöld övezettel, közösségi irodával, gyereksarokkal, és wellness lehetoségekkel amik csak arra várnak, hogy birtokba vegye oket.""Bevezeto árak, Marina Part, kiemelkedo szolgáltatások,","új építésu","2025","összkomfortos","nincs megadva","6","8","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","igen","külön helyiségben","északnyugat","utcai","14.4 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","5 000 000 Ft",NA
"3","XIII. kerület, Danubius utca 9.","72,04 millió Ft","47 m²","2","""A Duna pesti oldalának mesés szakaszán, a Marina-parton épülo, négy csodálatos épületegyüttesbol álló lakópark, több mint 300 lenyugözoen modern, exkluzív kialakítású otthonnal vár! Az eloértékesítés megkezdodött!A Blu az elérheto városi luxus legmagasabb szintjét nyújtja, melyben a családok, egyedülállók, fiatalok, gyerekek és idosek egyaránt aktívabb életet élhetnek a relaxáció és kikapcsolódás lehetoségével. Egyedülálló koncepciónk tervezése során egy minden igényt kielégíto lakókörnyezetet hozunk létre, ami kiegyensúlyozottságot, nyugalmat és maximális kényelmet biztosít az intenzív nagyvárosi életmódot élok számára. Apartmanjaink izgalmas szolgáltatásokkal egészülnek ki – többek között lebilincselo zöld övezettel, közösségi irodával, gyereksarokkal, és wellness lehetoségekkel amik csak arra várnak, hogy birtokba vegye oket.""Bevezeto árak, Marina Part, kiemelkedo szolgáltatások,","új építésu","2025","összkomfortos","nincs megadva","7","8","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","igen","külön helyiségben","északnyugat","utcai","11.85 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","5 000 000 Ft",NA
"4","XIII. kerület, Loportár utca","72,06 millió Ft","70 m²","1 + 2 fél","ZÖLD HITEL FELTÉTELEINEK MEGFELEL!!!2022. január 31. Muszaki átadás. Költözés az azt követo 2-3 hónap múlva!!!Burkolat még választható. 20% -80% os fizetési ütemezés, gépkocsi beálló vásárlása kötelezo, amely 4 mft. Korszeru mennyezet futés-hutés, minden lakásban saját tároló! Redony beépítve. Budapest legdinamikusabban fejlodo XIII. kerületében a Loportárdulon egy újabb modern városrész formálódik. Nem véletlen, hiszen a környék remek adottságai, a belváros és a Városliget közelsége minden korosztály részére egyaránt vonzó lehetoség.Tömegközlekedéssel a város minden pontja gyorsan elérheto, a Lehel téri metró, a 14-es villamos és a 75/79-es trolik megállója gyalog 5-10 percNapi bevásárláshoz a Lehel Csarnok és a környék üzletei minden igényt kielégítenek, de ha a Westend Cityben ""shoppingolna"", akkor gyalog is elsétálhat oda. Több sport és szabadidos lehetoség között válogathat a Városligetben és a környék sport létesítményeiben.Gyerekes családok figyelem!! Budapest legkorszerubb, több díjat nyert, gyerekbarát óvodája a Kassák Lajos utcában nagyon közel van. Természetesen a nagyobbak is válogathatnak több kiváló általános iskola és gimnázium között.A 62 lakásos ház egyedi, modern formavilága is kitunik a városrészben épült és épülo nagyobb lakóparkoktól.Legfontosabb azonban a lakások kényelme és a gazdaságos fenntarthatóság. A legkorszerubb hoszivattyús huto-futo rendszer és a jó hoszigetelés biztosítja a kedvezo költségeket. Radiátorok helyett helytakarékos és jobb hoérzetet biztosító felület futés lesz. A szobákban mennyezeti hutés-futés, a hidegpadlós helyiségekben padlófutés kerül kialakításra, helyi egyedi szabályozással.A jó elosztású lakásokat elsosorban családok részére tervezték. Minden lakáshoz nagy erkély és tároló/háztartási helyiség tartozik, a szobák is kényelmes, élheto méretuek. Nézze meg ajánlatainkat és találja meg az Önnek legjobban megfelelot!3.em 303 lakás","új építésu","2021","összkomfortos","nincs megadva","3","7","van","3 m-nél alacsonyabb","mennyezeti hutés-futés","van","30 E Ft/hó","igen","külön helyiségben","délkelet","utcai","9 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","4 000 000 Ft",NA
"5","XIII. kerület, Angyalföld - Loportárdulo","72,1 millió Ft","67 m²","3","ZÖLD HITEL IGÉNYELHETO! ÚJ ÉPÍTÉSU LAKÁSBB energetikai besorolású ingatlan, legkorszerubb és leghatékonyabb mennyezeti hutés-futés rendszerrel!Várható átadás: 2022 1. félévKiváló lokáció: Váci út, Dózsa György úti metrómegálló gyalogos távolságban elérheto.Garázs vásárolható opcionálisan.Részletekkel kapcsolatban keressen bizalommal!Zöld hitel, Zöld Otthon Program, BB energetikai besorolás, Belváros, 13.kerület, Loportárdulo","nincs megadva",NA,"összkomfortos","nincs megadva","2","7","van","nincs megadva","nincs megadva","van","nincs megadva","igen","nincs megadva","nincs megadva","nincs megadva","31 m²","nincs megadva","nincs megadva","nincs megadva",NA,NA
"6","XI. kerület, Kánai út","72,1 millió Ft","50 m²","2","Az Atenor által fejlesztett Lake11 Home&Park egyedi tervezésu, környezettudatos otthonai csodás panorámával, Budapest 11. kerületében Koérbereken, közvetlenül a Kánai-tóra, a környezo budai dombokra vagy a gyönyöru belso kertre tájoltak és mindössze 10 percre találhatóak a budai belvárostól. Az épületeket négy kiváló építésziroda álmodta meg. A modern és letisztult, ugyanakkor önálló építészeti stílusjegyeket hordozó épületek és a természet között egységes tájépítészeti koncepció teremti meg a harmóniát. Az egyszobás stúdiólakástól a 2-3 és 4 hálószobás 150 m2-es családi, prémium és penthouse lakásokig, minden élethelyzetnek megfelelo lakástípus elérheto a lakóparkon belül. A hatalmas üvegablakokkal rendelkezo belso kétszintes DUPLEX apartmanjai, valamint extra nagy alapterületu prémium lakásai pedig valódi alternatívát kínálnak a családi házat keresok számára is.A hatalmas, zöld parkokkal körülvett modern élettérben lehetoséged lesz sportolni, kikapcsolódni, dolgozni, gyereket nevelni, pihenni és feltöltodni. Egyszóval élni. Ezt nyújtja az új Lake11 Home & Park. A te otthonod az életstílusodra és zöldre hangolva.Szinte minden városi szolgáltatás pár perc autózással elérheto, legyen szó moziról, bevásárlásról, találkozóhelyekrol. A gyors bejutáshoz persze nem kell mindig autót használni. A 187-es busz és a 41-es villamos is a lakóparknál áll meg. De az M1, M7 és M0 autópályák is könnyen elérhetoek, így nagyon gyorsan kijutunk a városból, akár a Velencei-tóra, akár a Balatonra indulunk. A Lake11 területén zöld parkok, csökkentett forgalmú sétálóutcák, kutyafuttató, játszótér és tó körüli futópálya gondoskodik az itt élok mindennapi kényelmérol és szabadtéri kikapcsolódásáról. A közelben számos lovarda, már kiépített uszoda, strand, fitneszterem, síiskola, tenisz- és squashpálya várja a beköltözoket. A lakóparkot körülölelo dombok, az Atenor fejleszto által telepített rengeteg fa által alkotott belso pihenokertek és park office lehetoségek a tóparttal pedig megteremtik a legfontosabbat: a természet közelségét, hogy minden egyensúlyba kerüljön. A Kánai-tó körül kiépülo sétány és futópálya, piheno pontokkal megújuló óriási zöld park, család- és gyermekbarát fejlesztések várják majd az itt éloket.A LAKE11 minden otthona az átlagnál tágasabb belso terekkel, jól kihasználható teraszokkal, igényes homlokzati burkolatokkal, a legkorszerubb muszaki, valamint okosotthon-megoldásokkal várja leendo lakóit. Az alapárban gépesített konyhát és külso árnyékolót kínálunk. A fejlesztés keretén belül az ATENOR a közvetlen helyi infrastruktúrát is fejleszti többek közt orvosi rendelo létesítésével.                                                                                                                                                                                 Az elsok között regisztrációs szerzodést aláíró kedves ügyfeleink számára, jelentos elonnyel kínáljuk lakásainkat!  • Bevezeto árak• Mindössze 2 M Ft regisztrációs díjjal és kedvezo fizetési ütemezéssel lefoglalhatja leendo új otthonát• A jelenlegi lakás alaprajzok építészeti kialakítása még díjmentesen módosítható • Minden lakáshoz foglalható gépkocsibeálló• Az alapárban gépesített konyhát és külso árnyékolót kínálunk.","új építésu","2023","nincs megadva","nincs megadva","1","3","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","nincs megadva","nincs megadva","kelet","nincs megadva","7.09 m²","nem","nem tetotéri","teremgarázs hely",NA,NA
"7","XIII. kerület, Szent László út","72,14 millió Ft","75 m²","3","Zöld hitelre alkalmas lakások az OTP Ingatlanponttól! 2022. év nyarán költözheto újépítésu otthonok a XIII. kerület, Mór utcában. Utolsó lakások még elérhetok. Amerikai konyhás nappali + 2 hálószoba, ill. nappali + 1 háló. Minden lakáshoz loggia vagy terasz.  Válasszon kínálatunkból, és számíthat az OTP Ingatlanpont szakmai támogatására a teljes vételi folyamat során az adásvételi szerzodéstol a hitelügyintézésen keresztül egészen a kulcsrakész átadásig. Ne feledje, az OTP Ingatlanpont kedvezményes pénzügyi konstrukciókkal áll ügyfelei rendelkezésére! VIP-szolgáltatást nyújtunk az OTP-hiteltermékek, valamint a CSOK és ÁFA-kedvezmény ügyintézésben! Tudjon meg többet hívjon bizalommal!Referencia szám: M196059","nincs megadva",NA,"összkomfortos","AA+","5","nincs megadva","van","nincs megadva","egyéb","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","utcai","4 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"8","VII. kerület, Peterdy utca","72,2 millió Ft","74 m²","3","Ligetvárosban kínálom megvételre ezt a 74nm-es prémium lakást.Az ingatlan 2 éve mindenre kiterjedo felújításon esett át:-magas minoségu burkolatok-új víz és elektromos hálózat-futéskorszerusítés és kémény bélelés-gépészet-új nyílászárókFelszereltségét tekintve is kiváló választás, ugyanis minden helyiségben klíma található.Az ablakok elektromos redonnyel szereltek.Mozgásérzékelo, füstjelzo és riasztó rendszer is beszerelésre került.A lámpák fényereje helyiségenként szabályozható.Elosztása is pazar. A hatalmas amerikai konyhás nappalit egy mozgatható fallal külön tudjuk választani.A két szoba a lakás két végében került kialakításra, ezen kívül egy nagy fürdoszoba wc-vel és egy vendég wc tartozik az ingatlanhoz.A vételár részét képezik az egyedi, méretre gyártott beépített bútorok. Minden más ingóság megbeszélés tárgyát képezik.Ide már csak a boröndöt kell hozni!A lakás egy 3 szintes tégla építésu társasház 1. emeleten helyezkedik el.Lakóközösség kiváló, a társasház anyagi helyzete rendezett, nemrég kapott teljesen új tetot.A közös költség 27.000 Ft, mely az általános dolgokon felül a korlátlan vízfogyasztást tartalmazza.Ne hagyja ki ezt a remek lehetoséget! Jöjjön el és tegyen ajánlatot!-Finanszírozás:Az ingatlan pénzintézet segítségével is megvásárolható, melyhez irodánkban profi és díjmentes szolgáltatást nyújtunk.- Az ingatlanok megvásárlását ingyenes ügyintézéssel és hitel tanácsadással, valamint, igény esetén, korrekt ügyvédi háttérrel segítjük!- Felkeltettem érdeklodését? Hívjon bizalommal és válaszolok kérdéseire.- Országos kínálatunkból megtaláljuk Önnek a legmegfelelobbet.- Amennyiben jelenlegi ingatlana értékesítésében is segítségére lehetek, kérem, forduljon hozzám bizalommal!Ajánlatunk nem csak a nálunk vásárolt ingatlanok esetében érvényes.Hívjon, és megoldjuk az ingatlan problémáit!","felújított","1950 elott","összkomfortos","nincs megadva","1","3","nincs megadva","3 m-nél magasabb","gáz (cirko), padlófutés","van","nincs megadva","nincs megadva","külön és egyben is","dél","udvari","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"9","XI. kerület, Kánai út","72,2 millió Ft","50 m²","2","Az Atenor által fejlesztett Lake11 Home&Park egyedi tervezésu, környezettudatos otthonai csodás panorámával, Budapest 11. kerületében Koérbereken, közvetlenül a Kánai-tóra, a környezo budai dombokra vagy a gyönyöru belso kertre tájoltak és mindössze 10 percre találhatóak a budai belvárostól. Az épületeket négy kiváló építésziroda álmodta meg. A modern és letisztult, ugyanakkor önálló építészeti stílusjegyeket hordozó épületek és a természet között egységes tájépítészeti koncepció teremti meg a harmóniát. Az egyszobás stúdiólakástól a 2-3 és 4 hálószobás 150 m2-es családi, prémium és penthouse lakásokig, minden élethelyzetnek megfelelo lakástípus elérheto a lakóparkon belül. A hatalmas üvegablakokkal rendelkezo belso kétszintes DUPLEX apartmanjai, valamint extra nagy alapterületu prémium lakásai pedig valódi alternatívát kínálnak a családi házat keresok számára is.A hatalmas, zöld parkokkal körülvett modern élettérben lehetoséged lesz sportolni, kikapcsolódni, dolgozni, gyereket nevelni, pihenni és feltöltodni. Egyszóval élni. Ezt nyújtja az új Lake11 Home & Park. A te otthonod az életstílusodra és zöldre hangolva.Szinte minden városi szolgáltatás pár perc autózással elérheto, legyen szó moziról, bevásárlásról, találkozóhelyekrol. A gyors bejutáshoz persze nem kell mindig autót használni. A 187-es busz és a 41-es villamos is a lakóparknál áll meg. De az M1, M7 és M0 autópályák is könnyen elérhetoek, így nagyon gyorsan kijutunk a városból, akár a Velencei-tóra, akár a Balatonra indulunk. A Lake11 területén zöld parkok, csökkentett forgalmú sétálóutcák, kutyafuttató, játszótér és tó körüli futópálya gondoskodik az itt élok mindennapi kényelmérol és szabadtéri kikapcsolódásáról. A közelben számos lovarda, már kiépített uszoda, strand, fitneszterem, síiskola, tenisz- és squashpálya várja a beköltözoket. A lakóparkot körülölelo dombok, az Atenor fejleszto által telepített rengeteg fa által alkotott belso pihenokertek és park office lehetoségek a tóparttal pedig megteremtik a legfontosabbat: a természet közelségét, hogy minden egyensúlyba kerüljön. A Kánai-tó körül kiépülo sétány és futópálya, piheno pontokkal megújuló óriási zöld park, család- és gyermekbarát fejlesztések várják majd az itt éloket.A LAKE11 minden otthona az átlagnál tágasabb belso terekkel, jól kihasználható teraszokkal, igényes homlokzati burkolatokkal, a legkorszerubb muszaki, valamint okosotthon-megoldásokkal várja leendo lakóit. Az alapárban gépesített konyhát és külso árnyékolót kínálunk. A fejlesztés keretén belül az ATENOR a közvetlen helyi infrastruktúrát is fejleszti többek közt orvosi rendelo létesítésével.                                                                                                                                                                                 Az elsok között regisztrációs szerzodést aláíró kedves ügyfeleink számára, jelentos elonnyel kínáljuk lakásainkat!  • Bevezeto árak• Mindössze 2 M Ft regisztrációs díjjal és kedvezo fizetési ütemezéssel lefoglalhatja leendo új otthonát• A jelenlegi lakás alaprajzok építészeti kialakítása még díjmentesen módosítható • Minden lakáshoz foglalható gépkocsibeálló• Az alapárban gépesített konyhát és külso árnyékolót kínálunk.","új építésu","2023","nincs megadva","nincs megadva","2","3","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","nincs megadva","nincs megadva","kelet","nincs megadva","6.8 m²","nem","nem tetotéri","teremgarázs hely",NA,NA
"10","VII. kerület, Peterdy utca","72,2 millió Ft","70 m²","3","Ligetvárosban kínálom megvételre ezt a prémium lakást.Az ingatlan 2 éve mindenre kiterjedo felújításon esett át:-magas minoségu burkolatok-új víz és elektromos hálózat-futéskorszerusítés és kémény bélelés-gépészet-új nyílászárókFelszereltségét tekintve is kiváló választás, ugyanis minden helyiségben klíma található.Az ablakok elektromos redonnyel szereltek.Mozgásérzékelo, füstjelzo és riasztó rendszer is beszerelésre került.A lámpák fényereje helyiségenként szabályozható.Elosztása is pazar. A hatalmas amerikai konyhás nappalit egy mozgatható fallal külön tudjuk választani.A két szoba a lakás két végében került kialakításra, ezen kívül egy nagy fürdoszoba wc-vel és egy vendég wc tartozik az ingatlanhoz.A vételár részét képezik az egyedi, méretre gyártott beépített bútorok. Minden más ingóság megbeszélés tárgyát képezik.Ide már csak a boröndöt kell hozni!A lakás egy 3 szintes tégla építésu társasház 1. emeleten helyezkedik el.Lakóközösség kiváló, a társasház anyagi helyzete rendezett, nemrég kapott teljesen új tetot.A közös költség 27.000 Ft, mely az általános dolgokon felül a korlátlan vízfogyasztást tartalmazza.Díjmentes hitel ügyintézéssel állunk ügyfeleink rendelkezésére!További kérdés esetén hívjon bizalommal.","felújított","1950 elott","összkomfortos","nincs megadva","1","3","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","dél","udvari","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
