"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára"
"1","XIX. kerület, Kossuth Lajos utca","77,5 millió Ft","132 m²","2 + 2 fél","Azonosító: MIE-214Eladó Budapesten XIX. kerületben a Kossuth Lajos utcában 2 szintes új építésu társasház 2.emeltén egy 132 m2-es tégla lakás!Lenti szinten nappali, amerikai konyha, spejz, fürdoszoba, erkély.Fenti szinten 3 hálószoba, fürdoszoba, nagy közlekedo, gardrób.Eredeti minoségi olasz burkolatok. Új nyílászárók,a lenti szinten redonnyel ellátva! A fürdonk szép tágas 12 m2.Jó lakóközösség. Kertben játszótér és grillezéshez, szabadidos tevékenységhez minden kiépítve. A ház alatt 30 férohelyes teremgarázsban tovább bérelheto 3 beálló.Azon kedves ügyfeleknek, akik általunk találják meg leendo otthonukat, az ügyvédünk által szerkesztett adásvételi szerzodés díjából kedvezményben részesülnek!Felmerülo kérdéseire szívesen válaszolok. Hívjon!Mobil: További ajánlataim:","felújított","2001 és 2010 között","összkomfortos","nincs megadva","2","2","nincs","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","utcai","3 m²","nincs megadva","nincs megadva","teremgarázs hely",NA
"2","XIV. kerület, Gödölloi utca 3.","77,5 millió Ft","100 m²","1 + 4 fél","Az eladó lakás egy kis, 16 lakásos, 5 szintes épület harmadik emeletén található, belso kétszintes, nettó 92 nm, bruttó 116 nm: nappali, 4 hálószoba, konyha, közlekedok, 2 fürdoszoba, szauna, teraszAz alsó szintre belépve egy elotérbol a tágas, 27 nm-es nappali-étkezobe léphetünk. E központi terület klímával felszerelt, a mennyezetbe beépített hangszórók biztosítják a technikai hátteret a szórakozásnak. A tágas, napfényes 6 nm-es teraszon pihenopadnak, gyerekmedencének vagy balkonnövényeknek is kialakítható terület.A nappaliból nyílik két kis hálószoba és a praktikus elrendezésu, világos konyha. A konyhában beépített elektromos süto és gáz fozolap található, páraelszívóval, valamint beépített mosogatógép is a felszereltség része.Az elotérbol egy kis folyosó is nyílik, amely egy beépített gardróbnak ad helyet, és ahonnan nyílik a földszinti, zuhanyfülkés fürdoszoba és a földszinti toalett, amely külön kézmosóval felszerelt.Az emeletre tölgyfa lépcson jutunk fel, ahol további két félszoba és egy tágas, kádas fürdoszoba-toalett és szauna található. A felso szint (amely a tetotérben került kialakításra) mindkét szobája klímával felszerelt.A lakás elrendezése nagycsaládosok számára ideális, nagyobb gyermekek a felso szinten tudnak saját életteret kialakítani. A lakásban több beépített szekrény, tároló hely segíti a mindennapokat.A környék frekventált, az Örs vezér tere néhány perc sétára van, a Nagy Lajos király útja egy háztömbnyire, ugyanakkor kertes házas, úttesten rollerezos kertvárosi negyed szélén vagyunk. Parkolni az utcán ingyenesen lehet, de a ház alsó szintjén van lehetoség parkolóhely bérlésére.A közvetlen közelben a 3-as villamos, a 80-as trolibusz, 130-as busz, amellyel a 2-es és 4-es metró is néhány perc utazással elérheto. Több óvoda, bölcsode is néhány perc sétára található, ahogyan BGE és a METU egyetemek is. A lakás egy tisztasági festés után beköltözheto, de muszaki területen néhány ponton felújítást igényelhet. A lakóközösség kiemelkedoen jó, a 16 lakás 4 szinten helyezkedik el. A ház gondozott kertjében kerti sütögeto, kültéri gyerekjátékok találhatóak. A garázsszinten parkolók és pincék-tárolók.Ingatlanos kapcsolatunk már van, köszönjük.","közepes állapotú","nincs megadva","összkomfortos","nincs megadva","3","5","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","6 E Ft/hó","nem","külön és egyben is","dél","utcai","6 m²","nincs megadva","nincs megadva","nincs megadva",NA
"3","VII. kerület, Akácfa utca","77,5 millió Ft","83 m²","3","For information in English or German please call.Csendes belso udvarra nézo, délkeleti tájolású. 83 m2-es, 4 emeleti, 2+1 szobás, dupla komfortos légkondicionálóval és gépesített konyhával felszerelt lakás, 2008-ban épült, liftes házban,  Nagyon kedvezoen fenntartható, a közmuvei egyedi mérés alapján fizetendoek. Befektetoknek bérlovel együtt is átadható, jelenlegi bérleti díj  650 EUR/ hónap.","újszeru","2001 és 2010 között","duplakomfortos","nincs megadva","4","7","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","délkelet","kertre néz","7 m²","nincs megadva","nincs megadva","nincs megadva",NA
"4","XI. kerület, Fehérvári út 160.","77,5 millió Ft","62 m²","3","Viktória Ház - Megbízható, Központi, DinamikusA Viktória Házat azoknak találtuk ki, akik számára fontos a kiváló közlekedés, otthonuk könnyu megközelíthetosége. Innen átszállás nélkül 25 percen belül elérheto Budapest 3 legjobb egyeteme: a Corvinus, BME, ELTE, és 30 percen belül a Deák Ferenc tér, ami a város szíve. Útközben leszállhat a Móricz Zsigmond körtéren, a Szent Gellért téren, a Fovám téren, Kálvinon, Astoriánál, tehát a városközpont bármely része rendkívül gyorsan és egyszeruen elérheto.A XI. kerület jelenleg az egyik leggyorsabban fejlodo része Budapestnek. Hatalmas átalakuláson megy keresztül, ami a hajdanán nagyrészt iparterület volt. A gyárak és raktárak szép lassan tunnek el és átveszik helyüket a lakóparkok, társasházak, parkok, üzletek, boltok, és válik a környék a város egyik legélhetobb helyszínévé. Ez az Ön számára azt is jelenti, hogy hosszútávon jelentos felértékelodés elott álló környéken tud lakást vásárolni, jó helyen lesz a pénze. 2022-ban megkezdodik Budapest új hídjának, a Galvani hídnak az építése, mely Budát összeköti majd Csepellel. Adott tehát egy fejlodo, élettel teli környék tele fiatalokkal, kisgyerekes családokkal. Itt tényleg csupa móka és kacagás az élet, hiszen boldog emberek veszik körül.A kerület az Allee mellett hamarosan új plázával fog bovülni, az Etele pláza lesz a legmodernebb bevásárlóközpont az országban. A Kelenföldi pályaudvar koncepcióterve szerint itt lesz a város egyik legforróbb csomópontja. Sokáig sorolhatnám még az okokat, hogy miért ezen a környéken érdemes lakást vennie.A lakások kialakításánál a fo szempont a helyiségek megfelelo funkcióinak kialakítása volt. Minden lakás jól átgondolt alaprajzzal rendelkezik. Ügyelve a mai kor igényeire szinte minden lakás erkélyes. Ezek az erkélyek élheto méretuek, így ki tud ülni rá családjával, barátaival, vendégeivel.Igény szerint okos otthon funkciókat is kérhet. Vezérelheti telefonról a futést, hutést, redonyöket, világítást, vagy láthatja ki érkezett Önhöz távolról is. A szolgáltatás az igényeire szabható.Az utcafronton üzlethelyiségek lesznek. A társasháznak lesz közös kertje, ahová ki tud menni, ha zöldre vágyik, de nem akar kimozdulni az épületbol. Az 1. és 7. emelet között szinte azonos típusú lakások kerülnek kialakításra. Fontos, hogy az udvari nézetre jelölt lakások se az utcára, se a belso kertre néznek, hanem egy nagy területre - a következo épület messze van, nem zavarja a kilátást.Akik különleges lakásra és hangulatra vágynak, azok a 8. emelten találják meg számításaikat. Itt minden lakás hatalmas terasszal fog rendelkezni, a helyiségek még tágasabbak, ügyelve a leheto legjobb benapozottságra.A lakások összetétele vegyes, így garzontól a nappali + 3 hálóig minden típus elérheto, hogy mindenki megtalálhassa a számára ideális megoldást.Átadás: 2021 év végeKérdéseivel forduljon hozzám bizalommal.","nincs megadva",NA,"összkomfortos","nincs megadva","3","8","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","nincs megadva","nincs megadva","igen","külön helyiségben","délkelet","kertre néz","22 m²","nincs megadva","nem tetotéri","teremgarázs hely - megvásárolható","5 000 000 Ft"
"5","VIII. kerület, Orczy tér 1.","77,5 millió Ft","100 m²","4","Orczy téren, 2005-ben épült Orczy Fórum épületegyüttes ingatlan eladó.A lakás nagyon jó elosztású, 20 nm-es nappalival valamint 3 szobával rendelkezik. Az ingatlannak két terasza van, fekvése nyugati fekvésu, gyönyöru PANORÁMÁJÚ a VÁROSRA. A tulajdonosok kényelmét szolgálja a 15 nm-es étkezos konyha valamint a gardrób helyiség. A lakáshoz tartozik az emeleten egy tároló, valamint lent egy közös biciklitároló.Az épület leírása:- Orczy Fórum: kör alakban elhelyezkedo épületegyüttes- a tömb, melyben a lakás található, középen helyezkedik el, így csendes, nyugodt környezetet biztosít-  erkély- jelenleg nappali, tágas konyha, 3 hálószoba, gardrób, fürdoszoba wc-vel, külön kézmosós wc- házközponti futés egyedi mérésselSzolgáltatások:- 24 órás portaszolgálat, lift, tiszta lépcsoház- üzletek, kávézók a földszintenKözlekedése kiváló több buszjárat, villamos, troli (9-es, 99-es, 83-as troli, 24-es villamos) segíti a közlekedést. Pár perc séta a közkedvelt Orczy park.Iskolák, óvodák, vásárlási lehetoségek a közelben.","újszeru","2001 és 2010 között","luxus","BB","10","10","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","külön és egyben is","észak","panorámás","19 m²","igen","legfelso emelet, nem tetotéri","teremgarázs hely - megvásárolható",NA
"6","XIII. kerület, Visegrádi utca","77,5 millió Ft","75 m²","3","Visegrádi utcában teljeskörüen felújított lakásXIII., Újlipótvárosban, 75 nm - es , 3 szobás, 4. emeleti lakás eladó. A lakás utcai nézetü, a konya és a az egyik háló ablakai a belso kertre tekintenek. Csendes , világos, NY- i tájolású lakás, amely teljesköru felújításon esett át.A lakás prémium minoségu bútorokkal van berendzve, led világítással, padlófutéssel , klímával felszerelt.A hálószobák nagy alapterületuek, a wc- s fürdoszoba mellett egy vendég wc is kialakításra került. A lakás minden szobája rendkívül világos,valamint ablakos konyhával rendelkezik. Az erkély 4 nm , valamint egy 4 nm - es önálló pince is tartozik hozzá.A ház zárt lépcsoházas , liftes , rendszeresen karbantartott , a lakóközösség kultúrált. A ház is korszerusítésen esett át, muanyag nyílászárókat kaptak a lakások.Parkolási lehetoség: a szomszédos házban garázs bérelheto !A lokáció kiváló:Számos bevásárlási lehetöség, Westend City ,Lidl, Aldi séta távolságra található.A közlekedés kiváló : mind villamos (4,6) , troli (79,75) illetve buszmegálló ( 115,15) könnyen megközelíthetö.További kérdésekkel keressen bizalommal!Irányár:77,5 Merkély4 m²hálószoba16 m²hálószoba8 m²fürdoszoba-wc8 m²pince4 m²wc2 m²","felújított","1950 és 1980 között","duplakomfortos","nincs megadva","4","6","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","20 E Ft/hó","nem","külön és egyben is","nyugat","utcai","4 m²","nem","nem tetotéri","utca, közterület - fizetos övezet",NA
"7","XIX. kerület, Kossuth Lajos utca","77,5 millió Ft","132 m²","4","XIX. ker. Kossuth Lajos utcában 132 m2-es 2+2 szobás belso 2 szintes 2004-ben átadott új építésu társasház 2. emeletén duplakomfortos tégla lakás eladó. Elso szinten nappali, amerikai konyha, spejz, fürdoszoba, erkély. Második szinten 3 hálószoba, fürdoszoba, nagy közlekedo, gardrób. Eredeti minoségi olasz burkolatok. Új nyílászárók,az elso szinten redonnyel ellátva. A házban 30 lakás van, jó lakóközösség. Futés házközponti futésu, egyedi mérokkel. A lakás újszeru állapotú D-Ny fekvésu. A házhoz tartozik, egy közös kert és tetoterasz. Kertben játszótér és grillezéshez, szabadidos tevékenységhez minden kiépítve. A ház alatt 30 férohelyes teremgarázsban tovább bérelheto max 3 beálló. Közlekedés kiváló, minden ami fontos, a közelben van.","újszeru","2001 és 2010 között","nincs megadva","nincs megadva","2","3","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","3 m²","nincs megadva","nincs megadva","teremgarázs hely",NA
"8","VII. kerület, Károly körút","77,5 millió Ft","98 m²","2","Budapest belvárosában, a Zsinagóga és az Astoria szomszédságában, a Georgia-bérházként vagy MTA-bérpalotaként ismert jó állapotú ház harmadik emeletén, nagyon világos és napfényes, átlagos állapotú lakás, kilátással a teljes körútra, 2 francia, valamint egy konyhából nyíló udvari erkéllyel. Kituno alaprajza akár a 3 hálószobás kialakítást is lehetové teszi.","közepes állapotú","nincs megadva","összkomfortos","nincs megadva","3","6","van","3 m-nél alacsonyabb","házközponti","nincs megadva","25 E Ft/hó","igen","egy helyiségben","nyugat","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA
"9","XIII. kerület, Danubius utca 9.","77,51 millió Ft","65 m²","3","""A Duna pesti oldalának mesés szakaszán, a Marina-parton épülo, négy csodálatos épületegyüttesbol álló lakópark, több mint 300 lenyugözoen modern, exkluzív kialakítású otthonnal vár! Az eloértékesítés megkezdodött!A Blu az elérheto városi luxus legmagasabb szintjét nyújtja, melyben a családok, egyedülállók, fiatalok, gyerekek és idosek egyaránt aktívabb életet élhetnek a relaxáció és kikapcsolódás lehetoségével. Egyedülálló koncepciónk tervezése során egy minden igényt kielégíto lakókörnyezetet hozunk létre, ami kiegyensúlyozottságot, nyugalmat és maximális kényelmet biztosít az intenzív nagyvárosi életmódot élok számára. Apartmanjaink izgalmas szolgáltatásokkal egészülnek ki – többek között lebilincselo zöld övezettel, közösségi irodával, gyereksarokkal, és wellness lehetoségekkel amik csak arra várnak, hogy birtokba vegye oket.""Bevezeto árak, Marina Part, kiemelkedo szolgáltatások,","új építésu","2025","összkomfortos","nincs megadva","7","8","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","igen","külön helyiségben","északkelet","udvari","10.9 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","5 000 000 Ft"
"10","XIII. kerület, Kassák Lajos utca","77,68 millió Ft","67 m²","2 + 1 fél","A társasház 5.emeletén 67 nm-es, nappali + 2 szobás  lakás 9 nm-es terasszal és 7 nm-es erkéllyel megvásárolható.Az épületMODERN ELEGANCIANAGYVÁROSI KÉNYELEMFiatalos, új lakások a 13. kerület kedvelt részén, karnyújtásnyira a belvárostól.A megépülo 27 lakás az elso és hatodik emelet közt helyezkedik el. A pinceszinten és földszinten parkolóhelyek és tárolók kerülnek kialakításra, melyek megvásárlása opcionális – a pinceszinti parkoló használatot autóemelo lift segíti. A szintek alaprajzi elrendezése az elsotol a negyedik emeletig megegyezik, szintenként 6 lakással, az ötödik emeleten két nagyobb, a hatodik emeleten egy penthouse kerül megépítésre. A lakások mindegyike rendelkezik erkéllyel vagy loggiával, melyek utcai, illetve udvari nézetuek, a tájolásuk pedig É-Nyi-i vagy D-K-i.A lakások megálmodásánál kiemelt hangsúlyt fektettünk a modern kor alapveto elvárásaira. A hoszivattyús huto-futo berendezés, több rétegu alumínium nyílászárók mellett az okosotthon és elektromos redony elokészítések is mind az alapfelszereltség részei.Az ingatlanok saját használatra és befektetési célra is remek lehetoségeket rejtenek. A beruházó rugalmasságának köszönhetoen a lakások jól alakíthatók, az ötödik emeleti lakásokból duplex vagy akár triplex lakások is kialakíthatók.A környékA Kassák City társasház már nevében is hordozza egyik legfobb vonzerejét, a kiváló elhelyezkedést. A XIII. kerület ezen közkedvelt része nem csak a váci úti üzleti negyedtol, de a fo tömegközlekedési eszközöktol is csupán néhány percre fekszik, mégis kello távolságban ahhoz, hogy hazatérve egy kényelmes, nyugodt otthonban pihenjük ki a munkanapokat vagy a belvárosban töltött éjszakát.ElonyökKedvezo fizetési ütemezésSzeretnénk elérni, hogy a lakásvásárlás egy mindenki számára elérheto cél legyen, éppen ezért nem alkottunk egyoldalú és megvalósíthatatlan pénzügyi konstrukciót.- Hitel és CSOK bevonása esetén ügyfeleink élhetnek a 20-80-as fizetéssel, de- Lehetoséget biztosítunk a készültségi fokhoz igazodó részletfizetésre is.Magas színvonalú lakásbelso- Modern, környezetbarát és gazdaságos hoszivattyús huto-futo berendezés – padlófutés és fan colil rendszerrel- Redonyelokészítés elektromos kiállással- Szabadon választható hideg- és melegburkolat a muszaki leírás szerint.- Prémium kategóriájú szaniterek- Okosotthon kiépítésének lehetoségeKérdéseikkel forduljanak hozzánk bizalommal.","új építésu","2022","összkomfortos","nincs megadva","5","6","van","3 m-nél alacsonyabb","mennyezeti hutés-futés, hoszivattyú","nincs megadva","nincs megadva","nincs megadva","külön és egyben is","északnyugat","udvari","16 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","5 000 000 Ft"
