"","address","price","area","noroom","description","Ingatlan állapota","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Építés éve","Panelprogram"
"1","XIII. kerület, Angyalföld - Loportárdulo","93,9 millió Ft","97 m²","4","Kiváló ár-érték arány ! Minoségi újépítésu ingatlanok 700 - 800 e. Ft/ nm-tol a Városliget közelében!Bevezto árak június közepéig! Budapest 13. kerületében, Lehel tértol nem messze megvételre kínálunk egy most épülo, jelenleg 80%-os készültségben lévo modern társasházból magas minoségu újépítésu modern otthonokat. A z építetto több mint 15 éves múlttal rendelkezik nagyobb beruházások és társasházak építésében. Átadás 2021 év végén várható. Közös költség 250 - 300 Ft/nm.Modern futés technológia: samsung hoszivattyús mennyezeti hutés - futés! Teremgarázs és tároló vásárolható opcionálisan a lakásokhoz.97 nm-es, 4 szobás, elso emeleti, dupla komfortos, nagy erkélyes (37 nm) - belso kertre nézo lakás!Megtekintés, kérdés esetén várom hívását.Újra Otthon - Magyarország elso állatvédelmet támogató ingatlanirodája.Megfizetheto, reális sikerdíjak, ügyfélbarát feltételekkel.Minden sikeres értékesítés után befolyt sikerdíjunk 10%-át egy állatmento civil szervezet felé továbbítunk.Segítsünk együtt - választásoddal Te is hozzájárulsz ahhoz, hogy Ok is újra otthonra találjanak.","nincs megadva","duplakomfortos","AA++","1","7","van","nincs megadva","mennyezeti hutés-futés","nincs megadva","30 E Ft/hó","nincs megadva","külön és egyben is","nincs megadva","kertre néz","37 m²","nincs megadva","nem tetotéri","teremgarázs hely - megvásárolható","4 000 000 Ft",NA,NA
"2","II. kerület, Országút","93,9 millió Ft","91 m²","3","Eladó II. ker. Országút városrészében, Margit körúton, 1936-ban épült, elegáns polgári lakóházban egy azonnal költözheto, közelmúltban teljes köruen és körültekintoen, igényesen felújított, hivatalosan 91 m2-es (valóságban több, mint 100 m2-es) 3 szoba hallos, nagy erkélyes, 1. emeleti lakás. A korszeru nyílászáróknak és elektromosan muködo redonyöknek köszönhetoen az utcai forgalom zaját szinte teljes egészében sikerült kiszurni. Minden szobába inverteres klíma került. Az új konyhabútor a beépített gépekkel a vételár részét képezi.  A személyfelvonón kívül van egy még ma is muködo teherlift költözködés esetére. A legfelso szinten hatalmas közös tetoterasz található, ahonnan csodás kilátás nyílik a városra. 93900000 FtReferencia szám: LK040161","felújított","nincs megadva","nincs megadva","1","nincs megadva","van","nincs megadva","házközponti","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"3","II. kerület, Margit körút","93,9 millió Ft","94 m²","3","II. kerületben, Mechwart ligetnél eladó I. emeleti, 94 nm-es, amerikai konyhás nappali + 2 hálós, erkélyes, teljes köruen felújított lakás!INGATLAN HELYSZÍNE:II. kerület, Országút részén található. A Margit körút Mechwart ligethez közeli részén. Széll Kálmán tértol 5 percre. Megközelíthetosége ideális, M2, számos villamos és buszjárat 3-4 perces távolságban. Számos bölcsode, óvoda, iskola, egészségügyi intézet található a közvetlen környezetében. Bevásárlási és szórakozási lehetoségek tárháza nyílik meg, minden irányba; A közelben van Marczibányi Muvelodési Központ, Marczibányi Sportcentrum, Tenisz Club, Mammut, Spar,CBA, Posta, Fény utcai piac, dohánybolt, éttermek, konditermek, játszóterek, templomok. A közelben vannak bárok, kávézók és éttermek is. Millenáris park 4 percre.ÉPÜLET JELLEMZOI:1900-as évek elso felében épült, szép állapotú, üvegborítású lépcsoházzal, lifttel ellátott, burkolatai igényesek, hangulata kellemes. Jellegzetes téglaépület. Lakóközössége kiváló, csendes. Gondozott kert található az épület mögött.LAKÁS JELLEMZOI:Hivatalosan 91 nm, ténylegesen 94 nm, Nappali+2 hálós, I. emeleti. Állapota muszakilag és esztétikailag is kiváló, 2 Margit körútra nézo szobából, egy udvarra nézo szobából, amerikai konyhás nappaliból, fürdoszobából, gardrób szobából, vendég WC-bol és 7 m2 erkélybol áll. Modern, minden igényt kielégíto színvonalon felújított / újjáépített. Befektetés szempontjából, vagy több generáció részére is ideális lehet. A lakás azonnal költözhetoMUSZAKI FELSZERELTSÉG:Futése házközponti.A lakás beépített szekrényekkel és teljesen felszerelt konyhával rendelkezik.- villany és vízvezetékek cseréje- új hang és hoszigetelt nyílászárók, elektromos redonyükkel- valódi tölgyfaparketta- minden szobában új inverteres klíma- új szaniterek és igényes burkolatok- új konyhabútor beépített gépekkel- rengeteg beépített szekrény- igényes festésKÖLTSÉGEK:Havi közös költsége 15e Ft-ra teheto.PARKOLÁS:Utcán, közterületen lehetséges.IRÁNYÁRA:93,9 MFt","felújított","duplakomfortos","nincs megadva","1","7","van","3 m-nél alacsonyabb","házközponti","van","nincs megadva","nem","külön és egyben is","délkelet","utcai","7 m²","nem","nem tetotéri","utca, közterület",NA,"1950 elott",NA
"4","XIII. kerület, Újlipótváros","93,9 millió Ft","118 m²","4","Eladó sorba került egy igazán impozáns nagypolgári lakás a 13. kerület, Újlipótváros részen.Az ingatlanról:- 4 szoba - világos, tágas, ablakos konyha étkezovel- 2 fürdoszoba- 2 wc- 4. emelet- Akadálymentesített, liftes házJelenleg irodaként van bérbeadva, de akár 1 héten belül, tisztasági festés után költözheto.A lakóközöség csendes, összetartó.  A ház aktív közösképviselettel rendelkezik. Közösköltség: 19000 Ft.Közlekedésileg kiváló helyen van,közelben a Nyugati pályaudvar, a nagy Körúton a villamosok(4-6), az utcában közlekedik a 15 busz.Séta távolságra a Lehel téri piac, a West End pláza vagy akár a Vígszínház.Magasemeleti lakás lévén nem érezheto az utca zaja.Megtekintheto a hét bármely napján, rugalmasan, egyeztetést követoen.Ez az ingatlan a ""Huség csomag"" megbízási portfólióhoz tartozik.","közepes állapotú","nincs megadva","nincs megadva","4","nincs megadva","van","3 m-nél magasabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"5","XIII. kerület, Hun utca","93,98 millió Ft","86 m²","3","Erkélyes álom otthon.....A Csata utca, és a Hun utca sarkán kínálom eladásra ezt az új építésu, hatalmas terasszal rendelkezo duplex lakást, ahova beköltözött a napfény....Az ingatlan lokációja kiváló, a mindennapi élethez szükséges szolgáltatások mindegyike a közvetlen közelben, és Budapest belvárosai is csupán 10 percnyire található.A kivitelezo cég több mint 15 éves szakmai múlttal rendelkezik nagyobb beruházások, társasházak építésében. Ajánlom azok számára, akiknek fontos a minoség, az értékállóság,  tökéletes választás saját részre, és befektetésnek is, hiszen likviditása, és kiadhatósága biztosított, mely jellemzok elosztása, mérete, és állapota miatt kiemelkedoen érvényesülnek. A társasházban több hasonló ingatlant is kínálok. Jöjjön el, és lássa meg benne a lehetoséget....","nincs megadva","duplakomfortos","nincs megadva","6","7","nincs megadva","nincs megadva","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utcai","41 m²","nincs megadva","nincs megadva","teremgarázs hely - megvásárolható","5 000 000 Ft",NA,NA
"6","XIII. kerület, Frangepán utca","93,99 millió Ft","76 m²","4","Szuper alaprajz, tágas hálószobák, napfényes nappali és egy minden igényt kielégíto tetokert jellemzik.Burkolatokat még választhat, korlátozott ideig az alaprajzi módosításokra is van lehetoség.További információért, hasonló lakással kapcsolatban keressen bátran.","nincs megadva","nincs megadva","nincs megadva","5","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nyugat","utcai","43 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA,NA
"7","XI. kerület, Bíró László József körút","94 millió Ft","50 m²","1 + 1 fél","Nem akar bajlódni a költözéssel? Költözzön csak a személyes tárgyaival egy luxuslakásba! Teljesen berendezett lakás, gyönyöru panorámával eladó. Költözzön egy sporttáskával és kávézzon a Gellért hegyi panorámában gyönyörködve a szélvédett teraszon!Budaparton, a Kopaszi gátnál eladó egy 10. emeleti 50 négyzetméteres saroklakás, 24 négyzetméteres terasszal. A 24 órás portaszolgálattal rendelkezo, 15 emeletes luxusépületben található, pazar, minden szobából megközelítheto, szélvédett terasszal rendelkezo lakásban egy amerikai konyhás nappali és egy hálószoba található. A kézmosóval ellátott WC a fürdotol külön helyiségben kapott helyet.A dupla klímával, elektromos redonyökkel rendelkezo, távolról vezérelheto okosotthon Whirlpool gépekkel felszerelt egyedileg tervezett minoségi konyhabútorral (Nobilia) rendelkezik. A hálószobába és a nappaliba is új, hangulatvilágítással kiegészített német bútorok, szép szonyegek kerültek.A lakás ára 94 millió, garázs beállóé a mélygarázsban 7 millió, tárolóé 2 millió Ft.Kérem az ingatlanközvetítoket, hogy ne keressenek, akkor sem, ha konkrét vásárlójuk van!!!! Köszönöm szépen!Don't you want to bother with moving? Fully furnished apartment with a beautiful panorama for sale. Move only with your personal belongings to this luxury apartment, and have a coffee on the windshield terrace while admiring the panorama of the Gellert Hill!A10 sqm corner apartment on the 10th floor with a 24 sqm terrace is for sale in Budapest adjacent to the Danube, at Kopaszi Dam, set in a 15-storeyed luxury building with a 24-hour reception. This luxurious apartment has a living room with an American kitchen, a bedroom, and a terrace, which is accessible from all rooms. The toilet with a lavatory is located in a separate room from the bathroom.The apartment is double air-conditioned, has electric shutters, remote-controlled smart home features, and uniquely designed high-quality kitchen furniture (Nobilia) with Whirlpool appliances. Both the bedroom and the living room have new German furniture with mood lighting and beautiful carpets.The price of the apartment is 94 million, the price of the garage parking space in the underground garage is 7 million, and the price of the storage is 2 million HUF.I ask real-estate agents not to bother me, even if they have a specific buyer !!!! Thank you very much!","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","45 E Ft/hó","nincs megadva","nincs megadva","nincs megadva","nincs megadva","24 m²","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA
"8","III. kerület, Waterfront City lakópark","94 millió Ft","78 m²","3","ZÖLD HITEL FELVEHETO!!!!     WATERFRONT CITY, AZ OKOS OTTHON!Kiváló adottságú új építésu magas emeleti, panorámás luxuslakás eladó.Gépesített konyhabútor, elektromos redony az árban Garázs vásárolható hozzá, ára 6.9 M Ft.Még ebben az évben költözheto, igény szerint akár a beruházótól is megvásárolható  A környékbe szervesen integrálódó „smart city” városrész valósul meg lakásokkal, kereskedelmi, vendéglátó és iroda egységekkel. A Duna-part mellett, 5 hektár alapterületen található, a Folyamor utca, Miklós tér, Bogdáni út által határolt területen.Az épületekre jellemzo, hogy magasabbak lesznek az átlagos új építésu társasházaknál. Fszt+13 és fszt+8 emeletes épületek váltják egymást, melyek a Budai-hegyekre, az Óbudai-szigetre, a városra, valamint a Dunára kínálnak eg yedülálló panorámát.A projekt koncepció része az a gyaloghíd, amely a Waterfront City területérol indulva köti össze a környéket az a Hajógyári szigettel.Az épületekre jellemzo, hogy magasabbak lesznek az átlagos új építésu társasházaknál. 9 és 13 emeletes épületek váltják egymást, melyek a Budai-hegyekre, az Óbudai-szigetre, a sétányra, a városra, valamint a Dunára kínálnak egyedülálló panorámát. A lakások hutés-futését talajszondás hoszivattyús rendszer biztosítja.A koncepció része az a gyaloghíd, amely a Waterfront City területérol indulva kötné össze a környéket az Óbudai-szigettel (Hajógyári sziget). A gyaloghíd megvalósítása a projekt késobbi ütemében történhet, a Fovárosi Önkormányzattal történo megállapodás függvényében.Smart City megoldásokIngyenes WI-Fi a parkbanA Waterfront City városnegyed lakói egyedi belépési azonosítóval ingyenesen használhatják a parkban sugárzott internetet.E-autó töltoállomásElektromos autóknak díjköteles e-autó töltési lehetoséget biztosítunk a fejlesztési terület közforgalom számára elérheto parkolóállomásainál -amennyiben a jogszabályok lehetové teszik.Community Car: Drive Now szolgáltatásFix car sharing felvevopont, melyet a lakók és az üzlettulajdonosok vehetne igénybe.Mozgásérzékelos közvilágításAz adaptív közvilágításnak köszönhetoen energiát takaríthatunk meg, ugyanis a jelenlét érzékeloknek köszönhetoen a lámpák fényereje no, amikor a járókelok közelednek és csökken, amennyiben nem érzékelnek mozgást.Smart ParkingKi és bejutás telefonhívás alapján.Smart LivingAz itt lakók élvezhetik az okos eszközeiken használható alkalmazást, mellyel a környék tömegközlekedési eszközeinek menetrendjeit, a várható meteorológiai elorejelzéseket, légtisztasági és napsugárzási adatokat érnek el egy helyen, valamint kérhetnek ideiglenes behajtási engedélyt pl. bútorszállítónak vagy taxinak, illetve az esetlegesen tapasztalt meghibásodások is egyszeruen jelezhetok lesznek.Napelemes pad (laptop / mobil töltésre)A Waterfront City néhány köztéri padján ülve lehetoség van laptop vagy telefon töltésére beépített napelem és csatlakozó segítségévelUV-B sugárzás jelzoA fejlesztési terület néhány pontján kijelzokön lesz látható az aktuális UV-B sugárzás.IvókútA parkban néhány ivókút lesz elhelyezve, ahol könnyen felfrissülhetnek a lakók.OrszolgálatA terület állandó köztéri megfigyelését 0-24 órás orszolgálat kíséri figyelemmel, akik a területre jogosan belépo gépjármuveket is ellenorzik.","új építésu","luxus","AA++","7","több mint 10","van","3 m-nél magasabb","mennyezeti hutés-futés","van","nincs megadva","igen","külön és egyben is","nyugat","panorámás","nincs megadva","nem","nem tetotéri","teremgarázs hely - megvásárolható","6 900 000 Ft","2021",NA
"9","VII. kerület, Holló utca","94 millió Ft","85 m²","3 + 1 fél","Gyönyöru muemlék társasházban a Gozsdu udvar szomszédságában. Egyedi stílusban, teljesen berendezett és felújított azonnal költözheto elso emeleti nettó 85m2-es lakás a Holló utcában. A lakásban egy tágas nappali, 2 külön nyíló hálószoba és 1 félszoba (mindegyikben franciaágy), 1 fürdoszoba (zuhanyzóval),  2 külön WC. Valamint egy gyönyöru, napfényes étkezo-konyha található.Az ingatlan ablakai a Holló u-ra, ill. a konyha/étkezo ablakai a belso udvarra nyílnak. Az ingatlan 2016-ban esett át felújításon és átalakításon. Helyiségek kialakítása változott ill. fürdoszoba/WC felújítás, festés, villanyszerelés.Közös költség 21.000 Ft/hó, rezsi kb 17.000 Ft/hóA házban szinte az összes lakása Airbnb, rövidtávú kiadásra volt használva, Ebbol adódóan ez a lakás is így muködött.","felújított","luxus","nincs megadva","1","2","nincs","3 m-nél magasabb","gáz (cirko)","nincs","nincs megadva","nem","külön és egyben is","kelet","utcai","nincs megadva","nem","nem tetotéri","utca, közterület",NA,"2016",NA
"10","XI. kerület, Móricz Zsigmond körtér","94 millió Ft","105 m²","4 + 1 fél","XI. kerület Központi részén, a Móricz Zsigmond körtéren szépen felújított nagypolgári ház elso emeletén 4+1 szobás összkomfortos lakás ELADÓ! Kiváló lehetoségekkel bír (minden szoba külön bejáratú). A lakás befektetés céljára is alkalmas. A környék infrastrukturális ellátottsága kiemelkedoen jó, Buda kulturális központja, Allee bevásárlóközpont, egyetemek és sportolási lehetoségek, valamint a Gellért hegy és a Feneketlen-tó fantasztikus közelsége percek alatt elérheto. Szükség esetén teljes köru ügyintézéssel (kedvezményes hitelkonstrukcióval, ingatlan adásvételre szakosodott ügyvédi közremuködéssel) állok a rendelkezésére! Hívjon bizalommal, akár hétvégén is! Kérem hogy vagy hívjon vagy az üzenetben küldje el a telefonszámát is, mert csak egy chat üzenetet kapok meg a felületrol, és semmilyen elérhetoséget nem! Köszönöm!","jó állapotú","összkomfortos","nincs megadva","1","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","utcai","3 m²","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA
