"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Panelprogram","Parkolás","Parkolóhely ára"
"1","XIV. kerület, Gvadányi utca","38,5 millió Ft","56 m²","1 + 2 fél","Budapest XIV. kerületben kínálunk megvételre egy kiváló állapotú 8. emeleti, 1+2 szobás, PANORÁMÁS,  panel lakást. A ház PANELPROGRAMON átesett, nyílászárói kicserélve, futése távfutés egyedi mérovel.  M205756Az OTP Bank Vevoinket szükség és igény esetén kedvezményes hitelkonstrukció lehetoségeivel támogatja az ingatlan megvételéhez. Teljes köru ügyintézéssel állunk az eladók és a vevok rendelkezésére, az ügyintézés irodánkban kérheto. A kínálatunkból választott ingatlan finanszírozásához hitel- lízing megoldásokat kínálunk. Hitelhez kapcsolódó CSOK ügyintézés, amennyiben az ügyfél és az ingatlan a feltételeknek megfelel, babaváró hitel, valamint maximum 6 millió forintos lakásfelújítási hitel, melynek akár az 50%-át az állam finanszírozza. Az adásvételi szerzodés megkötéséhez igény szerint megbízható ügyvédi közremuködést biztosítunk. Amennyiben felkeltettem érdeklodését, hívjon bizalommal! Ha az új ingatlana megvásárlásához a jelenlegi ingatlanát el kell adnia, abban is szívesen segítünk.","jó állapotú","1981 és 2000 között","összkomfortos","nincs megadva","8","10","van","3 m-nél alacsonyabb","távfutés egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","délkelet","utcai","nincs megadva","nem","nem tetotéri","részt vett","utca, közterület - ingyenes",NA
"2","XI. kerület, Gellérthegy","89,9 millió Ft","94 m²","2","Gellért-hegy csendes utcájában erkélyes lakás eladó!A Gellért-hegy lábánál, csendes, zöld utcában ajánlom megvételre ezt a lakást mely:- két külön nyíló és egybe is nyitható tágas szoba, egyik erkéllyel,- tágas étkezokonyha, fürdoszoba, külön wc, gardrób/dolgozó az elotérre ablakkal,- rendezett, jó lakóközösségu, nagy kertben álló ház elso emeletén,- tulajdoni lap szerint 94 m2, lemérve erkély nélkül 104 m2,- igény szerint alakítható, a konyhából is kialakítható hálószoba,- pár éve teljesen felújítva, új ablakok, cirkófutés, igényes tölgy svédpadló, hangszigetelés,- egyedi hangulat, színes ólomüveg ablakok, két Zsolnay cserépkályha (kéményrol leválasztva),- jó közlekedés, Gellért-hegy, Gesztenyés kert, MOM Park, BAH csomópont pár percre, az utcában a parkolás ingyenes, saját pincerekesz,- akár irodának, rendelonek is alkalmas lehetTovábbi információért hívjon bizalommal.Budapest, Buda, 11. kerület, XI. kerület, Gellért-hegy, Kis-Gellért-hegy, lakás eladó, 2 szoba, erkély, felújított, összkomfort, cirkó futés, 1. emelet,","felújított","1950 elott","összkomfortos","nincs megadva","1","4","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","25,5 E Ft/hó","nincs megadva","külön helyiségben","nincs megadva","kertre néz","nincs megadva","nem","nincs megadva",NA,"utca, közterület",NA
"3","XII. kerület, Csaba utca","63,5 millió Ft","74 m²","3","XII. kerületben a Városmajor melletti Csaba utcában, felújított 3 szobás lakás eladó! Irodának-rendelonek is kituno választás.Magasföldszinti elhelyezkedésu, utcára nézo, teljesköruen- frissen felújított ingatlan, kis lakásszámú, jó állapotú, 1930-ban épült 4 szintes társasházban. Az összes nyílászáró is cserélve lett rajta, ajtaja biztonsági. Pár perc alatt elérheto a Széll Kálmán tér, ami egy közlekedési csomópont.Alapterülete: 74 nm. Belmagassága: 3,55 m.Közös költsége: 12.200 Ft. Minden közmuje egyedi méros. Futés: Gáz cirkós (parapettes kazánról).IRÁNYÁRA: 63.500.000 Ft. Tehermentes, azonnal költözheto lakás! A kulcsa nálam van, rugalmasan megtekintheto!","felújított","1950 elott","összkomfortos","nincs megadva","földszint","3","nincs","3 m-nél magasabb","gáz (cirko)","nincs","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","utcai","nincs megadva","nincs megadva","nincs megadva",NA,"utca, közterület",NA
"4","I. kerület, Víziváros","119 millió Ft","85 m²","2","Gyönyöruen felújított lifttel rendelkezo lépcsoházból jutunk a nagypolgári lakásba. Netto 85nm, hatalmas nappali, háló amelynek ablakaiból a Mátyás templom tornyát és a Duna egy kis szakaszát is láthatjuk. Kis konyha, fürdo, tároló. A lakás jól alakítható, csendes, hatalmas belmagassága miatt tágas és napos. További információért keresse irodánkat.","jó állapotú","1950 elott","nincs megadva","nincs megadva","3","5","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","20 E Ft/hó","nincs megadva","külön helyiségben","dél","panorámás","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA
"5","XIII. kerület, Fiastyúk utca","29,9 millió Ft","40 m²","1","Angyalföld csendes, zöld növényekkel teli részén, eladó egy napfényes elso emeleti 40nm nagyságú garzonlakás. A közlekedés kiváló, az M3-as metró vonala, buszmegállók pár perc sétával elérhetoek.A HÁZ- jó állapotú- zárt lépcsoházas- a lakóközösség kultúráltA LAKÁS- elegáns, élheto terekkel rendelkezik- csendes utcára és kertre nézo- az eloszobából nyílik a konyha, a szoba és a fürdoszoba- nagy ablakainak köszönhetoen világos- a szoba nyugati tájolású- konvektor futésu- kádas fürdoszoba és WC külön- új muanyag ablakok szigetelik a hot és a hangotKöltözheto: azonnalKözös költség: 11.900 Ft.Ha szeretne kellemes csendes otthont, jöjjön és tekintse meg ezt a lakást!Várom megtisztelo hívását!","felújított","1950 és 1980 között","összkomfortos","nincs megadva","1","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs","nincs megadva","nem","külön helyiségben","nyugat","kertre néz","nincs megadva","nem","nem tetotéri",NA,"nincs megadva",NA
"6","VII. kerület, Nefelejcs utca","48 millió Ft","82 m²","3","VII. kerületben Nefelejcs utcában a Dembinszky utca magasságában eladó 1.emeleti, 82m2-es utcai nézetu 3 szobás, átlagos állapotú polgári lakás.Tehermentes, azonnal birtokba veheto!Az INGATLAN KÖRNYÉKE:Az ingatlan VII. kerület méltán közkedvelt részén helyezkedik el.10 percre elérheto a Városliget, Nagykörút, Hosök Tere, Állatorvosi Egyetem, Keleti p.u.Az ÉPÜLET JELLEMZOI:1930-as években épült 2 emeletes,20 lakásos polgári társasház.A lakások zárt lépcsoházból, illetve körfolyosóról nyílnak.A ház pinceszinttel, padlástérrel és belso udvarral rendelkezik. Lift nélküli.Felújított.LAKÁS JELLEMZOI:Tehermentes, azonnal költözheto.82 m2-es, 2+1 szobás lakás az épület 1.emeletén található, bejárata a zárt lépcsoházból nyílik.Tágas szobáinak ablakai utcára néznek, délnyugati tájolású.Nagy terek jellemzik, a konyha-eloszoba egybe nyitásra került, így 18m2-es konyha-étkezo-közösségi teret kaptunk, fürdoszobája tágas és ablakos úgy, mint a külön nyíló toalett is.Állapota átlagos, esztétikai felújítást igényel, villanyvezetékek 10 éven belül cserélve voltak. Szobái fa parkettásak, jó állapotú.LAKÁS MÉRETEI:Teljes méret: 82 nmBelmagasság: 3,5 mMUSZAKI FELSZERELTSÉG:Futése: cirkó kazán, vízóraPARKOLÁS:A parkolásra a ház elotti közterületen kényelmes és biztonságos lehetoség nyílik. Fizeto övezet, de bejelentett lakcímmel parkolási matrica igényelheto.AJÁNLÁS:Elhelyezkedése, adottságai miatt alkalmas mind családosoknak, diákoknak, befektetoknek-akár 2 lakássá is alakítható.Amennyiben felkeltette az érdeklodését a fenti ingatlan, kérem hívjon bizalommal!Referencia szám: LK067436","felújítandó","1950 elott","nincs megadva","nincs megadva","1","nincs megadva","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","nincs megadva","nincs megadva","nincs megadva","nem tetotéri",NA,"nincs megadva",NA
"7","X. kerület, Martinovics tér","57,9 millió Ft","121 m²","3","X. KERÜLETBEN KIVÁLÓ KÖZLEKEDÉS MELLETT NAGY POLGÁRI 3 SZOBÁS LAKÁS BEÉPÍTETT ÜVEG ERKÉLLYEL!Csendes lakó övezetben a Csajkovszkij-parkhoz közel eladó 3 szobás lakás! Az ingatlan 1911-ben épült Schöntheil Richard muépítész tervezte neje és önmaga részére. A lépcsoház egészen különös hangulatot kapott a szép meggyszínu Zsolnay csempékkel, rajtuk kör alakú kék kerámiával.A nappali a HATALMAS ablakoknak köszönhetoen rendkívül világos. A szobák elosztása KIVÁLÓ, egymástól függetlenül is megközelíthetoek. 2 db illemhely található az ingatlanban. Fürdoszobája és konyhája egyaránt TÁGAS! A villamoshálózat cseréje megtörtént. A lakáshoz tartozik egy TÉLIKERT, amit a nappaliból lehet megközelíteni.A lakás vonzáskörzetben minden megtalálható, amire a hétköznapokban szüksége lehet: orvosirendelo, élelmiszerbolt, hentes, dohánybolt, posta, gyógyszertár, óvoda, bölcsode, általános iskola stb.Közelben a Buszok: 217, a 195 és 95 -sVillamosok : 3-as, 62-es, 28-as megállója is megtalálható melyekkel 10 percen belül megközelítheto az Örs vezér tere. Gyalog 5 perc séta a Kobánya-Kispest vasútállomás.AZ INGATLAN HAMAR BIRTOKBA VEHETO!Vevoink számára a közvetítés ingyenes!","közepes állapotú","1950 elott","összkomfortos","nincs megadva","3","4","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","észak","panorámás","6 m²","nincs megadva","nincs megadva",NA,"utca, közterület",NA
"8","XI. kerület, Karinthy Frigyes út","80 millió Ft","73 m²","3","Eladó Újbudán, a Karinthy Frigyes úton, egy 73 m2-es, felújított, világos, 4. emeleti, erkélyes lakás!Az ingatlan egy amerikai konyhás nappaliból, két hálószobából, egy tágas elotérbol, külön fürdoszobából és mellékhelységbol, illetve egy két m2-es erkélybol áll.  A lakáshoz önálló pincerész is tartozik.2017-ben esett át teljesköru felújításon, minoségi anyagok felhasználásával. Légkondicionált a lakás, elektromos redonnyel felszerelt. A beépített bútorok, szekrénysorok és konyhai gépek az ár részét képezik. Kiváló lokációjának köszönhetoen (6-os villamos fél perces, Móricz Zsigmond körtér öt perces, bevásárlóközpont öt perces, egyetemek 5-10 perces sétával érhetoek el) nagyszeru választás lehet ,mind családosoknak, egyetemistáknak, de befektetoknek kiadásra is. Az ingatlan bár központi helyen található, negyedik emeleti elhelyezkedésének és a kiváló minoségu nyílászáróknak köszönhetoen csendes. Az OTP Ingatlanpont teljes köru ügyintézéssel áll az eladók és a vevok rendelkezésére! Az OTP csoport tagjaként, ügyfeleinknek lehetoségük van az OTP Bank által nyújtott kedvezo hitel-, kamat- és díjkedvezmények igénybevételére. Az adás-vétel folyamatának megkönnyítése érdekében szakképzett kollégáink, ügyvédeink gyorsított ügyintézéssel állnak szíves rendelkezésükre.  M203959","felújított","1950 és 1980 között","összkomfortos","nincs megadva","4","nincs megadva","van","nincs megadva","távfutés egyedi méréssel","van","nincs megadva","nincs megadva","nincs megadva","északnyugat","utcai","2 m²","nincs megadva","nem tetotéri",NA,"nincs megadva",NA
"9","II. kerület, Kavics utca","228 millió Ft","80 m²","3","II. kerület frekventált utcájában, Kavics utcában, kiváló közlekedéssel 7 lakásos, liftes, új építésu társasházban, hoszivattyús hutés-futéssel, alacsony rezsiju, magas színvonalú, minoségi luxuslakások eladók.Gépkocsi teremgarázs hely 8 millió Ft.-ért vásárolható az ingatlanokhoz, tároló 1.000.000,-Ft/m2.A lakások térszervezése nagyon praktikus, ügyelve a mai igényekre, maximális térkihasználás. Magas muszaki tartalom, választható burkolatok, beltéri ajtók, szaniterek, kulcsrakész átadás 2022. nyár vége. Muszaki tartalom:-homlokzati nyílászárók Janko fa nyílászárók, 3 rétegu üvegezéssel, -motoros távirányítós zsalúzia,-Laufen Pro szaniterek, Grohe csaptelepek,-az épület emelt szintu hotechnikai követelményeknek felel meg, hoszivattyús hutés-futési energia ellátással, mennyezet és padlófutéssel, -Padlóburkolatok: kerámia, mázas kerámia, szalagparketta Lakások:-Fsz A, 76m2, 12m2 terasz, 110m2 kertkapcsolat, nappali+2 háló 228.000.000,-Ft-1. em A, 76m2, 7,2m2 erkély, nappali+1 háló 228.000.000,-Ft.-1. em B, 69m2, 7,4m2 erkély, nappali+2 háló ,-Ft.Finanszírozás:Az ingatlan, banki finanszírozással is megvásárolható.Várjuk kedves ügyfeleinket ingyenes hiteltanácsadásra.Környék:Rózsadomb kedvelt részén, kiváló infrastruktúra, közelben neves iskolák, óvodák, minoségi éttermek, kávézók, kellemes séta lehetoségek. Rózsakert Bevásárlóközpont pár percre.","nincs megadva","2022","luxus","nincs megadva","1","3","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","nincs megadva","nincs megadva","igen","külön és egyben is","nincs megadva","panorámás","7 m²","nincs megadva","nincs megadva",NA,"teremgarázs hely - megvásárolható","8 000 000 Ft"
"10","XIII. kerület, Angyalföld","44,9 millió Ft","64 m²","2","Eladó!Angyalföldön egy magasföldszinti, teljesköruen felújitott 2 szobás tégla lakás.  Fo paraméterek: - 64 nm 2 tágas szoba  - Igényesen felújitott, azonnal költözheto - Déli fekvés, csendes mellékutcára nézo ablakok - Rendezett társasház, jó lakóközösség - Kiváló elhelyezkedés, Göncz Árpád városközpont pár perc sétaKimondottan ajánlom mind saját, mind befektetési céllal.Egyes képek illusztrációk!Egyedi igényekre szabott lakáshitelekkel állunk rendelkezésére. Bank független hitelcentrumunk az országban elérheto összes bank és hitelintézet ajánlatát versenyezteti az Ön számára díjmentesen. Munkatársaink nagy szakmai tapasztalattal várják Önt az elore egyeztetett idopontban akár a normál munkaido után is. Amennyiben az ingatlan felkeltette érdeklodését, bovebb információval illetve megtekintéssel kapcsolatban várom megtisztelo hívását, akár hétvégén is.","jó állapotú","1950 és 1980 között","nincs megadva","nincs megadva","földszint","nincs megadva","van","3 m-nél magasabb","házközponti","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","udvari","nincs megadva","nincs megadva","nem tetotéri",NA,"nincs megadva",NA
