"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","VII. kerület, Külso-Erzsébetváros","41,99 millió Ft","62 m²","2","Eladó Budapest VII. kerületben a Városliget közvetlen közelében, Marek József utcában egy 2 szobás, 62 m2-es, III. elemeti,  tehermentes lakás.A lakás- Utcai nézete ellenére nem zajos és világos- Egyedi futésu, gazdaságosan fenntartható- Tágas terekkel rendelkezik- Liftes- Tehermentes, gyorsan birtokba vehetoA környék:- Kiváló infrastruktúra és tömegközlekedés jellemzi- Bevásárlási és szórakozási lehetoségek adottak- A Városliget könnyen elérhetoAz ingatlan ideális választás fiataloknak, az idosebb generációnak, de befektetési célra is kiváló!","felújítandó","1950 elott","nincs megadva","nincs megadva","3","nincs megadva","van","nincs megadva","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északnyugat","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"2","VII. kerület, Marek József utca 29.","41,99 millió Ft","60 m²","2","7. és 14. kerület határán, TULAJDONOSTÓL eladó 2 szobás (külön nyílik), gépészetileg felújított, 3,9 m belmagasságú, emeleti, udvari tájolású, csendes lakás.A lakás a megújuló Városliget mellett található, a Marek József utcában, a Marek - Murányi sarkán, az Állatorvosi Egyetem és a Károli Gáspár Egyetem Bölcsész karának közelében.Jó állapotban van, gépészetileg felújított, így tisztasági festést követoen költözheto, vagy igény szerint - a kamra és a konyha átalakításával - 3 szobássá alakítható. A szobák a ház csendes belso udvarára néznek, délután süt oda a nap. A konyha és a fürdoszoba a szomszéd telekre néz, a délelotti nap süt ott be.A ház csendes, a lakóközösség szuper, a közös képviselo kiváló.Közlekedés: az utca egyirányú, átmeno forgalomtól és tömegközlekedéstol mentes. Ide csak az jön be, aki itt lakik. Parkolni az utcán lehet (kerületi lakosoknak 2.000 Ft / év, illetve a Ligeti mélygarázsban további 2.000 Ft / év).A szomszédos utcákban közlekedo 74, 75, 78, 79-es trolik, valamint a 20-as és 30-as buszok 2 perc alatt, a Thököly úton közlekedo buszok (5, 7, 110, 112 és társaik) 5 perc alatt érhetoek el. A Keleti Pályaudvar 10 perc sétára van.A közelben van bölcsi, ovi, általános és középiskolák, színházak, orvosi rendelo, kórház, boltok, piac, pláza...Per és tehermentes.Várjuk a szereto otthont keresoket! Hívjanak bizalommal!Ár: 42 M FtIngatlanosok kérem NE keressenek! Tényleg ne!","jó állapotú","1950 elott","összkomfortos","nincs megadva","2","4","nincs","3 m-nél magasabb","gáz (cirko), padlófutés","nincs","17 E Ft/hó","nem","egy helyiségben","délnyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"3","V. kerület, Vécsey utca","184,5 millió Ft","117 m²","3","Országház közelében eladó felújított 117 nm-es nagypolgári lakás.A lakóház frissen felújított homlokzatú, 5 szintes, kivételes eleganciát sugalló épület.A lakás negyedik emeleti, 3 külön nyíló szobával, étkezos konyhával, kamrával, fürdoszobával és külön nyíló toalettel rendelkezik. A három szobából ketto utcára néz, egy az udvar felé.Felújítása most fejezodött be. Ennek során újak lettek a vezetékek, fal- és padlóburkolatok, szaniterek és a konyha is. Futése házközponti.Remek elhelyezkedésu, jó ellátottságú környék, közelben iskolákkal, egyetemekkel. Egy-két percre metró, busz, villamosmegállók könnyítik a közlekedést. A Duna part pár perc sétával elérheto.Kituno befektetés akár lakhatásra, akár bérbeadásra (iroda, rendelo).Errol nem kell sokat mondani, ezt a lakást meg kell nézni!Kérjen idopontot!","felújított","1950 elott","összkomfortos","nincs megadva","4","5","van","3 m-nél magasabb","házközponti","nincs","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","utcai","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"4","VI. kerület, Bajza utca","37,2 millió Ft","43 m²","1 + 1 fél","- 43 nm-es, igényesen felújított, jó elosztású ingatlan- Belvárosi elhelyezkedés - Oktogon és Hosök tere között található, 1-es metró 5 percre, 72-es troli 2 percnyi távolságra- Ingatlanosok kérem ne keressenek","felújított","1950 elott","összkomfortos","nincs megadva","2","3","nincs","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"5","XIV. kerület, Kövér Lajos utca","38 millió Ft","41 m²","2","Zugló Garden Társasházban tulajdonostól eladó egy másfél szobás 41,5 m2-es, kertkapcsolatos, utcára nézo, erkélyes, földszinti jó állapotú lakás, amelyben helyt kapott egy amerikai konyhás nappali, egy hálószoba és egy fürdohelyiség. A futés házközponti, és önálló vízórával bír. A lakás fekvése kedvezo, számos csomópont tömegközlekedéssel gyorsan elérheto, bevásárlási lehetoség a közelben. A kérdéses ingatlan per- és tehermentes, irányár 38 millió Ft, a vételárnak részét képezi a beépített konyha, elo és hálószobai szekrények, a beépített elektromos fozo- és sütolap, szagelszívóval, továbbá a riasztó rendszer.","jó állapotú","2001 és 2010 között","komfortos","nincs megadva","földszint","6","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs","35 E Ft/hó","igen","egy helyiségben","nincs megadva","utcai","4 m²","nincs megadva","nem tetotéri","utca, közterület",NA,NA
"6","XI. kerület, Móricz Zsigmond körtér 16.","125 millió Ft","105 m²","3","Móricz Zsigmond körtéren, panorámás, gyönyöruen felújított, 105 nm-es, erkélyes lakás eladó.Irodának, vagy lakásnak is tökéletes választás a 3. emeleten található (4 emeletes ház), különnyíló szobákból álló ingatlan. A liftes ház homlokzatának felújítása a tavaly osszel fejezodött be, míg a lakás teljes köru felújítása egy éve történt, mely a teljes elektromos és vízvezetéket, új kondenzációs gázkazánt, nyílászárókat, burkolatokat és a szaniterek cseréjét jelenti.A lakás elosztása:elotér, 2 db körfolyosóra nézo szoba, 1 db Móricz Zs. körtérre nézo szoba egybenyitva a konyhával, 2 db WC-vel kiegészített fürdoszoba, 1 db külön WC","felújított","1950 és 1980 között","duplakomfortos","nincs megadva","3","4","van","3 m-nél magasabb","gáz (cirko)","van","25 E Ft/hó","nincs megadva","külön és egyben is","nincs megadva","panorámás","2 m²","nem","nem tetotéri","utca, közterület",NA,NA
"7","XVIII. kerület, Ülloi út","67,9 millió Ft","113 m²","5","Eladó egy 113 nm-es lakás a XVIII. kerületben.Eladásra kínálok a XVIII. kerület, Lipták telep szélén lévo 113 nm-es tégla házban a harmadik emeleten található 5 szobás, erkélyes, amerikai konyhás lakást.A lakás rendezett anyagi helyzetu és lakóközösségu, ugyancsak szép állapotú házban található.Futését és melegvíz ellátását, kondenzációs gáz cirkó biztosítja.Az ingatlan helyiségei:Alsó szint:Amerikai konyhás nappali, 1 db hálószoba, 1 db fürdoszoba, WC, 10 nm-es erkély.Felso szint:3 db szoba, fürdoszoba, WCA közös költség: 23.000.- forint Az enterior letisztult, ízléses, a lakás terei, burkolatai, fényviszonyai, otthonos hangulatot árasztanak.A konyhabútor teljesen gépesítetten a vételárba beletartozik.Az ingatlan, TEHERMENTES!A közelben számos bevásárlási és szórakozási lehetoség, gyógyszertár, orvosi rendelo, éttermek, kávézók, több szolgáltató egység található.A közlekedés: Köszönhetoen az ingatlan elhelyezkedésének, kiváló.Ha hirdetésem felkeltette az érdeklodését, kérem, hívjon bizalommal, örömmel mutatom Önnek az ingatlant! K.L.","felújított","1981 és 2000 között","duplakomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nem","nincs megadva","délkelet","utcai","10 m²","nem","tetotéri","utca, közterület",NA,NA
"8","XVIII. kerület, Ülloi út","187,46 ezer €","113 m²","5","Eladó egy 113 nm-es lakás a XVIII. kerületben.Eladásra kínálok a XVIII. kerület, Lipták telep szélén lévo 113 nm-es tégla házban a harmadik emeleten található 5 szobás, erkélyes, amerikai konyhás lakást.A lakás rendezett anyagi helyzetu és lakóközösségu, ugyancsak szép állapotú házban található.Futését és melegvíz ellátását, kondenzációs gáz cirkó biztosítja.Az ingatlan helyiségei:Alsó szint:Amerikai konyhás nappali, 1 db hálószoba, 1 db fürdoszoba, WC, 10 nm-es erkély.Felso szint:3 db szoba, fürdoszoba, WCA közös költség: 23.000.- forint Az enterior letisztult, ízléses, a lakás terei, burkolatai, fényviszonyai, otthonos hangulatot árasztanak.A konyhabútor teljesen gépesítetten a vételárba beletartozik.Az ingatlan, TEHERMENTES!A közelben számos bevásárlási és szórakozási lehetoség, gyógyszertár, orvosi rendelo, éttermek, kávézók, több szolgáltató egység található.A közlekedés: Köszönhetoen az ingatlan elhelyezkedésének, kiváló.Ha hirdetésem felkeltette az érdeklodését, kérem, hívjon bizalommal, örömmel mutatom Önnek az ingatlant! K.L.","felújított","1981 és 2000 között","duplakomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nem","nincs megadva","délkelet","utcai","10 m²","nem","tetotéri","utca, közterület",NA,NA
"9","VI. kerület, Izabella utca","49,9 millió Ft","90 m²","2 + 1 fél","Gyönyöru, elegáns, felújított épületben található, jó állapotú, világos lakás. Jelenleg 2,5 szobás, de elosztásának köszönhetoen könnyen 3 szobássá alakítható.Az Andrássy út pár lépés távolságra található.Rugalmasan megtekintheto!","közepes állapotú","1950 elott","nincs megadva","nincs megadva","3","3","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","utcai","nincs megadva","nincs megadva","nincs megadva","utca, közterület",NA,NA
"10","XIII. kerület, Szent László út","54,99 millió Ft","79 m²","1 + 2 fél","A XIII. kerületben a Szent László utcában ELADÓ egy 79nm-es, 1+2 szobás, 1.emeleti, kertre nézo, erkélyes, cirkó futéses lakás.A 2003-ban épült ház a jó lakóközösségnek és a közös képviseletnek köszönhetoen, nagyon szép állapotban van, melyet a folyamatos karbantartással oriznek meg.A lakás az 1. emelten található, és a csendes belso udvarra néz, így az utca és a környék zaja, nem zavarja a nyugodt életet.Az ingatlanba lépve egy tágas eloszobába jutunk, innen érheto el a külön konyha és a nappali, majd a lakás végén találhatók hálószobák és a fürdo. A lakáshoz tartozó 9nm-es erkélyre minden szobából kijuthatunk, így minden helyiség könnyen szelloztetheto és kelloen világos.Közlekedés szempontjából az 1-es, 14-es villamos és a 105-ös busznak köszönhetoen tökéletes, hiszen úgy élhetünk egy csendes, nyugodt helyen, hogy gyorsan beérhetünk a központba.Közös költség: 16.000Ft/hóÁra: 54.990.000Ft ( teremgarázs nélkül - nem kötelezo a teremgarázst megvenni az ingatlanhoz)","felújítandó","2001 és 2010 között","összkomfortos","nincs megadva","1","6","van","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","kertre néz","9 m²","nem","nem tetotéri","teremgarázs hely - kötelezo megvenni","3 000 000 Ft",NA
