"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Panelprogram","Parkolóhely ára"
"1","XI. kerület, Takács Menyhért utca","64,9 millió Ft","65 m²","3","Eladásra kínálunk a Takács Menyhért utcában 65 nm-es, amerikai konyhás nappali + 2 hálószobás, erkélyes lakást, átlagos állapotú házban.Pár éve teljesköru felújításon esett át az ingatlan. Futése egyedi, kombi cirkó kazán.","újszeru","1950 és 1980 között","nincs megadva","nincs megadva","félemelet","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","utcai","nincs megadva","nem","nincs megadva","nincs megadva",NA,NA
"2","VIII. kerület, Józsefváros - Losoncinegyed","31,99 millió Ft","51 m²","2","Eladásra kínálok VIII. ker LosoncinegyedBAROSSUTCÁBAN egy 51 nm-es 2 szobás, keleti tájolású, összkomfortos, külön wc - fürdos, erkélyes, házközponti futésu lakást, 10 emeletes liftes panelház 9. emeletén.A szobák különnyíólóak, a konyha ablakos. Nyílászárók, bejárati ajtó cseréje megtörtént, fürdoszoba és a wc burkolása, kád csere szintén megtörtént, ezeken kívül pedig a konyhabútor is kicserélésre került.Pár perc sétára található a 72M ls a 83-as troli, 9-es busz, 4-6-os villamos. Ezen kívül számos bevásárlási lehetoség adott a környéken, illetve különbözo szolgáltatások.Eladási ára 31,99M FtBármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","nincs megadva","nincs megadva","összkomfortos","nincs megadva","9","10","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","kelet","utcai","3 m²","nincs megadva","nincs megadva","nincs megadva","részt vett",NA
"3","X. kerület, Állomás utca","38,9 millió Ft","68 m²","3","Eladásra kínálok X. ker Ligettelek Á L L O M Á S  UTCÁBAN egy 68 nm-es 3 szobás, nyugati tájolású, utcára nézo, összkomfortos, külön wc - fürdos, távfutéses, erkélyes lakást 10 emeletes liftes panelház 1. emeletén.Fürdo, wc felújításra került, ablakok kicserélve muanyagra. A konyha ablakos, így könnyen szelloztetheto, az erkély jelenleg be van építve. A lakáshoz tartozik egy kizárólagos használatú, leválasztott elotér is. A ház rendszeresen karbantartott, a lakóközösség kedves, barátságos. Lokációja nagyon elonyös, sétatávolságon belül található a 3, 28, 37, 62-es villamosok, és a vasútállomás is. A környéken üzletek, óvoda, iskola, rendelo, gyógyszertár, bankok, játszótér, rendezett park mind könnyen elérhetoek, pár perc sétára vannak.Eladási ára 39,5M FtBármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","nincs megadva","nincs megadva","összkomfortos","nincs megadva","1","10","van","3 m-nél alacsonyabb","távfutés","nincs","nincs megadva","nincs megadva","külön helyiségben","nyugat","utcai","5 m²","nincs megadva","nincs megadva","nincs megadva","nem vett részt",NA
"4","VI. kerület, Paulay Ede utca","97 millió Ft","85 m²","2 + 1 fél","VI. kerület Paulay Ede utca Gozsdu udvarhoz közel eso részén, múltszázad elején épült polgári társasházban lévo 85 nm-es nappali+ 2 szobás, 2 fürdos tetotéri lakás eladó. 1998-ban volt a tetotér beépítés, 2002-ben volt felújítva a lakás, 2013-ban további kisebb munkálatokat végeztek el. Az utcai bejárattól pár lépésre található a lift, ami a 3. emeletig visz, innen még egy lépcsosor vezet fel a lakáshoz. A szint ezen szárnyában összesen 2 lakás található, így csendes - privát érzetet ad az itt lakóknak. A lakásba lépve, az eloszoba részen átsétálva elérkezünk egy hatalmas, egylégteru konyha - nappali - étkezo térbe, emellett 2 hálószoba és 2 fürdo található (egyik zuhanykabinos, a másik mélyített fürdokáddal ellátott). A konyha és a kisebb hálószoba a belso udvarra, míg a másik 3 ablak az utcafrontra néz, de mindkét oldalról sok fény éri a belso tereket, világos a lakás. A tulajdoni lap alapján a lakás mérete 85 m2. 2019-ben építésszel méretpontos alaprajz készült, eszerint a lakás összes egész bruttó alapterülete 106,71 nm. Az ingatlanhoz tartozik még egy pincei 5nm tárolóegység is. Parkolási lehetoség nincs a társasházban, utcai fizetos parkolás vagy a vonzáskörzetben lévo 2-3 parkolóházban van lehetoség parkolóhely bérlésére. A tömegközlekedés kiváló, 3 percre található gyalogosan a Deák Ferenc tér (M1, M3 metrók) villamosok (47,49) és számos buszjárat, a város összes pontjára könnyen el lehet jutni innen. Élelmiszerbolt (CBA, Roni ABC, Spar), éttermek, kulturális- és szórakozóhelyek mind gyalogtávolságra. Egyetemistáknak, fiatal pároknak és családoknak egyaránt tökéletes választás, de befektetési szemmel nézve is jó lehetoség; hosszútávú kiadásra tökéletes.Referencia szám: LK028456","jó állapotú","1981 és 2000 között","nincs megadva","nincs megadva","4","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nyugat","nincs megadva","nincs megadva","nincs megadva","tetotéri","nincs megadva",NA,NA
"5","VI. kerület, Bajcsy-Zsilinszky út","82 millió Ft","83 m²","2","A belvárosban nagyon szépen karbantartott, 1862-ben épült muemlék-jellegu liftes társasház elso emeletén kínálok eladásra egy teljes köruen felújított, kiváló állapotú 83nm-es lakást. Impozáns, 4 méteres belmagasságával és a hatalmas ablakfelületeivel ez a nagyon elegáns, igazi polgári otthon egyaránt kituno választás lehet – jelenlegi formájában – egyedülállóknak vagy pároknak, némi átalakítással (pl. galéria építése) családok számára, de iroda, rendelo céljára is kiválóan megfelel. A bejárat elotti nagyon hangulatos belso udvarra nézo folyosó erkélyként is használható. Az ingatlanhoz saját pincerekesz tartozik. A kerületben a tulajdonosok számára egy gépkocsi részére a parkolás ingyen biztosított, de az utcában több garázs-bérlési lehetoség is adott. A lakás légkondicionált, riasztóval felszerelt, per- és tehermentes. Ára 82m Ft.","felújított","1950 elott","összkomfortos","nincs megadva","1","3","van","3 m-nél magasabb","házközponti","van","60 E Ft/hó","nem","külön helyiségben","nyugat","utcai","nincs megadva","nem","nem tetotéri","utca, közterület - ingyenes",NA,NA
"6","VI. kerület, Belso-Terézváros","74,9 millió Ft","67 m²","3","VI. ker. Páratlanul szép, felújított épületben, az Ó utcában kínálok egy  eladó ingatlant- 67nm -es, - nyitott konyhás nappali - 2 hálószoba ( külön bejárattal)- jó állapotú,- utcai nézetu,- Dk-i,- cirkó futéses,- 3. emeleti,- panorámaliftes,- közös költség 16.000 Ft  ( vízdíjat tartalmazza )Mindenképpen érdemes szót ejtenünk az épületrol is, amely a kerület egyik legszebb lakóépülete. A lakóház udvarát egy szobor és zöldello növények  teszik hangulatossá.  Pár éve emeletráépítéssel történt felújítás eredményeként a lakóház még egy panorámaliftet is bovült.Ajánlom mindazok számára, akik a nyüzsgo belvárosban szeretnének egy impozáns polgári épületben otthont kialakítani vagy bérbeadásban gondolkodnak. A  környék egyértelmu garancia, hogy értékálló befektetésre számíthat tulajdonosa. Éttermek, kávézok, cukrászdák, bank és posta, mindent elérheto a közelben. A kulturális szempontokat tekintve, 5 perc sétára találjuk  a Magyar Állami Operaházat, a Thália Színházat, a Radnóti Miklós Színházat, Új Színházat és pár perc sétára a Bazilikát.Referencia szám: H434146","jó állapotú","1950 elott","nincs megadva","nincs megadva","3","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"7","XIV. kerület, Bonyhádi út","75,6 millió Ft","54 m²","2","VÁSÁROLJON KOCKÁZAT NÉLKÜL, REFERENCIÁVAL rendelkezo beruházótól.A XIV. kerületben, a Bosnyák és az Egressy tér közelében épül egy 7 lakásos társasház. Változatos alaprajz, a földszinten privát kertkapcsolat, a 2. emeleten körterasz. A lakások 2-3-4 szobásak.A lakás fobb jellemzoi:- PRÉMIUM MINOSÉGU ÉPÍTOANYAGOK- PRÉMIUM MINOSÉGU BURKOLATOK- futése: hoszivattyús rendszer + padlófutés- riasztó- redony- kiváló közlekedés- és infrastruktúra- csendes utca- ÉNY-i, illetve DNY-i tájolások- A hoszigetelési, akusztikai, ill. energetikai szempontok kiemelt kezeléssel kerültek megvalósításra.- ÖNÁLLÓ MÉRÉSI lehetoség- TEREMGARÁZS vásárolható (6 - 7 M Ft/db)- Tároló vásárolható (600.000 Ft/m2)Közlekedés: kiváló (villamosok /3, 62, 62A/ buszok /32/ az épülettol pár percnyire találhatóak).További információért hívjon bizalommal!","nincs megadva","2021","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","hoszivattyú, padlófutés","nincs megadva","nincs megadva","nem","külön helyiségben","nyugat","utcai","18 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható",NA,"6 000 000 Ft"
"8","VII. kerület, Középso-Erzsébetváros","44,3 millió Ft","46 m²","2","Eladása kínálok VII. ker Középso - Erzsébetváros R Ó Z S A   UTCÁBAN eladó 46 nm-es 2 szobás, ésszakkeleti tájolású, utcára nézo,  összkomfortos, külön wc - fürdos, házközponti futésu lakást, tégla építésu 7 emeletes liftes ház 5. emeletén.Egyedi kialakítása miatt jól szelloztetheto, a fürdoszobában és a konyhában is van ablak. A szobák francia erkéllyel rendelkeznek , muanyag ho- és hangszigetelo nyílászárók lettek beépítve. Közös költség  18 000 Ft/hóLokációja kiemelten jó, könnyen elérheto troli megálló, Keleti pályaudvar, éjjel - nappali, egyéb bevásárlási lehetoségek.Eladási ára 44,3M FtBármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","nincs megadva","nincs megadva","összkomfortos","nincs megadva","5","7","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs","nincs megadva","nincs megadva","külön helyiségben","északkelet","utcai","nincs megadva","nem","nincs megadva","nincs megadva",NA,NA
"9","XI. kerület, Gellérthegy","86 millió Ft","76 m²","1 + 2 fél","Eladásra kínálok XI. ker GellérthegySCHWEIDELUTCÁBAN egy 76 nm-es 1+2 szobás,  délnyugati tájolású, kertre nézo, összkomfortos, egybe wc - fürdos, cirkó futésu, erkélyes lakást, tégla építésu 2 emeletes ház földszintjén. Világos, csendes lakás, amit folyamatosan karban tartottak. Eredeti állapotához képest többször felújításra került, nyílászárói új borovi fenyo nyílászárók. Az erkély köözvetlen kertkapcsolattal rendelkezik. A lakáshoz közvetlenül a lakás alatt saját 17nm-es garázs is tartozik melynek vételára 6M Ft, illetve az udvaron plusz egy gépkocsi beálló található. A közlekedés kiváló, néhány per alatt elérheto, a Móricz Zsigmond körtér és a Széll Kálmán tér is, ezen felül a környéken óvoda, iskola, orvosi rendelo, MOM Park, gyógyszertár és sok más üzlet mind megtalálható.Eladási ára 86M FtBármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","nincs megadva","nincs megadva","összkomfortos","nincs megadva","földszint","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs","nincs megadva","nincs megadva","egy helyiségben","délnyugat","kertre néz","6 m²","nincs megadva","nincs megadva","nincs megadva",NA,NA
"10","XVI. kerület, Ómátyásföld","23,2 millió Ft","34 m²","1","Ó-Mátyásföld!","jó állapotú","1950 elott","összkomfortos","nincs megadva","1","2","nincs","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","kelet","utcai","2 m²","igen","tetotéri","udvari beálló - benne van az árban",NA,NA
