"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Panelprogram","Parkolóhely ára"
"1","Vác, Rigó utca","29,9 millió Ft","56 m²","2","Vácon a Rigó utcában került eladó sorba, egy 4. emeleti, 56 négyzetméteres, erkélyes, 2 szobás téglalakás.Az ingatlan egy 12 lakásos társasház legfelso szintjén helyezkedik el. Két külön nyíló szobából, konyhából, fürdoszobából áll. A mellékhelyiség külön van.  A futésérol konvektor,  a melegvíz-ellátásáról villanybojler gondoskodik. Nyílászárók és a bejárati ajtó cseréje megtörtént. A lakás rezsije kedvezo, a közös költség 5.000 Ft. havonta. A parkolás a környéken ingyenes.A közelben parkok, iskola, óvoda, bölcsode, boltok, orvosi rendelo gyógyszertár, buszmegálló megtalálható. Csendes, nyugodt elhelyezkedése és kedvezo adottságainak köszönhetoen kiváló választás lehet bármely generáció számára.Per- és tehermentes. A lakást a tulajdonos 2022. tavaszán szeretné birtokba adni.","közepes állapotú","1950 és 1980 között","összkomfortos","nincs megadva","4","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs","nincs megadva","nem","külön helyiségben","délkelet","utcai","6 m²","nincs megadva","nem tetotéri","utca, közterület - ingyenes",NA,NA
"2","XVIII. kerület, Bókaytelep","20 millió Ft","31 m²","1","Fiataloknak, befektetoknek kiváló lehetoség , azonnal költözheto!Eladó Budapesten a  18.  kerületben a Bókay telep egyik csendes utcájában, egy 9 lakásos társasházban, 31nm-es  kis lakás. Az ingatlan a 40-esv években épült, tégla szerkezetu,. A futése gázkonvektorral megoldott, a rezsi költsége alacsony. A lakás 2018-ban részben fel lett újítva. Muanyag nyílászárók kerültek beépítésre,a  fürdoszoba teljesen fel lett újítva, illetve az egész lakás ki lett festve. Kiválóan alkalmas fiatal párnak,vagy befektetés céljából kiadásra. A közlekedés kiváló, közelben busszal és  villamossal is megközelítheto.  A környék csendes, kis forgalmú.Amennyiben felkeltettem a figyelmét,várom megtisztelo hívását. 20000000 FtReferencia szám: LK023975","közepes állapotú","1950 elott","összkomfortos","nincs megadva","földszint","nincs megadva","nincs megadva","nincs megadva","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","kertre néz","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"3","VI. kerület, Belso-Terézváros","37,9 millió Ft","30 m²","1","Eladó felújított kis lakás a VI. Nagymezo utca közelében!Társasházban eladó egy rendkívül csendes, 30 m2 alapterületu, 1 szobás, földszinti lakás, mely a belso udvarra néz.Teljes köru felújítása 2016-ban megtörtént. Prémium minoségu hideg-meleg burkoló anyagok biztosítják a tartósságot. A lakás elrendezése rendkívül egyszeru. Az udvarról belépve a felszerelt konyha fogad, innen nyílik a 21 m2 nagyságú szoba. Futést gázcirkó, hutést pedig  klíma biztosítja. A falba laptop méretu széf lett beépítve. A szobából nyílik a káddal felszerelt fürdoszoba.Az eredeti belmagasság 4 méter, mely álmennyezettel lett csökkentve. Igény esetén elbontható és galéria építheto.AIRBNB engedéllyel rendelkezik a társasház és a lakás, jelenleg is folyamatosan jönnek a vendégek.A környék minden szempontból kiváló. A tömegközlekedés remek. Karnyújtásnyira a pesti Broadway, mely garancia a színvonalas szórakozáshoz. A maga sajátos hangulatával, nyüzsgésével, éttermekkel, kávézókkal örök kikapcsolódást biztosít. Közelben a Jókai tér, Gozsdu udvar, Operaház. Jelenleg 3 m magasságban álmennyezet van, mely könnyen elbontható és a szoba galériázható (eredeti belmagasság 4 m).A rezsiköltség rendkívül alacsony. A közös költség cca. 7000 Ft/hó. A társasházban a DIGI nyújt szolgáltatást.Az elmúlt években rövidtávú kiadásra használták a lakást, így kiváló hozamot termelt a tulajdonosnak.A lakóközösség barátságos,a ház tiszta rendezett.Tökéletes választás,  remek saját használatra, bérbeadásra, rendelonek vagy irodának.Amennyiben felkeltettük érdeklodését egyeztessünk idopontot és jöjjön, nézze meg! Hitelre vásárló ügyfeleinknek ingyenes, teljesköru, bank-semleges ügyintézéssel állunk rendelkezésére.  Irodánk ügyvédje kedvezo díjszabással vállalja az adásvételi szerzodés elkészítését.Sz.P.","felújított","1950 és 1980 között","összkomfortos","ee","földszint","2","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nem","nincs megadva","nincs megadva","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"4","VI. kerület, Belso-Terézváros","104,02 ezer €","30 m²","1","Eladó felújított kis lakás a VI. Nagymezo utca közelében!Társasházban eladó egy rendkívül csendes, 30 m2 alapterületu, 1 szobás, földszinti lakás, mely a belso udvarra néz.Teljes köru felújítása 2016-ban megtörtént. Prémium minoségu hideg-meleg burkoló anyagok biztosítják a tartósságot. A lakás elrendezése rendkívül egyszeru. Az udvarról belépve a felszerelt konyha fogad, innen nyílik a 21 m2 nagyságú szoba. Futést gázcirkó, hutést pedig  klíma biztosítja. A falba laptop méretu széf lett beépítve. A szobából nyílik a káddal felszerelt fürdoszoba.Az eredeti belmagasság 4 méter, mely álmennyezettel lett csökkentve. Igény esetén elbontható és galéria építheto.AIRBNB engedéllyel rendelkezik a társasház és a lakás, jelenleg is folyamatosan jönnek a vendégek.A környék minden szempontból kiváló. A tömegközlekedés remek. Karnyújtásnyira a pesti Broadway, mely garancia a színvonalas szórakozáshoz. A maga sajátos hangulatával, nyüzsgésével, éttermekkel, kávézókkal örök kikapcsolódást biztosít. Közelben a Jókai tér, Gozsdu udvar, Operaház. Jelenleg 3 m magasságban álmennyezet van, mely könnyen elbontható és a szoba galériázható (eredeti belmagasság 4 m).A rezsiköltség rendkívül alacsony. A közös költség cca. 7000 Ft/hó. A társasházban a DIGI nyújt szolgáltatást.Az elmúlt években rövidtávú kiadásra használták a lakást, így kiváló hozamot termelt a tulajdonosnak.A lakóközösség barátságos,a ház tiszta rendezett.Tökéletes választás,  remek saját használatra, bérbeadásra, rendelonek vagy irodának.Amennyiben felkeltettük érdeklodését egyeztessünk idopontot és jöjjön, nézze meg! Hitelre vásárló ügyfeleinknek ingyenes, teljesköru, bank-semleges ügyintézéssel állunk rendelkezésére.  Irodánk ügyvédje kedvezo díjszabással vállalja az adásvételi szerzodés elkészítését.Sz.P.","felújított","1950 és 1980 között","összkomfortos","ee","földszint","2","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nem","nincs megadva","nincs megadva","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"5","XIII. kerület, Szabolcs utca","25 millió Ft","32 m²","1","Tisztelt Érdeklodo!Figyelmébe ajánlom a 13. kerület dinamikusan fejlodo részén, a Szabolcs utcában ezt a 32 négyzetméteres, galériás, udvari nézetu lakást.Az ingatlanba belépve a tágas konyhában találjuk magunkat, innen nyílik a kádas fürdoszoba, illetve a galériás nappali is. A lakás muszaki állapota jó, a tulajdonos számos korszerusítést végzett rajta, ezek közé tartozik a bejárati ajtó, illetve a kombi cirkó cseréje is. Az ingatlan kituno lokációval rendelkezik, a westend és a nyugati pályaudvar mindössze 5 perc sétával, a városliget pedig 10 perc alatt elérheto. Jó szívvel ajánlom az ingatlant elso lakásvásárlóknak, pároknak, de a kiváló lokáció, és a gyorsan fejlodo környék miatt befektetoknek is ideális választás, mivel könnyedén kiadható.Várom hívását, akár hétvégén is, amennyiben ajánlatom felkeltette érdeklodését!","közepes állapotú","1950 és 1980 között","nincs megadva","nincs megadva","3","nincs megadva","nincs","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északkelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"6","VI. kerület, Belso-Terézváros","37,9 millió Ft","30 m²","1","Eladó felújított kis lakás a VI. Nagymezo utca közelében!Társasházban eladó egy rendkívül csendes, 30 m2 alapterületu, 1 szobás, földszinti lakás, mely a belso udvarra néz.Teljes köru felújítása 2016-ban megtörtént. Prémium minoségu hideg-meleg burkoló anyagok biztosítják a tartósságot. A lakás elrendezése rendkívül egyszeru. Az udvarról belépve a felszerelt konyha fogad, innen nyílik a 21 m2 nagyságú szoba. Futést gázcirkó, hutést pedig  klíma biztosítja. A falba laptop méretu széf lett beépítve. A szobából nyílik a káddal felszerelt fürdoszoba.Az eredeti belmagasság 4 méter, mely álmennyezettel lett csökkentve. Igény esetén elbontható és galéria építheto.AIRBNB engedéllyel rendelkezik a társasház és a lakás, jelenleg is folyamatosan jönnek a vendégek.A környék minden szempontból kiváló. A tömegközlekedés remek. Karnyújtásnyira a pesti Broadway, mely garancia a színvonalas szórakozáshoz. A maga sajátos hangulatával, nyüzsgésével, éttermekkel, kávézókkal örök kikapcsolódást biztosít. Közelben a Jókai tér, Gozsdu udvar, Operaház. Jelenleg 3 m magasságban álmennyezet van, mely könnyen elbontható és a szoba galériázható (eredeti belmagasság 4 m).A rezsiköltség rendkívül alacsony. A közös költség cca. 7000 Ft/hó. A társasházban a DIGI nyújt szolgáltatást.Az elmúlt években rövidtávú kiadásra használták a lakást, így kiváló hozamot termelt a tulajdonosnak.A lakóközösség barátságos,a ház tiszta rendezett.Tökéletes választás,  remek saját használatra, bérbeadásra, rendelonek vagy irodának.Amennyiben felkeltettük érdeklodését egyeztessünk idopontot és jöjjön, nézze meg! Hitelre vásárló ügyfeleinknek ingyenes, teljesköru, bank-semleges ügyintézéssel állunk rendelkezésére.  Irodánk ügyvédje kedvezo díjszabással vállalja az adásvételi szerzodés elkészítését.Sz.P.","felújított","1950 és 1980 között","összkomfortos","ee","földszint","2","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nem","nincs megadva","nincs megadva","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"7","VI. kerület, Belso-Terézváros","104,02 ezer €","30 m²","1","Eladó felújított kis lakás a VI. Nagymezo utca közelében!Társasházban eladó egy rendkívül csendes, 30 m2 alapterületu, 1 szobás, földszinti lakás, mely a belso udvarra néz.Teljes köru felújítása 2016-ban megtörtént. Prémium minoségu hideg-meleg burkoló anyagok biztosítják a tartósságot. A lakás elrendezése rendkívül egyszeru. Az udvarról belépve a felszerelt konyha fogad, innen nyílik a 21 m2 nagyságú szoba. Futést gázcirkó, hutést pedig  klíma biztosítja. A falba laptop méretu széf lett beépítve. A szobából nyílik a káddal felszerelt fürdoszoba.Az eredeti belmagasság 4 méter, mely álmennyezettel lett csökkentve. Igény esetén elbontható és galéria építheto.AIRBNB engedéllyel rendelkezik a társasház és a lakás, jelenleg is folyamatosan jönnek a vendégek.A környék minden szempontból kiváló. A tömegközlekedés remek. Karnyújtásnyira a pesti Broadway, mely garancia a színvonalas szórakozáshoz. A maga sajátos hangulatával, nyüzsgésével, éttermekkel, kávézókkal örök kikapcsolódást biztosít. Közelben a Jókai tér, Gozsdu udvar, Operaház. Jelenleg 3 m magasságban álmennyezet van, mely könnyen elbontható és a szoba galériázható (eredeti belmagasság 4 m).A rezsiköltség rendkívül alacsony. A közös költség cca. 7000 Ft/hó. A társasházban a DIGI nyújt szolgáltatást.Az elmúlt években rövidtávú kiadásra használták a lakást, így kiváló hozamot termelt a tulajdonosnak.A lakóközösség barátságos,a ház tiszta rendezett.Tökéletes választás,  remek saját használatra, bérbeadásra, rendelonek vagy irodának.Amennyiben felkeltettük érdeklodését egyeztessünk idopontot és jöjjön, nézze meg! Hitelre vásárló ügyfeleinknek ingyenes, teljesköru, bank-semleges ügyintézéssel állunk rendelkezésére.  Irodánk ügyvédje kedvezo díjszabással vállalja az adásvételi szerzodés elkészítését.Sz.P.","felújított","1950 és 1980 között","összkomfortos","ee","földszint","2","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nem","nincs megadva","nincs megadva","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"8","XIV. kerület, Istvánffy utca","68,9 millió Ft","72 m²","2 + 1 fél","Eladó Zuglóban, Istvánffy utcában (zöldövezetben), jó közlekedési lehetoséggel egy bruttó 74, nettó 72 nm-es, 2+1 félszobás (nappali-étkezo-amerikai konyha + 2 hálószoba) , cirkó futésu, 2.emeleti lakás (még egy emelet van felette). Nappali francia erkélyes, mely belso kertre néz, a lakásban tetotéri ablakok vannak.A 2009-ben épült társasházban 9 lakás van, rendes lakóközösséggel.A lakáshoz tartozik egy mélygarázs hely, illetve egy zárható, saját tároló, ami a vételár részét képezi!A lakás tehermentes. Magánszemélyként hirdetem.Kérem hogy ingatlanosok NE keressenek, megértésüket köszönöm!","jó állapotú","2001 és 2010 között","összkomfortos","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","udvari","nincs megadva","nincs megadva","nincs megadva","teremgarázs hely",NA,NA
"9","Balassagyarmat, Nógrád megye","15,3 millió Ft","54 m²","1 + 1 fél","Eladó egy fiatalos, részben felújított (90%-ban) 1+fél szobás tégla építésu lakás a Kossuth Lajos utcában.Az ingatlan 54 m2 alapterületu, ezen felül tartozik hozzá egy 10 m2-es galéria, ami tovább bovítheto a belmagasság miatt és két taroló.A lakás futésérol két cserépkályha és egy huto/futo klíma gondoskodik.A belso tér további kialakítása az új tulaj fantáziájára van bízva. A berendezés, illetve bútorzat megbeszélés tárgyát képezi. A parkolás belso udvarban megoldott, csendes lakókörnyezetben.Az ingatlan elhelyezkedése kiváló, városközpontban helyezkedik el. Gyógyszertár, bank, dohányboltok, drogériák, pékség, iskolák és a piac a szomszédban, helyileg szinte minden gyorsan megközelítheto.Az Otthonszerzo 1%-os sikerdíj ellenében értékesíti az ingatlanokat, ezzel megspórolva eladóinknak a sokszor igen magas közvetítoi díjat, ezáltal vásárlóink kedvezobb áron juthatnak hozzá új otthonukhoz.Ing kód: 6099","felújított","nincs megadva","komfortos","nincs megadva","1","2","nincs","3 m-nél magasabb","cserépkályha, egyéb","van","nincs megadva","nem","egy helyiségben","északnyugat","utcai","nincs megadva","nem","nem tetotéri","udvari beálló - benne van az árban",NA,NA
"10","XIII. kerület, Fiastyúk utca","32,8 millió Ft","40 m²","1","Eladó a XIII. kerület Angyalföld legszebb zöldövezeti részén egy 40nm-es felújított lakás.A 6 lakásos társasház, családias, megbízható lakóközösség.Parkosított, csendes környék.Az inagtlanhoz egy nagy méretu tároló is tartozik.A Duna part 10 perc, a Rákospatak 5 perc sétára.","felújított","1950 és 1980 között","összkomfortos","nincs megadva","félemelet","3","nincs megadva","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","nyugat","kertre néz","nincs megadva","nincs megadva","nem tetotéri","utca, közterület",NA,NA
