"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","XI. kerület, Nádorliget utca 5/A","189 millió Ft","112 m²","2 + 1 fél","Egy lakás a város felett! Eladó a Budapest XI. Nádorliget lakóparkban egy 7. emeleti, a Gellért hegyre, valamint a Budai hegyekre örök-panorámás luxuslakás. Az alapterülete 202 m2 A lakás 112 m2 +78 m2 terasz+ 108 m2 tetokert.A lakás 1 hálószobából, egy félszobából, valamint egybenyitott konyha étkezo és nappaliból áll, és teljes beépített bútorzattal rendelkezik.A futése egyedi méros házközponti futés, amely padló, valamint padlóba rejtett futotestekkel lett megoldva. A hálószoba és a nappali klímaberendezéssel rendelkezik.A tetokert egyedi tervezésu és automata öntözorendszerrel van felszerelve.A lakáshoz extra méretu teremgarázs beálló, valamint a garázs mellett egy 10 m2 alapterületu zárható tároló található.A házban élelmiszerbolt, gyógyszertár fitneszterem és mosoda van. 5 perces sétával 5 étterem érheto el és az ALLE bevásárlóközpont 1 villamosmegálló, vagy 10 perc sétával könnyedén elérheto.Kérem, hogy ingatlanközvetítok kíméljenek.","újszeru","2011","luxus","nincs megadva","7","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","30 E Ft/hó","nincs megadva","külön és egyben is","nincs megadva","panorámás","186 m²","igen","legfelso emelet, nem tetotéri","teremgarázs hely - megvásárolható","7 000 000 Ft",NA
"2","Nyíregyháza, Belváros","31,9 millió Ft","76 m²","2","Nyíregyháza Belvárosában TELJES KÖRUEN FELÚJÍTOTT szigetelt panel falazatú társasházban 2 SZOBA NAPPALIS 76 m2-es 3 db erkélyes, liftes lakás eladó. Futése mért távho, laminált padló és járólap burkolatú, muanyag nyílászárókkal szerelt. A lakás tágas, világos dél-nyugat fekvésu. Ha felkeltette érdeklodését keressen bizalommal.Az ingatlan azonosítója: 41792","felújított","1950 és 1980 között","nincs megadva","nincs megadva","10","több mint 10","van","nincs megadva","távfutés","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","panorámás","nincs megadva","nincs megadva","nincs megadva","utca, közterület",NA,"nincs megadva"
"3","VIII. kerület, Illés utca","20,9 millió Ft","41 m²","1 + 1 fél","Azonosító: KI-VIII-396Budapest VIII. kerület Illés utcában, téglalakás eladó.Rohamosan fejlodo Józsefváros, Füvészkert szomszédságában, tulajdoni lap szerint 28m2-es, egy szoba plusz hálós ingatlan várja új tulajdonosát.A részben felújított lakásban, víz villanyvezetékeket kicserélték, új ho és hangszigetelt nyílászárók építettek be. Konyhájába új konyhabútor került beépítésre, fürdojében zuhanyzót alakítottak ki.Jelenleg bérlok lakják szívesen maradnak is.Közös költsége 10 000Ft.   Azon kedves ügyfelek, akik általunk találják meg leendo otthonukat, az ügyvédünk által szerkesztett adásvételi szerzodés díjából kedvezményben részesülnek!Felmerülo kérdéseire szívesen válaszolok. Hívjon!Mobil: +További ajánlataim:","jó állapotú","nincs megadva","összkomfortos","nincs megadva","földszint","2","nincs megadva","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","udvari","nincs megadva","nincs megadva","nincs megadva","utca, közterület - fizetos övezet",NA,NA
"4","Vác, Tabán utca","48,5 millió Ft","62 m²","2","Eladóvá vált Vácon a Tabán utcában, újonnan épült társasház, második emeletén lévo  bruttó 62 nm –es tetotéri, Dunai panorámás lakás. A társasház 2020-ban épült, az átadás jelenleg folyamatban van. A fal szerkezete ytongból készült,  15 cm-s hoszigeteléssel. Magas minoségu, hoszigetelt üveggel ellátott fa nyílászárók kerültek beépítésre.  Elektromos, távirányítós redonnyel felszereltek. A futésrol valamint a meleg vízellátásról kondenzációs kazán gondoskodik, a ho leadás a padlón keresztül történik. Külön méroórák kerültek kialakításra. A lakásban található egy amerikai konyhás nappali, egy hálószoba, valamint egy zuhanyzós fürdoszoba.A konyhában egyedi tervezésu konyhabútor került beépítésre. A fürdoszoba egyedi burkolatokkal, törölközoszárítós radiátorral, tükörvilágítással ellátott.  A konyhában elhelyezett tetoerkélyen keresztül, csodás Dunai panorámában gyönyörködhetünk. A fobejárat, valamint a bejárati ajtók elektromos kártyás beléptetéssel muködnek. Az egész kivitelezést átgondolt tervezés, valamint magas minoségu anyagok felhasználása jellemzik.Igény szerint lehetoség van autóbeálló vásárlásra is, melynek ára 5.000.000 Ft.Jelenleg a lakásban bérlo lakik, 2022. februárig szóló szerzodéssel. Befektetésnek is kiváló.","újszeru","2020","összkomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (cirko), padlófutés","van","15 E Ft/hó","nem","egy helyiségben","délnyugat","panorámás","nincs megadva","nem","tetotéri","teremgarázs hely - megvásárolható","4 000 000 Ft",NA
"5","Vác, Tabán utca","48,5 millió Ft","47 m²","2","Eladóvá vált Vácon a Tabán utcában, újonnan épült társasház, elso emeletén lévo 47 nm lakótérrel, valamint 8,5 nm erkéllyel rendelkezo Dunai panorámás lakás. A társasház 2020-ban épült. A fal szerkezete ytongból készült,  15 cm-s hoszigeteléssel. Magas minoségu, hoszigetelt üveggel ellátott fa nyílászárók kerültek beépítésre.  Elektromos, távirányítós redonnyel felszereltek. A futésrol valamint a meleg vízellátásról kondenzációs kazán gondoskodik, a ho leadás a padlón keresztül történik. Külön méroórák kerültek kialakításra. A lakásban található egy amerikai konyhás nappali, egy hálószoba, valamint egy kádas fürdoszoba, illetve egy 8,5 nm-es erkély.A konyhában egyedi tervezésu konyhabútor került beépítésre. A fürdoszoba egyedi burkolatokkal, akril káddal, törölközoszárítós radiátorral, tükörvilágítással ellátott. A hálószobából, a konyhából, valamint az erkélyrol csodás Dunai panorámában gyönyörködhetünk. A fobejárat, valamint a bejárati ajtók elektromos kártyás beléptetéssel muködnek. Az egész kivitelezést átgondolt tervezés, valamint magas minoségu anyagok felhasználása jellemzik.Igény szerint lehetoség van autóbeálló vásárlásra is, melynek ára 5.000.000 Ft.A lakásban jelenleg bérlo lakik, 2022. februárig szóló szerzodéssel. Befektetésnek is kiváló.","újszeru","2020","összkomfortos","nincs megadva","1","2","nincs","3 m-nél alacsonyabb","padlófutés","van","15 E Ft/hó","nem","egy helyiségben","nyugat","panorámás","8 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","5 000 000 Ft",NA
"6","IV. kerület, Dessewffy utca","52,9 millió Ft","60 m²","2","Tulajdonosként hírdetem:Újpest-Kertváros egyik legfrekventáltabb utcájában - Dessewffy utcában – levo 4 lakásos társasházban (nagy családi ház) eladóvá vált szeretett észak-nyugati tájolású lakásunk. Mivel nonek a gyerekek, nagyobb lakásra van szükségünk.A lakás a maga nemében egyedülálló, mivel a 60 négyzetméteres lakáshoz 57 négyzetméteres terasz tartozik és a 150 négyzetméteres közös kertet is jól ki lehet használni. (Ebben a pandémiás helyzetben - amikor kevésbé tanácsos a közösségi játszóterek látogatása – ki ne örülne egy saját, privát játszótérnek.) A padlás beépítheto jelen jogszabályok szerint, a társasház engedélye kell hozzá. A lakás feletti részt biztosan engedélyezik. A padlás belmagassága 5 méter!Paraméterek:- 34 nm-es amerikai konyhás nappali modern konyhai berendezésekkel, programozható különálló padlófutéssel, nappaliban házimozi elokészítéssel- 12 nm-es tágas szoba-  3 nm-es bepolcozott, jól kihasználható kamra- 5 nm-es fürdoszoba, programozható különálló padlófutéssel, fugákban található egyedülálló led hangulatvilágítással, igényes bútorokkal- 3,5 nm-es wc, ami a fürdoszobából nyílik- 3 nm-es eloszoba, egyedileg beépített fa bútorral, videó kaputelefonnal, riasztóval- 60 nm-es terasz prémium (10 év garanciás) tuzálló, vízelvezetos mufuvel. A teraszon külön csap is van, és az áram is ki van vezetve (konnektor van). Akár be is fedheto, bútorozható stb., nagy fantázia van benne. Mi sok összejövetelt tartottunk itt.- 8 nm-es bepolcozott tároló a pincében, mely a lakáshoz tartozik- A kert közös használatú, melyet mi a gyerekekkel sokszor használunk. (Csúszda, homokozó, hinta stb.)- Másokat nem akadályozva a közös területre autóval be lehet állni.A lakásnak gáz futése van, modern Bosch gázkazánnal, aminek minden fo alkatrésze az idei évben ki lett cserélve.A lakás a nyílászárók kivételével teljesen fel lett újítva, át lett alakítva 2013-ban. (víz-gáz-villanyvezeték csere is volt). Minden helyiségben kiváló minoségu bútorok, csempék találhatóak. A házhoz tartozó fo víz- és gázvezeték cseréje 2019-ben és 2020-ban történt. 300 méteres sugarú körben található:- szakrendelo (SZTK)- 2 gyógyszertár- Rákospalota-Újpest vasútállomás, ahonnan a Nyugati Pu. 10 perc alatt vonattal elérheto. Mi sokszor így megyünk be a Nyugatihoz. Ezen kívül a jövoben itt lesz a meghosszabbított M3-as metrónak a megállója, persze ha egyszer elkészül.- 12-es 14-es villamos a Lehel térig közlekedik, - Újpest-Központ, M3-as metró 3 megállónyira /5 percre van  (a háztól maximum 20 perc a belváros tömegközlekedéssel, 15 perc kocsival)- 20E busz a Keleti Pályaudvarra megy- több Spar, Obi, Jysk, Pepco, Rossmann, LIDL, Stop-ShopÖsszefoglalva: Ebben a lakásban megtalálható mindaz, ami egy kertes házban elony, van saját kertje az embernek. Effektíve ez egy nagy családi ház, nagyon jó lakóközöséggel, a ház terhei viszont közös költség formájában (12.000,- Ft/hó) megoszlanak. ( A teljes rezsi díj- a közös költséggel együtt-30.000 Ft.)Így családi házban lakik az ember, negyed költséggel. Anno mi is ezért választottuk. Tavaly, amikor sajnos az életünk részévé vált a Covid, sokan elkezdtek kertes családi házat keresni, kertvárosi övezetekben, ahol minden egy helyen megtalálható. Nálunk mindez megvan! A belváros közelsége nagyon nagy elony, nem kell sokat „befelé utazni”. Bevásárlás és közlekedés szempontjából is kiemelkedo adottságokkal rendelkezik az ingatlan. Mi személy szerint ilyen eladó ingatlanról a környéken nem tudunk, ahol a lakáshoz ilyen nagy terasz, kert, pince is tartozik, nem mellesleg nagyon csendes és a padlás is beépítheto. A madárcsicsergésen kívül mást nem nagyon hallani.Videó is készült a lakásunkról, melynek linkjét el tudom küldeni komoly érdeklodonek.Ingatlanosok csak akkor hívjanak, ha meg akarják venni a lakást, ami befektetésnek is ideális. :-)A cserétol sem zárkózunk el. Ha Önnek Újpesten egy minimum 4 szobás, 2 fürdoszobás, kertkapcsolatos lakása / háza van és kisebb ingatlanba költözne, akkor egyeztessünk. Mindenkinek ez lenne a legegyszerubb megoldás.Lakás ára: 52,9 millió forintTovábbi kérdés esetén állok szíves rendelkezésükre!Köszönöm szépen, hogy végigolvasta!További szép napot kívánok!","felújított","1950 és 1980 között","összkomfortos","nincs megadva","1","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs","30 E Ft/hó","nem","külön helyiségben","északnyugat","kertre néz","60 m²","igen","legfelso emelet, nem tetotéri","udvari beálló",NA,NA
"7","Vác, Tabán utca","43 millió Ft","40 m²","2","Eladóvá vált Vácon a Tabán utcában, újonnan épült társasház, elso emeletén lévo 40 nm-es Dunai panorámás lakás. A társasház 2020-ban épült, az átadás jelenleg folyamatban van. A fal szerkezete ytongból készült,  15 cm-s hoszigeteléssel. Magas minoségu, hoszigetelt üveggel ellátott fa nyílászárók kerültek beépítésre.  Elektromos, távirányítós redonnyel felszereltek. A futésrol valamint a meleg vízellátásról kondenzációs kazán gondoskodik, a ho leadás a padlón keresztül történik. Külön méroórák kerültek kialakításra. A lakásban található egy amerikai konyhás nappali, egy hálószoba, valamint egy kádas fürdoszoba.A konyhában egyedi tervezésu konyhabútor került beépítésre. A fürdoszoba egyedi burkolatokkal, akril káddal, törölközoszárítós radiátorral, tükörvilágítással ellátott. A hálószobából gyönyöru Dunai panorámában gyönyörködhetünk. A fobejárat, valamint a bejárati ajtók elektromos kártyás beléptetéssel muködnek. Az egész kivitelezést átgondolt tervezés, valamint magas minoségu anyagok felhasználása jellemzik.Igény szerint lehetoség van autóbeálló vásárlásra is, melynek ára 5.000.000 Ft.A lakásban jelenleg bérlo lakik, 2022. februárig szóló szerzodéssel.","újszeru","2020","összkomfortos","nincs megadva","1","2","nincs","3 m-nél alacsonyabb","padlófutés","van","15 E Ft/hó","nem","egy helyiségben","kelet","panorámás","nincs megadva","nem","nem tetotéri","teremgarázs hely - megvásárolható","5 000 000 Ft",NA
"8","Tárnok, Pest megye","61,9 millió Ft","92 m²","4","2021. októbertol ZÖLD Hitel minimum ""BB"" energetikai besorolású ingatlan esetén. Max. hitel összeg 70 M Ft, fix 2,5 % kamattal 25 éves futamidovel, CSOK mellé igényelheto hitel 0 % kamattal .Tárnokon eladó négy lakásos társasházban egy emeleti 92,8 m2-es új építésu tégla lakás saját telekrésszel. A telken egy épületben két földszinti és két emeleti lakás található. A telek összközmuves, teljesen körbe van kerítve. Minden lakáshoz két-két parkoló hely kerül kialakításra. A lakásokban hoszivattyús futés kerül kialakításra az egész lakásban padlófutéssel. A nappaliban klíma kerül felszerelésre. Helyiséglista:- Eloszoba : 3.66 nm- Wc: 1.60 nm-Közlekedo: 3,54 nm-Konyha: 6.56 nm-Nappali-Étkezo: 30,61 nm-Fürdoszoba: 8,59 nm-Szoba: 9.68 nm-Szoba: 10.64 nm-Szoba: 12.71 nm-Erkély: 5,64 nm-Erkély: 4,78 nmSZERKEZETEK LEÍRÁSA:A tervezett épület monolit vasbeton sávalapokra terhelo, teherhordó falas (vonal-menti megtámasztású) alapvetoen hossz-fofalas (haránt fofalakkal merevített) tartószerkezeti rendszerben készül.Alapozás: monolit VASBETON SÁVALAP, 50X80 CM keresztmetszeti mérettel,- 1,34 M alapozási síkkal. Vasalás 2X4 szál 16 MM betonacél fovas és 10/30 CM kengyel elhelyezéssel, (betonminoség legalább: C25/30-XC1-32-F3, betonfedés 5,0 cm, betonacél: B 500(B 60.50) vagy jobb legyen egységesen) készüljön.Lábazati falak: 10 CM vastagságú monolit vasbeton lemezzel összefogott ZS30típusú kibetonozott zsaluko 30/50/25 cm C20/25-X0-24-F3 minoségu kavicsbetonból készített kitölto betonnal, soronként 2SZÁL, 10 MM méretu, B 500 minoségu betonacél elhelyezéssel.Fofalak: POROTHERM N+F, vagy ezzel egyenértéku teherbírással rendelkezo, kézi falazóblokk, 30 CM szerkezeti vastagsággal.Födémszerkezet: SZINTEK KÖZÖTT: Eloregyártott E7 JELU feszített vasbeton gerendákból és EB 60/19 jelu beton béléstestekbol kialakított födém,gyártó által eloírt kiegészíto vasalással. A betonminoség legalább: C25/30-XC1, XF1-16-F3, a betonfedés 2,0 cm, betonacél:B 500 (B 60.50) vagy jobb legyen egységesen. A födémszerkezet merevítése (illetve lokális erosítése) érdekében, rejtett gerendák, illetve felülbordák kialakítására is sor kerülhet.ZÁRÓFÖDÉM: ragasztott hossztoldott (KVH) fenyo gerendákból,80/240 MM keresztmetszeti méretben, építész terv szerinti rétegrenddel kialakított, FAFÖDÉM, felso oldalon OSB, építész tervszerint kialakított rétegrenddel.Homlokzatszigetelés: Extrudált polisztirol hoszigetelo lemez 15 cm vtg-ban, ragasztásos és mechanikairögzítéssel.Nyomószilárdság: 100 kPaHovezetési tényezo: 0,038 W/mKTuzvédelmi osztály: B1Lábazati hoszigetelés: Extrudált polisztirol hoszigetelo lemez 10 cm vtg-ban.Nyomószilárdság: 300 kPaHovezetési tényezo: 0,035 W/mKTuzvédelmi osztály: nehezen égheto B1Koszorú elotti hoszigetelés: Extrudált polisztirol hoszigetelo lemez 5 cm vtg-banNyomószilárdság: 300 kPaHovezetési tényezo: 0,035 W/mKTuzvédelmi osztály: nehezen égheto B1Zárófödémek hoszigetelése: Üveggyapot hoszigetelés 30 cm vtg-banHovezetési tényezo: 0,035 WmKTuzvédelmi osztály: A1Ablakok: Muanyag ablak, víztiszta 3 rtg-u hoszigetelo üvegezéssel, résszellozovel vagy az ablakszerkezet szárnyában elhelyezett szellozovel ellátottHoátbocsájtási tényezoje U= 1,0 W/m2kHangszigetelés 28 dBCserépfedés: KerámiacserépTömeg: 2,0 kg/dbTeherbíró képesség: Fmin legalább: 1200 NÁtfedés min. 8 cmVízzáróság: min. 20 óraFagyállóság: Fmin legalább: 1200 NTuzvédelmi osztály: A1Teherhordó falazatok: Téglablokk tartófalak Eurocode 6 és 8 szerint, MSZ EN 998-2:2003szerinti habarccsal. A külso homlokzati fofalak 30 cm vastagPOROTHERM 30 N+F blokktéglával készülnek, normál falazóhabarccsal falazva.Szigetelések: A külso falra 15 cm-es EPS hoszigetelés kerül. A talajon fekvo padlóba10 cm. Austrotherm hoszigetelés, a padlásfödémre 15 + 15 cm. szálashoszigetelés kerül.Nyílászárók: Az ablakok fehér hohídmentes–hoszigetelt 4-12-4 üvegezésu fa vagymuanyag nyílászárók. A fehér bejárati ajtóknak 5 ponton záródó acél tokkal és biztonsági vasalással szerelt ajtó. Abeltéri ajtók utólag szerelheto tokkal.Burkolatok 3000 Ft/m2 árig választhatóak.Céges kivitelezés, államilag támogatott hitel és 10 M CSOK felveheto. Elso CSOK igénylés esetén 5 % ÁFA visszaigényelheto, a teljes vételár illetékmentes. Várható átadás 2021. év vége. 10 % foglalóval és 10 % vételár eloleggel megvásárolható, további fizetési ütemezés a kivitelezovel egyeztetett formában.Hivatkozási szám: 5235Ingyenes hitel és CSOK ügyintézés nem csak nálunk vásárolt ingatlanokra.Még több új építésu ingatlan az egy sorral lejjebb linken.","nincs megadva","2021","összkomfortos","BB","1","2","nincs","3 m-nél alacsonyabb","hoszivattyú, padlófutés","van","nincs megadva","nem","külön helyiségben","nincs megadva","utcai","10 m²","nem","nem tetotéri","udvari beálló - benne van az árban",NA,NA
"9","Tárnok, Pest megye","64,9 millió Ft","97 m²","4","2021. októbertol ZÖLD Hitel minimum ""BB"" energetikai besorolású ingatlan esetén. Max. hitel összeg 70 M Ft, fix 2,5 % kamattal 25 éves futamidovel, CSOK mellé igényelheto hitel 0 % kamattal .Tárnokon eladó négy lakásos társasházban egy földszinti 97,55 m2-es új építésu tégla lakás saját telekrésszel. A telken egy épületben két földszinti és két emeleti lakás található. A telek összközmuves, teljesen körbe van kerítve. Minden lakáshoz két-két parkoló hely kerül kialakításra. A lakásokban hoszivattyús futés kerül kialakításra az egész lakásban padlófutéssel. A nappaliban klíma kerül felszerelésre. Helyiséglista:- Eloszoba : 3.66 nm- Wc: 1.60 nm-Közlekedo: 3.54 nm-Konyha: 6.56 nm-Nappali-Étkezo: 30.78 nm-Fürdoszoba: 8.59 nm-Szoba: 9.56 nm-Szoba: 10.64 nm-Szoba: 12.59 nm-Terasz: 10.16 nm-Terasz: 9.90 nmSZERKEZETEK LEÍRÁSA:A tervezett épület monolit vasbeton sávalapokra terhelo, teherhordó falas (vonal-menti megtámasztású) alapvetoen hossz-fofalas (haránt fofalakkal merevített) tartószerkezeti rendszerben készül.Alapozás: monolit VASBETON SÁVALAP, 50X80 CM keresztmetszeti mérettel,- 1,34 M alapozási síkkal. Vasalás 2X4 szál 16 MM betonacél fovas és 10/30 CM kengyel elhelyezéssel, (betonminoség legalább: C25/30-XC1-32-F3, betonfedés 5,0 cm, betonacél: B 500(B 60.50) vagy jobb legyen egységesen) készüljön.Lábazati falak: 10 CM vastagságú monolit vasbeton lemezzel összefogott ZS30típusú kibetonozott zsaluko 30/50/25 cm C20/25-X0-24-F3 minoségu kavicsbetonból készített kitölto betonnal, soronként 2SZÁL, 10 MM méretu, B 500 minoségu betonacél elhelyezéssel.Fofalak: POROTHERM N+F, vagy ezzel egyenértéku teherbírással rendelkezo, kézi falazóblokk, 30 CM szerkezeti vastagsággal.Födémszerkezet: SZINTEK KÖZÖTT: Eloregyártott E7 JELU feszített vasbeton gerendákból és EB 60/19 jelu beton béléstestekbol kialakított födém,gyártó által eloírt kiegészíto vasalással. A betonminoség legalább: C25/30-XC1, XF1-16-F3, a betonfedés 2,0 cm, betonacél:B 500 (B 60.50) vagy jobb legyen egységesen. A födémszerkezet merevítése (illetve lokális erosítése) érdekében, rejtett gerendák, illetve felülbordák kialakítására is sor kerülhet.ZÁRÓFÖDÉM: ragasztott hossztoldott (KVH) fenyo gerendákból,80/240 MM keresztmetszeti méretben, építész terv szerinti rétegrenddel kialakított, FAFÖDÉM, felso oldalon OSB, építész tervszerint kialakított rétegrenddel.Homlokzatszigetelés: Extrudált polisztirol hoszigetelo lemez 15 cm vtg-ban, ragasztásos és mechanikairögzítéssel.Nyomószilárdság: 100 kPaHovezetési tényezo: 0,038 W/mKTuzvédelmi osztály: B1Lábazati hoszigetelés: Extrudált polisztirol hoszigetelo lemez 10 cm vtg-ban.Nyomószilárdság: 300 kPaHovezetési tényezo: 0,035 W/mKTuzvédelmi osztály: nehezen égheto B1Koszorú elotti hoszigetelés: Extrudált polisztirol hoszigetelo lemez 5 cm vtg-banNyomószilárdság: 300 kPaHovezetési tényezo: 0,035 W/mKTuzvédelmi osztály: nehezen égheto B1Zárófödémek hoszigetelése: Üveggyapot hoszigetelés 30 cm vtg-banHovezetési tényezo: 0,035 WmKTuzvédelmi osztály: A1Ablakok: Muanyag ablak, víztiszta 3 rtg-u hoszigetelo üvegezéssel, résszellozovel vagy az ablakszerkezet szárnyában elhelyezett szellozovel ellátottHoátbocsájtási tényezoje U= 1,0 W/m2kHangszigetelés 28 dBCserépfedés: KerámiacserépTömeg: 2,0 kg/dbTeherbíró képesség: Fmin legalább: 1200 NÁtfedés min. 8 cmVízzáróság: min. 20 óraFagyállóság: Fmin legalább: 1200 NTuzvédelmi osztály: A1Teherhordó falazatok: Téglablokk tartófalak Eurocode 6 és 8 szerint, MSZ EN 998-2:2003szerinti habarccsal. A külso homlokzati fofalak 30 cm vastagPOROTHERM 30 N+F blokktéglával készülnek, normál falazóhabarccsal falazva.Szigetelések: A külso falra 15 cm-es EPS hoszigetelés kerül. A talajon fekvo padlóba10 cm. Austrotherm hoszigetelés, a padlásfödémre 15 + 15 cm. szálashoszigetelés kerül.Nyílászárók: Az ablakok fehér hohídmentes–hoszigetelt 4-12-4 üvegezésu fa vagymuanyag nyílászárók. A fehér bejárati ajtóknak 5 ponton záródó acél tokkal és biztonsági vasalással szerelt ajtó. Abeltéri ajtók utólag szerelheto tokkal.Burkolatok 3000 Ft/m2 árig választhatóak.Céges kivitelezés, államilag támogatott hitel és 10 M CSOK felveheto. Elso CSOK igénylés esetén 5 % ÁFA visszaigényelheto, a teljes vételár illetékmentes. Várható átadás 2021. év vége. 10 % foglalóval és 10 % vételár eloleggel megvásárolható, további fizetési ütemezés a kivitelezovel egyeztetett formában.Hivatkozási szám: 5233Ingyenes hitel és CSOK ügyintézés nem csak nálunk vásárolt ingatlanokra.Még több új építésu ingatlan az egy sorral lejjebb linken.","nincs megadva","2021","összkomfortos","BB","földszint","2","nincs","3 m-nél alacsonyabb","hoszivattyú, padlófutés","van","nincs megadva","nem","külön helyiségben","nincs megadva","utcai","20 m²","nincs megadva","nincs megadva","udvari beálló - benne van az árban",NA,NA
"10","XX. kerület, Baross utca","26 millió Ft","56 m²","2 + 1 fél","Kituno lehetoség megvalósítani álmai lakását, akár az állami támogatás igénybevételével! Jó szívvel ajánlom eladó sorba került, szerzodés kötést és a vételár kiegyenlítését követoen azonnal birtokba veheto felújítandó állapotú lakásomat Pesterzsébet központjában.A lakás az alaprajz szerinti elosztású, két és fél szobás, 56 m2 alapterületu és földszinti közös tároló rész tartozik hozzá. Jelenleg gázkonvektor futéses, a melegvízrol átfolyós vízmelegíto gondoskodik. A közös költség 10-12 ezer forint között van, függoen attól, hogy hány fo lakik az ingatlanban. Önálló víz, gáz és villanyórák tartoznak a lakáshoz. Ideális választás fiatal párnak, kis családnak. Közlekedés és infrastruktúra szempontból tökéletes elhelyezkedés jellemzi, bármilyen közlekedési módot preferálunk. A Csili Muvelodési központ szomszédságában, négy emeletes csúsztatott zsalus ház második emeletén található. Több buszjárattal a KÖKI, a Határ út, az M3-as metró, a Boráros-tér és a belváros gyorsan elérheto, a H6-os HÉV és a vonatmegálló rövid sétával elérheto.A közelben minden sétatávolságra megtalálható: posta, bankok, orvosi rendelo, óvoda, iskola, boltok.A ház mellett játszótér, és számtalan parkolóhely van kialakítva. A lakóközösség kedves, kulturált és problémáktól mentes.Amennyiben hirdetésem felkeltette figyelmét, keressen bizalommal!Ingatlanosok kérem NE keressenek!!","felújítandó","nincs megadva","nincs megadva","nincs megadva","2","4","nincs","nincs megadva","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,"utca, közterület - ingyenes",NA,NA
