"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Panelprogram","Parkolás","Parkolóhely ára"
"1","Pécs, Megyeri tér","22,5 millió Ft","37 m²","1 + 1 fél","Eladó Pécs Egyetemváros legkedveltebb részén egy igényesen felújított 1,5 szobás klimatizált lakás. A nyílászárók újra lettek cserélve, a fürdoszoba teljes felújításon esett át. A lakásban minden új, az irányár tartalmazza a berendezést is. ( bútorok, háztartási gépek)Befektetok figyelmébe kifejezetten ajánlom, remek megtérülessel azonnal kiadható az ingatlan.","felújított","1981 és 2000 között","összkomfortos","nincs megadva","4","4","nincs megadva","3 m-nél alacsonyabb","távfutés egyedi méréssel","van","15 E Ft/hó","nincs megadva","egy helyiségben","dél","utcai","nincs megadva","nincs megadva","nincs megadva","részt vett","utca, közterület",NA
"2","IX. kerület, Középso-Ferencváros","70,99 millió Ft","54 m²","2","20% ÖNERO, AZ INGATLAN HASZNÁLATBAVÉTELI ENGEDÉLYEKOR KELL A FENNMARADÓ 80%-OT FIZETNI. KITUNO BEFEKTETÉS, ZÖLD HITEL! MINIMÁLIS REZSI!A VÉTELÁR TARTALMAZZA AZ ÜGYVÉDI DÍJAT!5% Áfás projekt! CSOK, babaváró hitel, Kedvezo hitelkonstrukciók, állami támogatások! Zöld terasz a harmadik és a hetedik emeleten, közös kert!KÉRJ AJÁNLATOT! 66 különbözo lakástípus!Budapesti ingatlaniroda eladásra kínálja 2240 referenciaszámú projekt lakásait. Az építkezés a IX.-dik kerület folyamatosan megújuló kituno közlekedéssel rendelkezo Középso- Ferencváros rehabilitációs városrészén zajlik. A Duna parttól pár percre!ÁTADÁS: 2023. ELSO- MÁSODIK NEGYEDÉVA512-ES LAKÁS: Amerikai konyhás nappali- étkezos, északi fekvésu, ötödik emeleti, 10nm-es hálószobával, 29nm-es terasszal eladó, utcára nézo kilátással.(Nappali: 19,82nm, Étkezo: 6,46nm, Konyha: 4,95nm, Háló: 9,79nm, Fürdo: 4,63nm, Gardrób: 3,59nm, Eloszoba: 4,59nm, Terasz: 29,08nm).ÖSSZES NETTÓ ALAPTERÜLET: 53,82NMTOVÁBBI LAKÁSOK: 66 FÉLE LAKÁSTÍPUS ÉRHETO EL! KÉRDEZZ BÁTRAN, TALÁLUNK AZ IGÉNYEIDNEK MEGFELELO LAKÁST.Közeli zöldövezet és belso kert, tömegközlekedési csomópont, megfelelo méretu és elosztású fényes lakások, geotermikus energia és minimális rezsi,100% környezetbarát.HOSZIVATTYÚS RENDSZER SZOLGÁLTATJA A MENNYEZETI FUTÉS-HUTÉST, KLÍMA BESZERELÉSÉRE NINCS SZÜKSÉG.M3-as metró Nagyvárad téri megállójától, a Duna felol pedig HÉV-vel, illetve a Keleti-pályaudvar is egy villamosvonalon elérheto. Közelben a SOTE, az NKE, a BME és az ELTE. A közeli Népliget és a Duna-part kellemes sportolási és rekreációs lehetoséget nyújt.450 férohelyes teremgarázs! ELEKTROMOS JÁRMUVEDET GOND NÉLKÜL FELTÖLTHETED A SAJÁT PARKOLÓHELYÉN.OKOS OTTHON RENDSZER: Vezérelj mindent a telefonod segítségével!DIGITÁLIS BIZTONSÁG: 24/7 állandó megfigyelés alatt állnak. A belépést digitális azonosító segíti.KÖRNYEZETTUDATOS ENERGIA: a geotermikus energiának köszönhetoen a leheto legalacsonyabb rezsiköltséged.Az épület muszaki tartalma a személyes prezentáción","új építésu","2021","összkomfortos","nincs megadva","5","9","van","nincs megadva","megújuló energia","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","29 m²","nincs megadva","nem tetotéri",NA,"teremgarázs hely - megvásárolható",NA
"3","VI. kerület, Székely Bertalan utca","36,9 millió Ft","51 m²","1 + 1 fél","VI. kerület kedvelt részén, a Kodály körönd közelében, a Székely Bertalan utcában eladó egy 51 nm + 9 nm-es galériás, földszinti, polgári lakás.A jól karbantartott konvektoros futésu 1,5 szobás ingatlanhoz egy 4 nm-es saját tároló tartozik.A közüzemi díjak egyedi méroóra alapján kerülnek elszámolásra, a közös költség 9.000 forint, amely tartalmazza a ház felújítási alapját, szemétszállítást, valamint a takarítást. A ház tervezi a külso homlokzati felújítását tetotér beépítéssel egybekötve, melyhez a kivitelezovel a szerzodéskötés folyamatban. E felújításhoz kapcsolódóan a lakáshoz kialakítható egy saját használatú udvarrész.Az ingatlan remek infrastruktúrával rendelkezik, a közelében megtalálhatóak bankok, gyógyszertárak, éttermek, iskola, óvoda, kulturális és szórakozási lehetoségek egyaránt, valamint tömegközlekedés szempontjából is kiváló. Az ingatlan tökéletes megoldás befektetoknek, de fiatal párok számára is remek lehetoség!Az ingatlant jelenleg bérlok lakják, felmondási idejük 2 hónap.Referencia szám: M205658","közepes állapotú","1950 elott","összkomfortos","nincs megadva","földszint","nincs megadva","van","nincs megadva","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","udvari","nincs megadva","nincs megadva","nem tetotéri",NA,"nincs megadva",NA
"4","XII. kerület, Hajnóczy József utca","44,9 millió Ft","54 m²","2","XII. kerület, Krisztinaváros közkedvelt részén a Hajnóczy József utcában, jó közlekedéssel és ellátottsággal, 54nm, jelenleg egy légteru, mely igény esetén 2 szobássá alakítható, 4. emeleti, lift nélküli! házban, teljes köruen felújított, cirkó futésu, vízórás, alacsony rezsiköltségu, hangulatos, napfényes, világos, tehermentes téglaépítésu lakás, rugalmas költözéssel eladó.A muszaki és esztétikai felújítás során kicserélésre kerültek a villanyvezetékek, vízvezetékek, nyílászárók, burkolatok, konyha, fürdoszoba, cirkó, valamint a kémény bélelése is megtörtént.A lakás befektetésnek is kiválóan alkalmas, könnyen kiadható!Érdemes megnézni, hívjon bizalommal, akár hétvégén is!Irányár: 44.900.000Ft","jó állapotú","1950 elott","összkomfortos","nincs megadva","4","5","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","udvari","nincs megadva","nem","nem tetotéri",NA,"utca, közterület",NA
"5","VIII. kerület, Nap utca 3.","28,5 millió Ft","30 m²","1","Garantált FIX ÁRON új építésu lakások!!!!Eladó Budapesten a VIII. kerület Corvin negyedben, a 3 perc sétányira a Corvin plázától, 30 nm-es, 1 szobás, lakás.A kis lakásszámú polgári épület tetejére teljes szintráépítésre kerül sor. Az építkezés és a ház teljes felújítása most kezdodik el. 7 lakást alakítottak ki, 3-hoz tartozik erkély. 3 lakás az utcára, négy 30-45 nm közötti pedig a tágas belso kertre néz.Az épület mind muszakilag, mind esztétikailag megújul és lift kerül az ingatlanba..A burkolatok igény szerint választhatók, a vételár kifizetése ütemezés szerint történik, az adás-vételt projekt ügyvédje bonyolítja.Átadás 2022. oszére várható..A hely infrastruktúrája kiváló, metró, villamos és buszok. A környéken egyetemek, kulturális ésszórakozási lehetoségek tömkelege, a Corvin mozi 3 perc sétára található.Befektetés céljára is ajánlom az ingatlanokat.Bovebb információért hívjanak bizalommal, akár hétvégén is!","új építésu","2022","összkomfortos","nincs megadva","4","4","van","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","15 E Ft/hó","nincs megadva","nincs megadva","délkelet","kertre néz","nincs megadva","nincs megadva","nem tetotéri",NA,"utca, közterület",NA
"6","IX. kerület, Lónyay utca","72,9 millió Ft","100 m²","3","Azonosító: BL-IX-192Budapest IX. kerületében a Lónyay utcában 100 nm-es nagypolgári, erkélyes tégla lakás eladó.A gyönyöruen karbantartott társasház 1. emeletén lévo ingatlan egy tágas eloszobából, konyhából, tágas kamrából, kádas fürdoszobából, mosókonyhából, 3 nm-es erkélybol és három szobából áll. A szobák két oldalról is megközelíthetoek és igény esetén akár különválaszthatók. A belmagasság 3,8 m. Az ingatlan villanyvezetékei és gázcsövei felújításra kerültek, a konyhában padlófutés is ki lett alakítva. A lakás délnyugati fekvésének köszönhetoen világos és napfényes. A lakáshoz tartozik egy 8 nm-es külön zárható tároló! A házban lift is található. A közös költség 25000 Ft, mely tartalmazza a felújítási alapot, szemétszállítást, karbantartási munkálatokat.Közelben a Ráday utca, Bálna, Dunapart, Ferenc krt: 2,4,6 villamosok, éjszakai járatok. Azon kedves ügyfeleknek, akik általunk találják meg leendo otthonukat, az ügyvédünk által szerkesztett adásvételi szerzodés díjából kedvezményben részesülnek!Felmerülo kérdéseire szívesen válaszolok.","jó állapotú","1950 elott","összkomfortos","nincs megadva","1","5","van","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","délnyugat","utcai","3 m²","nem","nem tetotéri",NA,"utca, közterület",NA
"7","XV. kerület, Rákospalota","97 millió Ft","100 m²","3 + 1 fél","Újszeru, Penthouse jellegu, örökpanorámás 4 szobás, belso kétszintes lakás Zugló szomszédságában eladóMegvételre kínálok Pestújhely és Rákospalota határvonalán, Zuglóhoz igen közel, 3 lakásos tégla társasházban, 1. emeleti, belso kétszintes, minden irányban ablakos, világos, klimatizált, kiváló elosztású, korábban teljes köruen felújított, újszeru, igényesen berendezett, Penthouse jellegu, örökpanorámás, csendes, 30 nm-es teraszos, 3 egész és 1 fél szobás lakást, udvari fedett gépkocsi beállási lehetoséggel. A lakás akár teljes berendezéssel, bútorokkal együtt is megvásárolható.A ház 1968-ban épült, amely 2019-ben teljes visszabontás után, beton alapzattal, új betonfödém és tetoszerkezettel újult meg, külso homlokzati szigeteléssel. A belso lépcsoház folyamatosan tiszta és karbantartott.A lakást tulajdonosa a terek kreatív kialakításával nagyon tágassá és világossá tette, a bútorok egyedi kialakításával, a burkolatok használatával pedig egy nagyon barátságos, otthonos környezetet találunk.Muszaki állapot: a lakás újszeru állapotban van, a burkolatok, víz- és elektromos hálózat korszeru, NOBO norvég elektromos futopanelek gondoskodnak a melegrol, valamint a 3 klíma szintén a kellemes megfelelo hoérzetet biztosítja télen-nyáron. Igényes új bejárati ajtó, új muanyag ablakok, a nappalira hatalmas, faltól falig és mennyezetig éro tolóajtós nyílászáróval. A konyha még csak egy minimál stílust kapott, amit szépen be lehet rendezni gépesítéssel. A burkolatok kerámia és laminált parkettából készültek. A teraszon márvány hatású, kültéri nagyméretu kerámia burkolat található. A ház melletti gépkocsibehajtás akár több gépjármu számára tud biztonságos parkolást nyújtani, melynek végében a saját használatú fedett beálló található. A futés átalánydíja 16.000 Ft/hó. A belmagasság 2,7 m.Parkolás a ház elott is ingyenes.Közlekedés: elhelyezkedésébol eredoen gépkocsival könnyedén, és gyorsan megközelítheto az M3-as autópálya, valamint a tömegközlekedés is megoldott. Az 5-ös, 125-ös, 124-es, 224-es, 225-ös, 96-os, 196-os, 296-os busz is elérheto, a közelben van a 62, 62A, 69-es villamos megállója, Újpest Városközpont 15 percre, a belváros akár 15-20 perc alatt megközelítheto, valamint a 973-as éjszaki járat. Iskola, óvoda, vásárlási lehetoségek, orvos, patika, játszótér pár perc alatt elérheto, mind a közelben megtalálhatóak. A bevásárlást a Kolozsvári piac, SPAR, LIDL, kisboltok, az ügyintézést a nem messze lévo Pólus Center valamint az Ázsia Center segíti.Ajánlom az ingatlant nagyobb családoknak, igényeseknek, valamint mindenkinek, akinek fontos Zugló vagy a belváros közelsége, és mindenhová gyorsan eljuthat akár gépjármuvel, akár tömegközlekedéssel.Ezúton tájékoztatjuk, hogy Ön mint érdeklodo, a hirdetésben megjelölt telefonszám felhívásával hozzájárul személyes adatai – így különösen neve és telefonszáma -, a hirdetést feladó Szalay Referencia Kft. általi - biztonságos és körültekinto - kezeléséhez, nyilvántartásához. E körben, az alábbi linken megismerheti az adatkezelési tájékoztatót. – We hereby inform you that You as an interested party, by calling the phone number mentioned in the advertisement, contribute to be your personal data – especially your name and phone number – handled and recorded safe and circumspectively by Szalay Referencia Kft. as advertiser. Hereby, you can learn our Privacy Policy.Adatbázisunkban további több ezer ingatlanból választhat, hívjon bizalommal, hogy megtaláljuk a legmegfelelobbet!Hitelre van szüksége? Teljes köru és díjmentes hitel ügyintézéssel, biztosításkötéssel áll rendelkezésére szakérto kollégánk. Kérje személyre szabott ajánlatunkat!","újszeru","2019","duplakomfortos","nincs megadva","1","2","nincs","3 m-nél alacsonyabb","elektromos","van","nincs megadva","nem","külön és egyben is","délnyugat","panorámás","30 m²","nem","zárószint",NA,"udvari beálló - benne van az árban",NA
"8","XIII. kerület, Angyalföld - Loportárdulo","161,9 millió Ft","141 m²","5","Nagy terasszal a központban!Kiváló elhelyezkedéssel (M3-as metró, villamos, troli- és buszmegálló 5 perces sétatávolságra), parkokkal övezett környezetben, hatalmas nappali-konyha-étkezovel (közel 50nm), két fürdoszobával, mosókonyhával, csendes belso kertre nézo hálószobákkal vásárolhatja meg új lakását.Megújuló energia hasznosítása (Zöld Hielre alkalmas), okosotthonrendszer, közel 3000nm-es belso kert jellemzi az épületet.Várható átadás: 2022 III. negyedévTovábbi kérdéssel, hasonló lakással kapcsoaltban keressen bizalommal.","új építésu","2022","duplakomfortos","BB","7","7","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","igen","külön és egyben is","nyugat","kertre néz","83 m²","nincs megadva","nincs megadva",NA,"teremgarázs hely - megvásárolható",NA
"9","VII. kerület, Dob utca","64,9 millió Ft","55 m²","3","Belso 7. kerületi, Dob utcai, frissen és igényesen felújított, dupla komfortos, 1. emeleti, utcai lakás eladó! A futése inverteres (futo-huto) klímás és pluszban norvég paneles is, így kétféle elektromos rendszeru. Gáz szolgáltatás nincs a lakásban, így a tuzhely is elektromos.A lakás rövid távú kiadás engedéllyel rendelkezik, és a szomszéd lakással együtt is eladó, lévén, hogy egy nagy lakást választott ketté a tulajdonos.Mindkét lakás külön méroórákkal ellátott (áram és víz), így albetétesíthetok is. Jelenleg ügyvédi használati megosztással rendelkezik a két lakás.Mindkét fürdoszoba-WC zuhanyzós és a hálószobákból nyílnak.Megtekintése 1-2 nappal elore egyeztetve lehetséges.","felújított","1950 elott","duplakomfortos","nincs megadva","1","nincs megadva","nincs megadva","3 m-nél magasabb","elektromos","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északkelet","utcai","nincs megadva","nincs megadva","nem tetotéri",NA,"nincs megadva",NA
"10","XI. kerület, Madárhegy","167,9 millió Ft","117 m²","5","NAGYCSALÁDOSOK FIGYELEM!GYORSAN KÖLTÖZHETO MADÁRHEGYI ÚJ ÉPÍTÉSU LAKÁSOK!!!Tágas, nappali+4 szobás, dupla komfortos, kertkapcsolatos, 117 nm-es, földszinti lakás hatalmas /80 nm-es / terasszal, 180 nm-es kizárólagos használatú kertrésszel eladó 167,9 M Ft-ért.Az ingatlan egy 4 lakásos társasházban található Madárhegy közepén, gépkocsival és tömegközlekedéssel is ideálisan megközelítheto helyen.A lakás 4  hálószobából, két fürdoszobából valamint egy amerikai konyhás/étkezos hatalmas terasszal és kertkapcsolattal rendelkezo nappaliból áll. A fo hálószoba saját fürdoszobával rendelkezik. Az ingatlan egy 80 nm-es terasszal kapcsolódik a 180 nm-es, kizárólagos használatú kertrészhez, mely öntözorendszerrel kiépítve és füvesítve kerül átadásra. A tágas tereknek köszönhetoen medence illetve jakuzzi is könnyedén kialakítható.A lakás padlófutésérol és meleg víz ellátásáról cirkó kazán gondoskodik.A projekt muszaki tartalma magas minoségu burkolatokat és nyílászárókat tartalmaz.Extraként, a kulcsrakész állapotban átadásra kerülo lakásokat szúnyoghálóval kiegészült alumínium redonyökkel szerelik fel.A lakáshoz tartozó felszíni beálló + 8 nm-es tároló helyiség ára a lakás árán felül további 5,5 M Ft.Így az ingatlan teljes vételára: 173,4 M Ft.Átadás: 2022 I. negyedév","új építésu","2020","duplakomfortos","nincs megadva","földszint","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nem","külön és egyben is","délnyugat","panorámás","80 m²","igen","nem tetotéri",NA,"udvari beálló",NA
