"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","XIII. kerület, Mór utca","53 millió Ft","47 m²","1 + 2 fél","13. kerület frekventált részén eladó, egy 1+2 fél szobás, hatalmas erkélyes, újszeru, 5.emeleti tégla lakás!A környék:- Angyalföld közkedvelt részén, a Mór utcában található- Kiváló közlekedés, könnyu megközelíthetoség - 1,1M,41, villamosok, 20E,30,30A,32,105,178,230 - buszok és több éjszakai járat is séta távolságra.Az ingatlanról:- 2008- ban épült 6 emeletes tégla ház 5. emeletén helyezkedik el a lakás- Viszonylag alacsony lakóközösség - összesen 35 lakás- A fiatalos, összetartó közösségnek és a remek képviseletnek köszönhetoen jó anyagiakkal és megtakarítással is rendelkezik a ház- 2 hálószoba, amerikai konyhás nappali, fürdokádas fürdoszoba és egy 11 nm-es erkéllyel került kialakításra - eredeti alaprajz szerint egy hálószobás volt- Délnyugati tájolása miatt kifejezetten világos és napos lakás- Klímás, Futésérol egyedi méroórás központi futés gondoskodik, amit szint alig kell használni, mert télen nyáron kellemes ido van a lakásba- Alacsony rezsi költség - internettel, közös költséggel együtt körülbelül 32.000.-- Tároló és teremgarázs nem tartozik a lakáshoz, de parkoló mindig bérelheto a házban- Közös költsége: 15.000.- (takarítás, karbantartás, szemétszállítás, felújítási alap, biztosítás, megtakarítási alap)- Az ingatlan per és tehermentes, rövid határidovel birtokba veheto- Ajánlom fiataloknak, idoseknek- Kis családosoknak- Frekventált elhelyezkedése miatt befektetésre is kiválóan alkalmas - bármikor kiadható (a szinten átlagosan 160.000-ért vannak kiadva a hasonló lakások)Bármilyen kérdés esetén keressen bizalommal!","újszeru","2001 és 2010 között","összkomfortos","CC","5","6","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","15 E Ft/hó","igen","egy helyiségben","délnyugat","utcai","11 m²","nem","nem tetotéri","teremgarázs hely - bérelheto","10 000 Ft/hó",NA
"2","V. kerület, Apáczai Csere János utca","53 millió Ft","43 m²","1 + 1 fél","V. kerületben az Apáczai Csere János utcában, 43nm-es, 1 szoba + hallos, 1 emeleti, udvari, nagypolgári átlagos állapotú lakás eladó.  Csodás helyen, gyönyöru házban található. Igazi kuriózum!Az ingatlan remek elosztású, minden helysége ablakos, a vizes mellékhelységek vízórával vannak felszerelve.A lakás Helységei: Eloszoba, hall, konyha, kamra, szoba, fürdoszoba, külön WC.A ház földszintjén egy 4nm -es pincei tároló is a lakás részét képezi.Az ingatlan kiváló adottságokkal rendelkezik, kis felújítással és modernizálással, remek otthonná varázsolható. Belmagasság: 4m így galéria is kialakítható, hasznos tereket lehet nyerni.Futése: Héra cserépkályha.A lakás kis fenntartású. Közösköltsége: 7.800.Ft. Az épület szépen felújított 3 emeletes, tégla építésu, társasház. Szép belso udvara van. Lépcsoháza nagyon egyedi. Védett épület. Jelenleg nincs lift a házba, de tervbe van a beszerelése.Remek infrastruktúrával ellátott környék, igazi Belvárosi hangulat.Pár lépéssel a Duna korzón vagyunk. Közelben minden fontos Intézmény és üzlet megtalálható. Az ingatlan per és tehermentes. Parkolni az utcán és a közelben lévo parkolóházban lehet.Azonnal költözheto. Irányár: 53.M. Ft. Érdeklodni: Tátrai Edina","közepes állapotú","1950 elott","összkomfortos","nincs megadva","1","3","nincs","3 m-nél magasabb","nincs megadva","nincs megadva","nincs megadva","nem","külön helyiségben","északnyugat","udvari","nincs megadva","nincs megadva","nem tetotéri","utca, közterület",NA,NA
"3","X. kerület, Kobánya - Újhegy","53 millió Ft","57 m²","3","Frissen felújított, modern lakás a Rózsaliget lakóparkban felszíni parkolóval!IDE TÉNYLEG CSAK KÖLTÖZNIE KELL!!A lakópark  csendes, közúti forgalomtól távol eso részén elhelyezkedo , liftes társasház ötödik emeletén kínálunk megvételre egy fiatalos hangulatú ingatlant.HELYISÉGEK:-eloszoba-fürdoszoba + wc-kamra/gardrób-amerikai konyhás nappali-hálószoba-szoba-erkélyA keleti tájolású , klímás ingatlant 2021-ben újították fel. Kicserélték a bejárati és a beltéri ajtókat ,a külön bejáratú szobákat laminált padlóval, a többi helyiséget pedig járólappal burkolták. A nyílászárók redonnyel és szúnyoghálóval felszereltek. A falak részben festettek, részben tapétázottak. A konyhába modern konyhabútor került, amely a beépített gépekkel együtt a vételár részét képezi.A parkosított belso udvarra nézo erkély kellemes helyszínt biztosít a reggeli kávézáshoz,vagy egy esti lazulós beszélgetéshez.A VÉTELÁR TARTALMAZZA A FELSZÍNI GÉPKOCSI BEÁLLÓT IS!A környék tömegközlekedése , és ellátottsága kiváló. A közelben minden megtalálható,ami a mindennapokban fontos lehet ( óvoda,általános iskola,uszoda, posta,gyógyszertár, KÖKI Terminál,Auchan és egyéb bevásárlási lehetoségek )Csendes,nyugodt környezetre és kituno állapotú otthonra vágyóknak kituno választás !Ha szeretné az ingatlant megnézni, vagy bármi kérdése van, hívjon bátran, akár HÉTVÉGÉN IS!!! Ingatlanokra szakosodott ügyvéddel és bank független hiteltanácsadással állunk rendelkezésére!Amennyiben jelenlegi ingatlanját még nem sikerült eladnia, abban is szívesen segítünk!Referencia szám: H433764","felújított","2001 és 2010 között","összkomfortos","nincs megadva","5","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","kertre néz","4 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"4","VII. kerület, Középso-Erzsébetváros","53 millió Ft","49 m²","1 + 2 fél","Gozsdu udvarhoz közel, a Király utcában eladó egy 49 nm-es, 2 szobás, 2. emeleti, csendes, teljesköruen felújított lakás.A 2019-es felújítás során cserélték a víz- és villanyvezetékeket, a burkolatokat, a külso és belso nyílászárókat. Álmennyezetet alakítottak ki, így az eredeti 3,6 m-es belmagasság most 2,5 m. Természetesen új a konyhabútor a gépekkel és a fürdoszoba is. A felújítás minoségi anyagok felhasználásával szakszeru kivitelezésben történt. Eredménye egy mai kornak megfelelo, harmonikus, letisztult látvány.A ház a háború elott épült, tégla szerkezettel, földszint és két emelet szintkiosztással. Tavaly felújították a gázhálózatot, idén az áramhálózat, a homlokzat és a lépcsoház következik. A teljes rekonstrukció 2 éven belül megvalósul.A környék a város egyik legpezsgobb övezete, éttermek, szórakozóhelyek, színház, bevásárlási lehetoségek, minden sétatávolságra. A közlekedés kiemelkedo.Referencia szám: LK049558","felújított","1950 elott","nincs megadva","nincs megadva","2","nincs megadva","nincs megadva","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","udvari","nincs megadva","nincs megadva","tetotéri","nincs megadva",NA,NA
"5","VII. kerület, Garay utca","53 millió Ft","96 m²","3","Eladó a Garay utca elején egy 96 m2-s, 3 szobás, 1.emeleti, utca nézetu lakás, jelenleg 1 bejárattal, de 2 bejárat is kialakítható! Futése gázkonvektor és gázfutéses cserépkályha.Elrendezése: 3 szoba, konyha, étkezo, fürdoszoba, wc, eloszoba, kamra.A társasház jó állapotú.Közelben orvosi rendelo, gyógyszertár, boltok, iskola óvoda.A közlekedés nagyon jó, 7-es Buszok,2-4 Metró, Keleti pályaudvar.","közepes állapotú","1950 és 1980 között","összkomfortos","nincs megadva","1","3","nincs","3 m-nél magasabb","gáz (konvektor)","van","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","utcai","nincs megadva","nincs megadva","nincs megadva","utca, közterület",NA,NA
"6","X. kerület, Kobánya - Újhegy","53 millió Ft","57 m²","3","Frissen felújított, modern lakás a Rózsaliget lakóparkban felszíni parkolóval!IDE TÉNYLEG CSAK KÖLTÖZNIE KELL!!A lakópark  csendes, közúti forgalomtól távol eso részén elhelyezkedo , liftes társasház ötödik emeletén kínálunk megvételre egy fiatalos hangulatú ingatlant.HELYISÉGEK:-eloszoba-fürdoszoba + wc-kamra/gardrób-amerikai konyhás nappali-hálószoba-szoba-erkélyA keleti tájolású , klímás ingatlant 2021-ben újították fel. Kicserélték a bejárati és a beltéri ajtókat ,a külön bejáratú szobákat laminált padlóval, a többi helyiséget pedig járólappal burkolták. A nyílászárók redonnyel és szúnyoghálóval felszereltek. A falak részben festettek, részben tapétázottak. A konyhába modern konyhabútor került, amely a beépített gépekkel együtt a vételár részét képezi.A parkosított belso udvarra nézo erkély kellemes helyszínt biztosít a reggeli kávézáshoz,vagy egy esti lazulós beszélgetéshez.A VÉTELÁR TARTALMAZZA A FELSZÍNI GÉPKOCSI BEÁLLÓT IS!A környék tömegközlekedése , és ellátottsága kiváló. A közelben minden megtalálható,ami a mindennapokban fontos lehet ( óvoda,általános iskola,uszoda, posta,gyógyszertár, KÖKI Terminál,Auchan és egyéb bevásárlási lehetoségek )Csendes,nyugodt környezetre és kituno állapotú otthonra vágyóknak kituno választás !Hívjon bizalommal! 52999000 FtReferencia szám: H433764","felújított","2001 és 2010 között","nincs megadva","nincs megadva","5","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","kertre néz","4 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"7","XI. kerület, Lágymányos - Muegyetem környéke","53 millió Ft","74 m²","2","Budapesten, a 11. kerületben a Gellért-hegy lábánál, belso udvarra nézo, 74 nm-es, 2 szobás, tágas, felújítandó, földszinti lakás eladó. A lakás üresen áll, azonnal költözheto. Tartozik hozzá egy 2 nm-es tároló. Parkolás az utcán megoldható. A közös költség 21 ezer Ft, amely többek között a vízdíjat is tartalmazza. A ház lakóközössége összetartó, anyagi helyzete rendezett, közös részei kulturáltak. A homlokzatot és a belso liftes lépcsoházat pár éve újították fel. A ház kéményeinek felújítása jelenleg is zajlik, a ház belso udvarának átalakítása a közeljövoben várható. Ha felkeltettem érdeklodését, kérem hívjon bizalommal.","felújítandó","1950 és 1980 között","nincs megadva","nincs megadva","földszint","nincs megadva","van","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","északnyugat","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utca, közterület - fizetos övezet",NA,NA
"8","II. kerület, Szerb Antal utca","53 millió Ft","50 m²","2","II. kerületben a Szerb Antal utcában eladó, egy 8 lakásos társasház, földszintjén, egy 50 nm-es, erkélyes kétszobás lakás.  Az ingatlant teljesköruen felújították, kicserélték a nyílászárókat a víz és villanyvezetékeket. A futésrol gáz cirkó gondoskodik. A szobákban parketta, a többi helyiségben járólap található.Elrendezését tekintve két külön nyíló szoba, egy gépesített konyha, egy fürdokádas fürdoszoba, és egy külön mellékhelyiség.  A lakáshoz tartozik, egy autó számára beállási lehetoség a ház kertjében.Közlekedés kiváló, 129, 29 busz, 61 villamosmegálló a közelben, bevásárlási lehetoségek Stop Shop 3 perc kocsival.Az ingatlan rövid határidon belül birtokba veheto.További információkért és a megtekintés miatt kérem, keressen elérhetoségeimen!","felújított","1950 és 1980 között","nincs megadva","nincs megadva","földszint","nincs megadva","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","északkelet","kertre néz","nincs megadva","nincs megadva","nem tetotéri","udvari beálló - benne van az árban",NA,NA
"9","V. kerület, Október 6. utca","53 millió Ft","56 m²","3","Jó állapotú társasházban bérlo által lakott  lakás eladó. Egy helyrajzi számon két külön álló lakás eladó/17nm,39nm/ nem összenyitható. eloszoba, két konyha, külön wc, tehermentes, lépcsoházból nyílik, közös költség +víz+futés átalány= 33000 Ft/hó, kamra, közlekedo, szomszéd nincs egyedüli lakás a földszinten.","felújítandó","nincs megadva","összkomfortos","nincs megadva","földszint","nincs megadva","van","3 m-nél magasabb","házközponti","nincs","nincs megadva","nem","egy helyiségben","nincs megadva","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"10","XIV. kerület, Ajtósi Dürer sor","53 millió Ft","77 m²","3","A megújuló Városliget szomszédságában, az Ajtósi Dürer soron, kívül-belül jó állapotó társasházban,  eladó ez a 77 nm alapterületu, földszinti, 2 + 1 fél szobás lakás. Minden ablaka belso, zöld kertre néz, így nemcsak csendes, de huvös is. Futése konvektorral történik. Beosztásának köszönhetoen további alakítások is lehetségesek. Amennyiben felkeltettem érdeklodését, várom hívását!","közepes állapotú","nincs megadva","nincs megadva","nincs megadva","földszint","nincs megadva","nincs megadva","nincs megadva","gáz (konvektor)","nincs megadva","18 E Ft/hó","nincs megadva","nincs megadva","nincs megadva","kertre néz","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
