"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Panelprogram","Parkolóhely ára"
"1","VIII. kerület, Józsefváros - Orczynegyed","27,9 millió Ft","51 m²","2","TULAJDONOSTÓL!2 egész szobás,  emeleti, liftes házban lévo igényesen felújított lakást kínálunk eladásra.VIII. kerületben, gyakorlati értelemben Budapest ""belvárosában"", a nagykörút és a 3-as metró vonzáskörzetében, kiváló közlekedés és ellátottság mellet, Józsefváros-Orczynegyedben, a Corvinnegyed, a kerület legfrekventáltabb városrészének toszomszédságában, ízlésesen és igényesen, felújított, csendes, világos, 50 nm-es, tehermentes lakás eladó.Környezet: Kimagasló infrastruktúra és közlekedés! Corvin Pláza, gyógyszertár, egészségügyi központ, tucatnyi bolt, festék és barkácsboltok, zenebolt, fodrászat, Vásárcsarnok, bevásárlási lehetoségek sokasága, egyetemek, campusok és rendelointézet is a közelben.Minden fontosabb létesítmény gyalogtávon belül megtalálható. Közelben az Óbudai Egyetem, Pázmány Péter Katolikus Egyetem illetve a Losonci téri Általános iskola.A közeli Ludovika Aréna Uszoda tanmedencével és külön wellness részleggel várja vendégeit. A kerület egyik legnagyobb rejtett kincse az ELTE Botanikus kertje/Füvészkert a szomszédban található, ahol a virágzó japán cseresznyefákon túl az üvegházakban egész évben izgalmas növényeket fedezhetnek fel!Közbiztonság kiváló, környéke térfigyelo kamerákkal ellátott! Kiváló és kivételes adottságokkal, értékekkel azon a területen melynek a megújulás a legintenzívebb a környéken, így az itt élok testközelbol és közvetlenül érintve lehetnek részesei a lakhatás fejlesztésének, a foglalkoztatás növekedésének, valamint a közbiztonság további erosödésének. Közlekedés: Mind a 3-as metró mind a 4-6-os villamosvonal is gyorsan megközelítheto. A belváros bármely pontja könnyen, közel 15 perc alatt elérheto. A 9-es, 99-es buszokkal és a 83-as trolival a körútra megközelítoleg 5 perc alatt el lehet jutni. Megint csak alig több mint 5 percre a 24-es 28-as 37-es 62-es villamosok is megtalálhatók. Az éjszakai busz is a közelben áll meg!Megtérülo befektetés, könnyen bérbe adható, ezért kimondottan ajánlom Befektetoknek bérbeadási céllal, vagy saját részre, egyetemistáknak, de otthont teremto Pároknak is.","felújított","nincs megadva","nincs megadva","nincs megadva","3","nincs megadva","van","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"2","VII. kerület, Thököly út 12.","27,9 millió Ft","38 m²","1","TULAJDONOSTÓL ELADÓ,a VII. kerületben, Baross térnél egy 38 nm-es lakás, 2 percre az M2 és M4 metrótól.LAKÁSRÓL:A lakás tehermentes, jó állapotú, elso emeleti, egyszobás, kis étkezovel, elotérrel, külön konyhával és egy egybeépített fürdo, wc helyiséggel. Az ingatlan konvektoros, alacsony rezsiju, 38 nm-es és tökéletesen csendes. A lakás mellett található, egy külön bejáratú kb. 5 nm-es kizárólagosan bérelheto tároló helyiség. A havi bérleti díját a közösköltség tartalmazza (1000 Ft/hó).LOKÁCIÓRÓL:A lakás elhelyezkedése tömegközlekedés szempontjából kiváló, gyalog 2 percre a 2-es, a 4-es metró és több busz, troli család csomópontja található. Két háztömbnyire a City SPAR, 5 percre a Starbucks kávézó, PIAC és több BANK található, gyalogosan 10 percre az Aréna Pláza, megújuló Városliget, mint kulturális, szabadido központ elérheto. Néhány egyetem átszállás nélkül könnyen elérheto metróval.A lakás központi elhelyezkedésének köszönhetoen is JÓL KIADHATÓ, BEFEKTETÉSNEK IS IDEÁLIS VÁLASZTÁS.REZSIROL, KÖLTSÉGEKROLAlacsony rezsi, a közös költség: 11 ezer forint/hó (Ez tartalmazza a vízhasználatot.) A házban megtörtént a teljes gáz felújítás és most van elokészítés alatt a teljes villanyhálózat korszerusítése, a kivitelezo kiválasztásra került. Ezen munkák elvégzését követoen kerülhet majd sor a belso gang, lépcsoház és a külso homlokzat felújítására, festésére.MEGÚJUL A KELETI PÁLYAUDVAR ÉS KÖRNYÉKEKeleti pályaudvar területének északi és keleti sávjában lévo a vasúti közlekedés használatából már kivont ingatlanon NAGYSZABÁSÚ IRODAHÁZ ÉS KERESKEDELMI CÉLÚ INGATLANFEJLESZTÉS készül. (A terv nagyságrendjét mutatja, hogy 800 millió forintot csak az elokészítésre használnak fel 2021-ben.)INGATLANOSOK KÉREM, HOGY EGYEDI AJÁNLATUKKAL SE KERESSENEK!","jó állapotú","1950 elott","összkomfortos","nincs megadva","1","4","nincs","3 m-nél magasabb","gáz (konvektor)","nincs","11 E Ft/hó","nem","egy helyiségben","északkelet","udvari","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"3","VI. kerület, Vörösmarty utca","27,9 millió Ft","27 m²","1","6. kerületi lakás tulajdonostól eladó!A lakás kituno lokációval rendelkezik, az utca az Andrássy út mellett található, az Oktogon 5 perc sétára van. A belvárosi éttermek, színházak, szórakozóhelyek gyalogosan is kényelmesen elérhetok. A Városliget és számos látnivaló a lakás körzetében található. A tömegközlekedés kituno, az M1-es metróval 10 perc alatt megközelítheto a Vörösmarty tér és a híres Váci utca. Emellett 5 perc sétára van a 4-6 villamos megálló, illetve a közelben több troli és busz is közlekedik.A lakás nettó alapterülete 27 négyzetméter, ehhez adódik hozzá a szobában található kb. 10 négyzetméteres galéria.A futés gázkonvektoros megoldású, a meleg vizet villanybojler biztosítja, a szobában pedig klímaberendezés is található. A fürdoszoba zuhanyzós kialakítású, tükrös beépített szekrénnyel. Az ablakokon redony és szúnyogháló is van.A lakás a napfényes 3. emeleten található, ablaka a ház csendes belso udvarára néz. A fürdoszobában pedig lichtof ablak biztosítja a szelloztetés lehetoségét.Az ingatlan tehermentes, azonnal költözheto.Az ár tartalmazza a teljes bútorzatot, illetve a muszaki berendezések egy részét.Kérem ingatlanközvetítok ne keressenek!","felújított","1950 elott","összkomfortos","nincs megadva","3","3","nincs","3 m-nél magasabb","gáz (konvektor)","van","20 E Ft/hó","nem","egy helyiségben","nincs megadva","udvari","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"4","IX. kerület, Ráday utca 34.","27,9 millió Ft","31 m²","1 + 1 fél","Nem kívánok Ingatlanközvetíto szerzodést kötni, kérem csak vásárlók keressenek.köszönöm31nm-es kislakás. 5 méteres belmagasságban egy teljes méretu emeleti 22 nm-es nappali háló lett kialakítva.A másik különlegesség, hogy a bejárata elott egy tágas 3 lakásos szeparált udvar található kerékpár, kiülés, teregetés számára. A lakás mostani állapota 2000-ben lett kialakítva irodának,  lakásnak most is hasznáKonvketor, közepes villanybojler (lépcso alatt), konyhai villanybojler (pultban), továbbá konyhapult, huto, mikró, mosógép kérésre a lakásban marad.Alsó szint: zuhanyzós WC, leválasztott ablakos kisszoba a konyhából és egy alvóhelység ágy és szekrényhellyel saját ablakkal. Lépcson felérve egy 22 nm-es nappali háló taláKülön Víz Gáz és villanyóraKözös küöltség: 5115.- ft.","jó állapotú","1950 elott","nincs megadva","nincs megadva","földszint","5","nincs megadva","3 m-nél magasabb","gáz (konvektor)","nincs","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","utca, közterület",NA,NA
"5","VI. kerület, Szondi utca","27,9 millió Ft","38 m²","1","Szondi utcában eladó tégla építésu házban egy földszinti, udvarra nézo, ezért csendes, jó állapotú és elosztású lakás.A ház, amelyben a lakás található, rendezett, jó lakóközösséggel. A háztól 1 percre található orvos, gyógyszertár, közért és posta. Gyalogosan 5 perc a Kodály körönd földalatti megálló és 10 perc a Westend bevásárló központ.A lakás néhány éve felújításon esett át, melynek során ki lett cserélve a villanyvezeték, a konnektorok és kapcsolók, le lett javítva és festve az összes fal, laminált padlót kapott a szoba, valamint a futési rendszer is fel lett újítva és a konyhába be lett vezetve. Új a tuzhely és a konyhabútor is a lakásban.A közös költség 15e Ft, ami a vízdíjat tartalmazza. A villany és a gáz fogyasztás alapján kerül számlázásra havonta.Amerikai konyhás nappalit plusz hálót lehet benne kialakítani.Irodaként üzemelt (pszichológusoknak). Befektetésnek kiváló, mert könnyen kiadható! Azonnal költözheto, tehermentes! Ingatlanosok kérem ne keressenek!","jó állapotú","1950 elott","összkomfortos","nincs megadva","földszint","4","van","3 m-nél magasabb","gáz (konvektor)","nincs","25 E Ft/hó","nem","külön helyiségben","nyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"6","VIII. kerület, Bauer Sándor utca","27,9 millió Ft","46 m²","2","NAGYON JÓ BEOSZTÁSÚ LAKÁS OLCSÓN ELADÓ!VIII. kerületben a Teleki térnél eladó tulajdonostól egy tehermentes, 46nm-es 2 szobás konvektoros felújítandó állapotú lakás egy 2 szintes téglaház 1emeletén.Nagyon jó beosztású, világos, kis, kultúrált lakóközösségu házban a fejlodo Bauer Sándor utcában.KÉPEKET KÉRÉSRE KÜLDÖK!!!Tájolása: DNYA  2 szoba (19m2 /12m2) és a konyha (6m2) az eloszobából (4m2) nyílik. (elotér, konyha egy légtér/10m2), fürdoszoba, WC (4m2)a hálószobából nyílik.  A lakás ablakai elott nincs eljárkálás. Airbnb engedélyezett a házban! Az épület külso homlokzata felújított.Nyugodt, csendes utca.Kítuno befektetés!Képeket szívesen küldök kérésre, vagy nézze meg ugyanitt az ingatlanosok ( 29,5 mill. áras) képes hirdetését!","felújítandó","1950 elott","összkomfortos","nincs megadva","1","2","nincs","3 m-nél magasabb","gáz (konvektor)","nincs","nincs megadva","nem","egy helyiségben","délnyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"7","VIII. kerület, Bauer Sándor utca","78,15 ezer €","46 m²","2","NAGYON JÓ BEOSZTÁSÚ LAKÁS OLCSÓN ELADÓ!VIII. kerületben a Teleki térnél eladó tulajdonostól egy tehermentes, 46nm-es 2 szobás konvektoros felújítandó állapotú lakás egy 2 szintes téglaház 1emeletén.Nagyon jó beosztású, világos, kis, kultúrált lakóközösségu házban a fejlodo Bauer Sándor utcában.KÉPEKET KÉRÉSRE KÜLDÖK!!!Tájolása: DNYA  2 szoba (19m2 /12m2) és a konyha (6m2) az eloszobából (4m2) nyílik. (elotér, konyha egy légtér/10m2), fürdoszoba, WC (4m2)a hálószobából nyílik.  A lakás ablakai elott nincs eljárkálás. Airbnb engedélyezett a házban! Az épület külso homlokzata felújított.Nyugodt, csendes utca.Kítuno befektetés!Képeket szívesen küldök kérésre, vagy nézze meg ugyanitt az ingatlanosok ( 29,5 mill. áras) képes hirdetését!","felújítandó","1950 elott","összkomfortos","nincs megadva","1","2","nincs","3 m-nél magasabb","gáz (konvektor)","nincs","nincs megadva","nem","egy helyiségben","délnyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"8","VII. kerület, Garay tér","27,9 millió Ft","32 m²","2","BEFEKTETOK FIGYELEM !!!MINIGARZON!!!Eladó a megújult Garay téren egy egyedien kialakított és felújított minigarzon.Az átgondolt tervezésnek és a 4,5 m belmagasságnak köszönhetoen valóban teljes értéku emeleti szint került kialakításra (nem galéria).A felújítás során a lakás minden eleme megújult, amely új ablakokat és a bejárati ajtót is magában foglalja.A földszinten található az amerikai-konyhás nappali és a fürdoszoba, ez emeleten pedig a háló és a gardrób.A belmagasság mindkét szinten kellemes tereket biztosít (2,3 és 2,2 m).Az emeleti szinten megmaradt az eredeti boltíves kialakítás.A lakás rezsiköltsége kedvezo, futése korszeru elektromos berendezés biztosítja mindkét szinten. A havi villanyszámla 6500 Ft. közös költség 5194 Ft, amely tartalmazza a korlátlan vízfogyasztást is.","nincs megadva",NA,"nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","elektromos","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"9","VIII. kerület, Baross utca","27,9 millió Ft","26 m²","1","A VIII. kerületi Palotanegyedben, a Baross utcában jó állapotú társasház földszintjén eladó egy 26 m2-es, 12 m2-es galériával rendelkezo lakás. (bm: 3,8 m) Teljes muszaki és esztétikai felújításon esett át, kicserélték a nyílászárókat, víz,- villanyvezetékeket, vízórát, új konyhabútort, épített zuhanykabint és galériát készítettek.Futése gázkonvektorral megoldott, vízórás, közös költsége: 7600.-, mely tartalmaz felújítási alapot is.Az ár az összes bútorzatot és gépesítést is tartalmazza.Önnek ajánlom, ha a nyüzsgo belvárosban, mégis csendes lakásban szeretne élni.Az egyetemek közelsége miatt kiadásra is tökéletes választás.Közlekedés: 4-6-os villamos, 9-es busz, pár perc séta a 3-as és a 4-es metró.","felújított","nincs megadva","összkomfortos","nincs megadva","földszint","4","nincs megadva","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","dél","udvari","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"10","VIII. kerület, Teleki László tér","27,9 millió Ft","53 m²","2 + 1 fél","KIVÁLÓ VÉTELI LEHETOSÉG!ÁRCSÖKKENÉS!VIII. Kerület, Teleki terén eladó egy fél emeleti 53 m2, udvari tájolású , 2 egybe nyíló szobás + 1 ablakos kisebb szobás tégla lakás. A futést gázkonvektor biztosítja.Külön WC. Nagy ablakos, rendkívül csendes. Maga a ház rendezett, jó állapotú ( a közös gáz ill. közös villanyvezetékek felújítva) 5. emeletes ahol még a félemeleten is megáll a lift. Az ingatlan felújításra szorul, de akár 2 lakássá is alakítható.A jó tömegközlekedés, bevásárlási lehetoségek sokasága és az egyetemek közelsége miatt kiválóan alkalmas mind magán mind befektetési célra.( G-Robi, Lidl, Teleki téri piac, park,) 2-3 megállóra van M2, M4 metró( Blaha Lujza tér, Keleti Pályaudvar, II.János Pál Pápa tér) Bekamerázott, biztonságos környék.Ár: 27.9 MÉrdeklodni: Ivánkó Katalin","nincs megadva",NA,"nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
