"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Panelprogram","Parkolás","Parkolóhely ára"
"1","VIII. kerület, Szigony utca","29,9 millió Ft","50 m²","2","RENDKÍVÜL JÓ BEOSZTÁSÚ, NAPFÉNYES PANELLAKÁS ELADÓ!A Szigony utcában eladó a  kilencedik emeleten, PANORÁMÁS, zárt folyosóról nyíló,  KÖZEPES ÁLLAPOTÚ, KÉT SZOBÁS lakás. Az ingatlan egy zárható, nyított közlekedobol érheto el, ahol még egy másik lakás található. Két egymásból nyíló szoba van, ebbol az egyik ERKÉLYES. Fürdoszoba és a wc külön helyiségben. Konyha nagy ablakos, rendkívül VILÁGOS, a BUDAI HEGYEKRE néz.A ház a nyolcvanas években épült, anyagi helyzete rendezett, karbantartott, lakóközössége jó. Az ingatlan elhelyezkedésébol adódóan nagyon jó helyen van, Corvin negyed,  Baross utca, Ülloi út pár perc sétára,  KÖZLEKEDÉSE IS  KIVÁLÓ metró, villamos, troli karnyújtásnyira. Parkolás közterületen megoldott.A lakás rugalmasan megtekintheto, hívjon bizalommal, adatbázisunkból több ezer ingatlanból válogathat!A lakás per- és tehermentes, azonnal költözheto. CSOK igénybe veheto, szélesköru ingyenes hitel- és pénzügyi szolgáltatással állunk rendelkezésére. ID: 326753","közepes állapotú","1950 és 1980 között","összkomfortos","nincs megadva","9","10","van","3 m-nél alacsonyabb","házközponti","nincs megadva","nincs megadva","nem","nincs megadva","délkelet","utcai","4 m²","nem","nem tetotéri","nincs megadva","utca, közterület",NA
"2","VIII. kerület, Szigony utca","81,84 ezer €","50 m²","2","RENDKÍVÜL JÓ BEOSZTÁSÚ, NAPFÉNYES PANELLAKÁS ELADÓ!A Szigony utcában eladó a  kilencedik emeleten, PANORÁMÁS, zárt folyosóról nyíló,  KÖZEPES ÁLLAPOTÚ, KÉT SZOBÁS lakás. Az ingatlan egy zárható, nyított közlekedobol érheto el, ahol még egy másik lakás található. Két egymásból nyíló szoba van, ebbol az egyik ERKÉLYES. Fürdoszoba és a wc külön helyiségben. Konyha nagy ablakos, rendkívül VILÁGOS, a BUDAI HEGYEKRE néz.A ház a nyolcvanas években épült, anyagi helyzete rendezett, karbantartott, lakóközössége jó. Az ingatlan elhelyezkedésébol adódóan nagyon jó helyen van, Corvin negyed,  Baross utca, Ülloi út pár perc sétára,  KÖZLEKEDÉSE IS  KIVÁLÓ metró, villamos, troli karnyújtásnyira. Parkolás közterületen megoldott.A lakás rugalmasan megtekintheto, hívjon bizalommal, adatbázisunkból több ezer ingatlanból válogathat!A lakás per- és tehermentes, azonnal költözheto. CSOK igénybe veheto, szélesköru ingyenes hitel- és pénzügyi szolgáltatással állunk rendelkezésére. ID: 326753","közepes állapotú","1950 és 1980 között","összkomfortos","nincs megadva","9","10","van","3 m-nél alacsonyabb","házközponti","nincs megadva","nincs megadva","nem","nincs megadva","délkelet","utcai","4 m²","nem","nem tetotéri","nincs megadva","utca, közterület",NA
"3","XVI. kerület, Újmátyásföld","29,9 millió Ft","55 m²","2","XVI. KERÜLETBEN: MÁTYÁSFÖLDÖN, A CENTENÁRIUMI LAKÓTELEPEN ELADÓ EGY 55M2-ES, 2 SZOBÁS, ERKÉLYES, 3. EMELETI LAKÁS, ÉK ÉS DNY-I FEKVÉSSEL! A NYÍLÁSZÁRÓK FÁBÓL VANNAK JÓ ÁLLAPOTÚAK, 2 SZOBA ÉS ELOSZOBA LAMINÁLT PARKETTÁS.  A LAKÁSHOZ TARTOZIK KÖZÖS TÁROLÓ!!! KÖRNYÉK:Kiváló közlekedésnél, közeli bevásárlási lehetoségekkel (bank, posta, gyógyszertár).AZ ÉPÜLET JELLEMZOI:Csúsztatott zsalus épület, ami 1985-ben épült. Szépen karbantartott 8 lakásos társasház, jó lakóközösséggel.  A LAKÁS JELLEMZOI:  A lakás jó elosztású, közepes állapotú burkolatokkal. A szobák külön és egybe is nyílnak egyéni igény szerint, melyek laminált parkettásak, a többi helyiség járólappal burkolt. A nyílászárók fa szerkezetuek, hoszigetelt üvegezéssel, redonnyel ellátottak! Szép világos lakás, erkéllyel, a LEGFELSO 3. emeleten! ÚJ TETOSZIGETELÉST IDÉN OKTÓBERBEN KAPOTT A HÁZ!A vételár részét képezi a konyhabútor, tuzhellyel.ELRENDEZÉS:-szoba-szoba-étkezos konyha-fürdoszoba-mellékhelyiség-közlekedo-erkélyKÖZLEKEDÉS:A közelben pár perc sétára a következo tömegközlekedési lehetosége elérhetoek:7G busz, 44, busz, 46 busz, 146 busz, 244 busz, 996 busz, 996 A buszFINANSZÍROZÁS:Banki finanszírozással is megvásárolható, melyben irodánk ingyenes tanácsadással áll rendelkezésükre!IRÁNYÁR: 29,9 M FtVEVOINK RÉSZÉRE A KÖZVETÍTÉS DÍJTALAN !!A hirdetésben szereplo adatok tájékoztató jelleguek.","közepes állapotú","1981 és 2000 között","összkomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","házközponti","nincs megadva","nincs megadva","nem","külön helyiségben","északkelet","utcai","3 m²","nem","nem tetotéri","nincs megadva","utca, közterület - ingyenes",NA
"4","XIII. kerület, Reitter Ferenc utca","29,9 millió Ft","36 m²","1 + 1 fél","XIII. ker. Reitter Ferenc utcában, 1,5 szobás, keleti fekvésu, felújított lakás eladó!A ház homlokzata és lépcsoháza közepes állapotú. Az ingatlan felújított, I. emeleti magasságban van, tulajdoni lap szerint félemeleti. Nappalija utcára, hálója kertre néz. Az ingatlan a folyosó végén található, így le lehet keríteni egy kis erkélyt is. Belmagassága 285 cm.HELYISÉGLISTA:Nappali: 20 nmHáló: 6,5 nmKonyha/eloszoba: 6 nmFürdo: 5 nmMUSZAKI:Az ingatlan esztétikai és muszaki szempontból is jó állapotban van. Futése elektromos padlófutés, közös költsége 11.000 Ft/hó, vízóra van. Nyílászárói muanyagok, burkolatai jó állapotúak.KÖRNYÉK: Minden fontos infrastrukturális elem a közelben, Béke tér 4 perc sétatávra található.","felújított","1950 elott","összkomfortos","nincs megadva","félemelet","3","nincs","3 m-nél alacsonyabb","elektromos","van","25 E Ft/hó","nem","egy helyiségben","kelet","utcai","nincs megadva","nem","nem tetotéri",NA,"utca, közterület",NA
"5","XX. kerület, Helsinki út","29,9 millió Ft","60 m²","3","Budapest XX. kerületében, Helsinki úton eladó egy egy 60 nm-es, nagy részben felújított jó elosztású, 3.emeleti , fiatalos,légkondicionált, erkélyes, csúsztatott panel lakás.Az ingatlan felújítása 2018-ban történt meg, amely tartalmazta a víz és villanyvezetékek , padlóburkolatok, konyha és fürdoszoba felújítását.A lakás futését és meleg víz ellátását távho biztosítja, ho leadók radiátorok.Padló burkolatok, kerámialap és laminált parketta.Az ár tartalmazza az igényesen kialakított, gépesített konyhabútort, a többi berendezés alku tárgya.Megtekintés rugalmas idopontban, akár hétvégén is.Jöjjön és alkudjon rá!Hitel és CSOK felvfeheto rá!Várom megtisztelo hívását.Irány ár.: 29,9 M Ft","jó állapotú","1981 és 2000 között","összkomfortos","nincs megadva","3","4","nincs","nincs megadva","távfutés","van","nincs megadva","nem","külön helyiségben","nincs megadva","utcai","6 m²","nem",NA,NA,"utca, közterület - ingyenes",NA
"6","VIII. kerület, Népszínház utca 46.","29,9 millió Ft","62 m²","2","- Kiválló közlekedés: Metrótól két sarokra, Villamos a ház elott Keleti pályaudvar közelsége- Közeli zöld területek: II. János Pál Pápa tér,  Fiumei utcai temeto, Teleki László tér - Sportolási lehetoség a parkokban futópálya erosítogépek- Bevásárlásnak a teleki piactól a Tescoig minden van a közelben. Kis iparosok, stb.- A szobák jelenleg egymásból nyílnak, de kialkítható benne két külön nyíló szoba akár külön fürdovel is és egy közös amerikai konyhás nappalival így kiadásra, idegenforgalomra is kivállóan átalakítható.- Szép több körfolyosós házban.- Közös költség 12.075.-Ft A reszi meg használat szerint.","jó állapotú","nincs megadva","összkomfortos","nincs megadva","2","6","van","3 m-nél magasabb","gáz (cirko)","nincs","12 E Ft/hó","nincs megadva","külön helyiségben","nyugat","udvari","nincs megadva","nem","nem tetotéri",NA,"utca, közterület - fizetos övezet",NA
"7","III. kerület, Kerék utca","29,9 millió Ft","48 m²","2 + 1 fél","Eladásra kínálok a III. kerületben egy rendezett, folyamatosan karbantartott, lifttel felszerelt panel lakótömbben elhelyezkedo, tulajdoni lapon 48 négyzetméter de a valóságban 53 négyzetméter alapterületu felújítandó, napfényes lakást. A lakás befektetés szempontjából is kiváló már csak a lokációja miatt is. Percek alatt a belvárosba érhetünk akár tömegközlekedéssel vagy autóval. Közelben Óbudai Egyetem, iskolák, H5-ös HÉV, számos busz és villamos járat megtalálható. A lakás diákoknak, pároknak, befektetoknek egyaránt ajánlott! Az OTP Ingatlanpont teljes köru ügyintézéssel áll az eladók és a vevok rendelkezésére! A kínálatunkból választott ingatlan finanszírozásához kedvezményes hitel- és megoldásokat kínálunk. Az adásvételi szerzodés megkötéséhez igény szerint megbízható ügyvédi közremuködést biztosítunk, és segítséget nyújtunk az adásvételhez kapcsolódó ügyek intézéséhez. Ha felkeltette ez a ingatlan az érdeklodését hívjon bizalommal akár hétvégén is. Referenciaszám: M203482","felújítandó","1950 és 1980 között","összkomfortos","nincs megadva","1","nincs megadva","van","3 m-nél alacsonyabb","távfutés egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva","nincs megadva",NA
"8","X. kerület, Bányató utca","29,9 millió Ft","52 m²","2","Kobánya Újhegyi részén, a tó szomszédságában eladó egy 52 nm-es, 2 szobás, világos, II. emeleti lakás, jó lakóközösségu házban, a hozzá tartozó autóbeállóval, kituno lokációval, közlekedéssel és infrastruktúrával!Muszaki:A lakás egy 3 emeletes, 1954-ben épült, átlagos állapotú, jó lakóközösségu, 16 lakásos tégla társasház, II. emeletén található, melynek lépcsoháza tiszta és rendezett. A nappali és a konyha a ablaka a tóra, a hálószobáé pedig kertre nézo. A lakás, állapotát tekintve felújítandó.A szobák parkettával, a többi helyiség járólappal burkolt.A nyílászárók kituno hang és hoszigetelésu modern muanyagok.Az otthon melegérol gázkonvektorok gondoskodnak.A lakáshoz önálló pince rekesz (5.2 nm) valamint saját földfelszíni parkolóhely (a zárt udvarban) tartozik. Költségek:Közös költség 11 010.- (mely tartalmazza többek között a lépcsoház takarítás, közös villany és a gépkocsi beálló díját)A rezsiköltségek egyedi mérés alapján fizetendok.Közlekedése kiváló, több buszjárat: 68, 85, 85E, 117, 185, 202E, 909, a metró M3 (és a Köki center) 10 percen, az M2 (Örs vezér tér és az árkád bevásárló központ) 20 percen belül elérheto.Környék:A környéket kiváló közlekedés és infrastruktúra jellemzi. A lakás közelében iskola, óvoda, orvosi rendelo, gyógyszertár, a házzal szemben közvetlenül a tó található.A megújult Újhegyi sétány és CBA bevásárló udvar pár perc alatt megközelítheto, több, a mindennapokhoz szükséges bevásárlási lehetoség is a közelben található (Élelmiszer üzletek: Spar, Penny, Lidl, Auchan, DM, Patika, stb.), valamit kikapcsolódási és sportolási lehetoség: Újhegyi uszoda, edzoterem, sportliget, kórház a közelben.Finanszírozás:Az ingatlan per, igény és tehermentes, készpénzzel és hitellel is megvásárolható!Ne hagyja ki ezt a remek lehetoséget, keressen bizalommal, a hét bármely napján!","felújítandó","1950 és 1980 között","nincs megadva","nincs megadva","2","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs","nincs megadva","nem","egy helyiségben","északkelet","nincs megadva","1 m²","nem","nem tetotéri",NA,"udvari beálló - benne van az árban",NA
"9","IV. kerület, Szent István tér","29,9 millió Ft","46 m²","1","Újpesti ékszerdoboz télikerttel! Újpest központjában a Szent István téren eladó egy 46 nm-es fekvo galériás, nappalis lakás önálló garázzsal. A lakás egy hat lakásos, udvaros társasházban található a földszinten, pár évvel ezelott volt felújítva, költözheto állapotban van, futése cirkófutés. A lakás gyöngyszeme egy 12 nm-es télikert. Tömegközlekedés szempontjából is nagyon jó környéken helyezkedik el. Bármilyen kérdése van hívjon bizalommal és tekintse meg az ingatlant!","újszeru","1950 és 1980 között","összkomfortos","nincs megadva","földszint","2","nincs","3 m-nél magasabb","gáz (cirko)","nincs","25 E Ft/hó","nem","egy helyiségben","nyugat","udvari","12 m²","igen","nincs megadva",NA,"önálló garázs - benne van az árban",NA
"10","VIII. kerület, Baross utca","29,9 millió Ft","40 m²","2","Azonnal költözheto 2 szobás lakás!A felújított Kálvária tér szomszédságában, a Baross utcában megvételre kínálom ezt a teljes koruen és frissen felújított, 2 szobás lakást. A hálószoba galériás, a helykiahsználás érdekében. Az ablakok az udvarra néznek, ahol senki sem mászkál, így akár egy kis teraszt lehet kialakítani a bejárat mellett. Ennek köszönhetoen a lakás teljesen csendes. A rezsi alacsony, minden egyedileg mérheto. A futés opcionálisan vagy klímával, vagy konvektorral.Ide csak beköltözni kell!","felújított","nincs megadva","nincs megadva","nincs megadva","földszint","nincs megadva","nincs","nincs megadva","elektromos","van","nincs megadva","nincs megadva","egy helyiségben","dél","udvari","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA
"11","XI. kerület, Fejér Lipót utca","29,9 millió Ft","45 m²","2","XI.kerület, Kelenföldön, a közkedvelt Fejér Lipót utcában kínálunk eladásra egy 45nm-es 2szobás panelprogramon átesett lakást . A ház az 1970-es években épült .Az ingatlan Keleti fekvésének köszönhetoen világos, csendes. A melegrol távfutés gondoskodik, ami egyedileg mérheto. A lakásban a nyílászárók cserélve lettek, a villanyvezetékek kb.15 éve át lettek húzva. Infrastruktúrája rendkívül jó, hiszen a közelben orvosi rendelo, gyógyszertár, posta, iskola, óvoda, bölcsode is megtalálhatóak. A Savoya park, Bikás park, Allee és a Móricz Zsigmond körtér pár perc tömegközlekedéssel. Tökéletes választás fiatal párok, családok számára, de elhelyezkedésének köszönhetoen kiváló befektetés, hiszen az egyetemek közelsége és a lakás adottságai miatt kiadható. Parkolás a ház elott ingyenes. A közlekedést tekintve kiváló, ugyanis az M4-es metró, az 1-es,47-es,17-es,41-es,56-os villamos és a 7-es, 213-as 153-as és a 103-as busz is pár percre található. Közelben Magyarország elso okos plázája, az  Etele pláza, vagy Budapest ikonikus épülete a Mol Campus és a Kopaszi-gát, pár percre van! A lakáshoz közös tároló is tartozik. Az ingatlan tehermentes,így azonnal birtokbaveheto.","felújítandó","1950 és 1980 között","összkomfortos","nincs megadva","1","több mint 10","van","3 m-nél alacsonyabb","távfutés egyedi méréssel","nincs","25 E Ft/hó","igen","külön és egyben is","kelet","kertre néz","nincs megadva","nem",NA,NA,"utca, közterület - ingyenes",NA
"12","VIII. kerület, Józsefváros - Magdolnanegyed","29,9 millió Ft","62 m²","2","Eladó a 8. kerületben a Kálvária téren, egy kétszobás 62 nm-es, nagypolgári, galériázott földszinti lakás. A lakás muszakilag felújításra került, cirkófutéses, teljes köruen gépesített konyhával rendelkezik. Magas minoségu biztonsági bejárati ajtót kapott. A padló szigetelésre került, a beszerelt muanyag  nyílászárók ho és hangszigeteltek. A lakásban marad igény esetén a huto, mosógép is. Az ingatlan a Kálvária téren a parkra néz. Kiváló elhelyezkedésének köszönhetoen nagyszeru tömegközlekedési lehetoség jellemzi. 9-es busz , 83-as Troli , 24-es villamos, Metró. Sétatávolságban található CBA, LIDL, benzinkút, SPAR, rendelo, óvoda, iskola, gyógyszertár, piac. Hívjon bátran !","jó állapotú","1950 elott","összkomfortos","nincs megadva","földszint","3","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nyugat","utcai","nincs megadva","nem","nincs megadva",NA,"nincs megadva",NA
"13","XIV. kerület, Herminamezo","29,9 millió Ft","45 m²","2","XIV. kerület, HERMINAMEZO közkedvelt részén, a Mexikói úti metróállomás közelében eladó, egy ERKÉLYES, K-i fekvésu, 45 nm-es,2. emeleti, ABLAKOS KONYHÁVAL, KÜLÖN MELLÉKHELYISÉGGEL + 2 KÜLÖNNYÍLÓ szobával rendelkezo, AZONNAL KÖLTÖZHETO,TEHERMENTES TÉGLA lakás.A társasház karbantartott, jó állapotnak örvend!A ház pénzügyei rendezettek, ezáltal megtakarítással rendelkezik.Az ingatlan felújítandó állapotú!A futést és a meleg vizet gázcirkó biztosítja.A közös költség nagyon kedvezo 9.135, Ft, ami a ház biztosítását, szemétszállítást, takarítást illetve a felújítási alapot fedezi.A lakáshoz tartozik egy önálló 4 nm-es tároló helyiség!Környék:A környék ellátottsága nagyon jó, hiszen a közelben megtalálunk mindent, amire a mindennapi életben szükség van pl. bankfiók, posta, orvosi rendelo, patika, pékségek, cukrászdák, számtalan bevásárlási lehetoség. Adott esetben gyermekeinknek sem kell nagy távolságot megtenni, hogy megfelelo képzésben részesüljenek (óvoda, iskola a közelben,)!Közlekedés:BKK megállók a közelben:Villamos: 3 62 62A 69Busz: 5 32Éjszakai: 973 973ATroli: 82Közelben:Uzsoki Kórház, Mexikói úti metróállomás, 3, 62, 62A, 69 villamos, továbbá a Budapesti Gazdasági Egyetem Pénzügyi és Számviteli Kar, illetve a Metropolitan Egyetem is könnyedén elérheto.Ajánlom:Egyedülállók, párok, továbbá befektetésnek is kiváló!Érdeklodni:A hét minden napján, a nap bármely szakában!","felújítandó","1950 és 1980 között","összkomfortos","nincs megadva","2","5","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs","21 E Ft/hó","nem","külön helyiségben","kelet","utcai","3.5 m²","nem","nem tetotéri",NA,"utca, közterület - fizetos övezet",NA
"14","VIII. kerület, Kálvária tér 3.","29,9 millió Ft","62 m²","2","Eladó a 8. kerületben a Kálvária téren, egy kétszobás 62nm-es, nagypolgári, galériázott földszinti lakás. A lakás muszakilag felújításra került, cirkófutéses, teljesköruen gépesített konyhával rendelkezik. Magas minoségu biztonsági bejárati ajtót kapott. A padló szigetelésre került, a beszerelt muanyag  nyílászárók ho és hangszigeteltek. A lakásban marad igény esetén a huto, mosógép is. Az ingatlan a Kálvária téren a parkra néz. Kiváló elhelyezkedésének köszönhetoen nagyszeru tömegközlekedési lehetoség jellemzi. 9-es busz , 83-as Troli , 24-es villamos, Metró. Sétatávolságban található CBA, LIDL, benzinkút, SPAR, rendelo, óvoda, iskola, gyógyszertár, piac. Hívjon bátran !","jó állapotú","1950 elott","összkomfortos","nincs megadva","földszint","3","nincs megadva","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nem","külön helyiségben","északnyugat","utcai","nincs megadva","nem","nem tetotéri",NA,"utca, közterület",NA
